schema_version,event_slug,market_id,city,target_date,settlement_high,settlement_bucket,settlement_unit,winning_band,winning_band_kind,winning_band_value,winning_band_value_hi,settlement_source,quality_grade,quality_reason,snapshot_count,band_count,row_count,coverage_clean,capture_ratio,max_gap_minutes,coverage_reason,resolution_source_type,resolution_wu_history_id,resolution_station,resolution_timezone,daily_max_window,rounding,daily_summary_path,snapshot_tape_path,ledger_path,polymarket_url,gamma_event_url,reconciliation_status,polymarket_winning_band,note,finalized_at_utc
settlement_ledger_v1,highest-temperature-in-atlanta-on-june-6-2026,atlanta,Atlanta,2026-06-06,86.0,86,F,86-87°F,eq,86,87,snapshot_high,partial,"collection coverage incomplete: 1 gap(s), max 262 min; afternoon window not fully covered (captured 15:42-23:50)",24,11,264,False,0.4897959183673469,262.25314545000003,"1 gap(s), max 262 min; afternoon window not fully covered (captured 15:42-23:50)",wunderground_history,KATL:9:US,KATL,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\katl\daily\daily_summary.csv,data\snapshots\highest-temperature-in-atlanta-on-june-6-2026\snapshots_long.csv,data\settlements\atlanta\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-atlanta-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-atlanta-on-june-6-2026,match,86-87 F,daily_summary=85 (rows=15) disagrees with snapshot high=86,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-atlanta-on-june-7-2026,atlanta,Atlanta,2026-06-07,84.0,84,F,84-85°F,eq,84,85,daily_summary,complete,complete enough for headline scoring,140,11,1540,True,0.9790209790209791,10.0,ok,wunderground_history,KATL:9:US,KATL,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\katl\daily\daily_summary.csv,data\snapshots\highest-temperature-in-atlanta-on-june-7-2026\snapshots_long.csv,data\settlements\atlanta\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-atlanta-on-june-7-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-atlanta-on-june-7-2026,match,84-85 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-atlanta-on-june-8-2026,atlanta,Atlanta,2026-06-08,81.0,81,F,80-81°F,eq,80,81,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 21 min",138,11,1518,False,0.9583333333333334,20.95425026666667,"2 gap(s), max 21 min",wunderground_history,KATL:9:US,KATL,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\katl\daily\daily_summary.csv,data\snapshots\highest-temperature-in-atlanta-on-june-8-2026\snapshots_long.csv,data\settlements\atlanta\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-atlanta-on-june-8-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-atlanta-on-june-8-2026,match,80-81 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-atlanta-on-june-9-2026,atlanta,Atlanta,2026-06-09,82.0,82,F,82-83°F,eq,82,83,snapshot_high,partial,"collection coverage incomplete: 3 gap(s), max 379 min",100,11,1100,False,0.6993006993006993,378.54198646666663,"3 gap(s), max 379 min",wunderground_history,KATL:9:US,KATL,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\katl\daily\daily_summary.csv,data\snapshots\highest-temperature-in-atlanta-on-june-9-2026\snapshots_long.csv,data\settlements\atlanta\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-atlanta-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-atlanta-on-june-9-2026,match,82-83 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-austin-on-june-6-2026,austin,Austin,2026-06-06,91.0,91,F,90-91°F,eq,90,91,daily_summary,partial,collection coverage incomplete: afternoon window not fully covered (captured 20:04-00:52),29,11,319,False,1.0,10.0,afternoon window not fully covered (captured 20:04-00:52),wunderground_history,KAUS:9:US,KAUS,America/Chicago,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kaus\daily\daily_summary.csv,data\snapshots\highest-temperature-in-austin-on-june-6-2026\snapshots_long.csv,data\settlements\austin\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-austin-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-austin-on-june-6-2026,match,90-91 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-austin-on-june-7-2026,austin,Austin,2026-06-07,90.0,90,F,90-91°F,eq,90,91,daily_summary,complete,complete enough for headline scoring,140,11,1540,True,0.9722222222222222,10.0,ok,wunderground_history,KAUS:9:US,KAUS,America/Chicago,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kaus\daily\daily_summary.csv,data\snapshots\highest-temperature-in-austin-on-june-7-2026\snapshots_long.csv,data\settlements\austin\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-austin-on-june-7-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-austin-on-june-7-2026,match,90-91 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-austin-on-june-8-2026,austin,Austin,2026-06-08,88.0,88,F,88-89°F,eq,88,89,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 21 min",138,11,1518,False,0.9583333333333334,20.961689733333333,"2 gap(s), max 21 min",wunderground_history,KAUS:9:US,KAUS,America/Chicago,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kaus\daily\daily_summary.csv,data\snapshots\highest-temperature-in-austin-on-june-8-2026\snapshots_long.csv,data\settlements\austin\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-austin-on-june-8-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-austin-on-june-8-2026,match,88-89 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-austin-on-june-9-2026,austin,Austin,2026-06-09,92.0,92,F,92-93°F,eq,92,93,snapshot_high,partial,"collection coverage incomplete: 3 gap(s), max 379 min",100,11,1100,False,0.6993006993006993,378.54103526666665,"3 gap(s), max 379 min",wunderground_history,KAUS:9:US,KAUS,America/Chicago,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kaus\daily\daily_summary.csv,data\snapshots\highest-temperature-in-austin-on-june-9-2026\snapshots_long.csv,data\settlements\austin\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-austin-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-austin-on-june-9-2026,match,92-93 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-chicago-on-june-6-2026,chicago,Chicago,2026-06-06,84.0,84,F,84-85°F,eq,84,85,daily_summary,partial,collection coverage incomplete: afternoon window not fully covered (captured 20:04-00:52),29,11,319,False,1.0,10.0,afternoon window not fully covered (captured 20:04-00:52),wunderground_history,KORD:9:US,KORD,America/Chicago,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kord\daily\daily_summary.csv,data\snapshots\highest-temperature-in-chicago-on-june-6-2026\snapshots_long.csv,data\settlements\chicago\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-chicago-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-chicago-on-june-6-2026,match,84-85 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-chicago-on-june-7-2026,chicago,Chicago,2026-06-07,83.0,83,F,82-83°F,eq,82,83,daily_summary,complete,complete enough for headline scoring,140,11,1540,True,0.9790209790209791,10.0,ok,wunderground_history,KORD:9:US,KORD,America/Chicago,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kord\daily\daily_summary.csv,data\snapshots\highest-temperature-in-chicago-on-june-7-2026\snapshots_long.csv,data\settlements\chicago\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-chicago-on-june-7-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-chicago-on-june-7-2026,match,82-83 F,,2026-06-10T13:41:11.003987+00:00
