local_date,forecast_high_c
2018-05-10,20.3
2018-05-11,11.8
2018-05-12,15.2
2018-05-13,18.4
2018-05-14,24.9
2018-05-15,20.6
2018-05-16,21.3
2018-05-17,24.6
2018-05-18,17.2
2018-05-19,14.8
2018-05-20,20.1
2018-05-21,22.5
2018-05-22,17.4
2018-05-23,26.8
2018-05-24,29.5
2018-05-25,31.1
2018-05-26,28.8
2018-05-27,27.7
2018-05-28,32.1
2018-05-29,28.2
2018-05-30,30.2
2018-05-31,30.1
2018-06-01,27.6
2018-06-02,21.6
2018-06-03,20.8
2018-06-04,18.9
2018-06-05,14.9
2018-06-06,16.4
2018-06-07,23.8
2018-06-08,23.8
2018-06-09,23.9
2018-06-10,23.0
2018-06-11,23.5
2018-06-12,26.8
2018-06-13,29.2
2018-06-14,24.8
2018-06-15,26.7
2019-05-10,15.2
2019-05-11,12.3
2019-05-12,8.9
2019-05-13,7.1
2019-05-14,14.7
2019-05-15,18.6
2019-05-16,14.6
2019-05-17,17.4
2019-05-18,15.6
2019-05-19,22.3
2019-05-20,16.9
2019-05-21,18.7
2019-05-22,16.2
2019-05-23,23.5
2019-05-24,20.7
2019-05-25,20.3
2019-05-26,23.0
2019-05-27,24.3
2019-05-28,15.1
2019-05-29,14.1
2019-05-30,22.9
2019-05-31,19.0
2019-06-01,20.3
2019-06-02,19.2
2019-06-03,16.9
2019-06-04,17.3
2019-06-05,17.7
2019-06-06,23.5
2019-06-07,26.9
2019-06-08,23.7
2019-06-09,25.5
2019-06-10,18.8
2019-06-11,22.5
2019-06-12,22.4
2019-06-13,16.6
2019-06-14,23.1
2019-06-15,21.0
2020-05-10,9.0
2020-05-11,6.3
2020-05-12,9.0
2020-05-13,12.8
2020-05-14,13.6
2020-05-15,19.2
2020-05-16,16.6
2020-05-17,16.5
2020-05-18,12.7
2020-05-19,18.3
2020-05-20,19.8
2020-05-21,20.9
2020-05-22,24.3
2020-05-23,25.2
2020-05-24,25.8
2020-05-25,30.5
2020-05-26,31.0
2020-05-27,28.9
2020-05-28,23.4
2020-05-29,24.9
2020-05-30,17.7
2020-05-31,15.8
2020-06-01,23.2
2020-06-02,26.8
2020-06-03,27.3
2020-06-04,30.2
2020-06-05,28.8
2020-06-06,24.7
2020-06-07,20.4
2020-06-08,23.2
2020-06-09,30.8
2020-06-10,30.3
2020-06-11,24.2
2020-06-12,18.0
2020-06-13,18.6
2020-06-14,17.6
2020-06-15,20.7
2021-05-10,13.3
2021-05-11,10.0
2021-05-12,17.6
2021-05-13,20.6
2021-05-14,21.2
2021-05-15,21.5
2021-05-16,22.1
2021-05-17,22.8
2021-05-18,27.1
2021-05-19,27.3
2021-05-20,29.6
2021-05-21,31.4
2021-05-22,25.8
2021-05-23,24.0
2021-05-24,21.4
2021-05-25,31.4
2021-05-26,24.8
2021-05-27,18.0
2021-05-28,9.4
2021-05-29,16.0
2021-05-30,18.7
2021-05-31,23.7
2021-06-01,25.1
2021-06-02,24.5
2021-06-03,21.8
2021-06-04,27.7
2021-06-05,31.4
2021-06-06,32.9
2021-06-07,31.4
2021-06-08,27.2
2021-06-09,29.2
2021-06-10,24.3
2021-06-11,24.7
2021-06-12,25.2
2021-06-13,27.8
2021-06-14,22.7
2021-06-15,22.1
2022-05-10,22.2
2022-05-11,24.8
2022-05-12,26.3
2022-05-13,26.5
2022-05-14,26.5
2022-05-15,29.3
2022-05-16,20.6
2022-05-17,16.2
2022-05-18,14.1
2022-05-19,21.9
2022-05-20,24.6
2022-05-21,28.6
2022-05-22,17.1
2022-05-23,16.4
2022-05-24,18.6
2022-05-25,19.9
2022-05-26,26.0
2022-05-27,22.9
2022-05-28,21.6
2022-05-29,24.1
2022-05-30,31.6
2022-05-31,33.0
2022-06-01,26.2
2022-06-02,21.2
2022-06-03,23.8
2022-06-04,20.3
2022-06-05,23.9
2022-06-06,20.6
2022-06-07,20.6
2022-06-08,22.3
2022-06-09,22.4
2022-06-10,23.0
2022-06-11,24.2
2022-06-12,24.3
2022-06-13,23.2
2022-06-14,24.4
2022-06-15,27.1
2023-05-10,21.8
2023-05-11,26.4
2023-05-12,27.2
2023-05-13,22.8
2023-05-14,17.8
2023-05-15,23.1
2023-05-16,23.5
2023-05-17,11.3
2023-05-18,14.1
2023-05-19,22.4
2023-05-20,15.7
2023-05-21,24.0
2023-05-22,16.8
2023-05-23,20.5
2023-05-24,16.2
2023-05-25,16.7
2023-05-26,20.7
2023-05-27,23.5
2023-05-28,27.9
2023-05-29,25.8
2023-05-30,27.2
2023-05-31,30.3
2023-06-01,30.9
2023-06-02,31.3
2023-06-03,22.6
2023-06-04,20.7
2023-06-05,24.5
2023-06-06,22.5
2023-06-07,20.4
2023-06-08,18.4
2023-06-09,20.8
2023-06-10,26.3
2023-06-11,23.4
2023-06-12,18.1
2023-06-13,18.9
2023-06-14,19.1
2023-06-15,21.0
2024-05-10,16.2
2024-05-11,15.7
2024-05-12,18.4
2024-05-13,24.6
2024-05-14,20.3
2024-05-15,20.0
2024-05-16,21.2
2024-05-17,19.8
2024-05-18,20.7
2024-05-19,24.1
2024-05-20,28.0
2024-05-21,28.5
2024-05-22,30.0
2024-05-23,25.7
2024-05-24,25.7
2024-05-25,19.2
2024-05-26,22.3
2024-05-27,23.2
2024-05-28,18.7
2024-05-29,19.6
2024-05-30,18.8
2024-05-31,24.2
2024-06-01,23.7
2024-06-02,17.9
2024-06-03,22.9
2024-06-04,26.6
2024-06-05,26.2
2024-06-06,25.1
2024-06-07,18.4
2024-06-08,20.6
2024-06-09,18.0
2024-06-10,15.8
2024-06-11,17.7
2024-06-12,22.3
2024-06-13,29.9
2024-06-14,23.7
2024-06-15,22.1
2025-05-10,23.1
2025-05-11,14.5
2025-05-12,24.9
2025-05-13,24.1
2025-05-14,20.2
2025-05-15,22.5
2025-05-16,27.2
2025-05-17,20.8
2025-05-18,16.1
2025-05-19,13.8
2025-05-20,14.1
2025-05-21,11.5
2025-05-22,9.3
2025-05-23,11.6
2025-05-24,15.0
2025-05-25,16.9
2025-05-26,21.3
2025-05-27,21.8
2025-05-28,17.5
2025-05-29,17.8
2025-05-30,24.6
2025-05-31,14.7
2025-06-01,16.0
2025-06-02,23.5
2025-06-03,28.5
2025-06-04,30.5
2025-06-05,21.2
2025-06-06,23.8
2025-06-07,25.5
2025-06-08,23.0
2025-06-09,22.4
2025-06-10,22.1
2025-06-11,27.8
2025-06-12,24.9
2025-06-13,18.8
2025-06-14,20.9
2025-06-15,23.3
