local_date,forecast_high_c
2018-05-10,87.0
2018-05-11,88.2
2018-05-12,89.8
2018-05-13,89.6
2018-05-14,88.3
2018-05-15,88.9
2018-05-16,92.2
2018-05-17,94.0
2018-05-18,92.6
2018-05-19,90.2
2018-05-20,81.4
2018-05-21,82.8
2018-05-22,87.0
2018-05-23,87.1
2018-05-24,89.5
2018-05-25,92.6
2018-05-26,94.9
2018-05-27,94.7
2018-05-28,93.5
2018-05-29,93.7
2018-05-30,94.4
2018-05-31,95.8
2018-06-01,95.5
2018-06-02,96.7
2018-06-03,96.4
2018-06-04,88.1
2018-06-05,96.7
2018-06-06,96.6
2018-06-07,96.5
2018-06-08,94.0
2018-06-09,91.7
2018-06-10,94.7
2018-06-11,94.3
2018-06-12,96.2
2018-06-13,95.3
2018-06-14,93.8
2018-06-15,93.2
2019-05-10,65.6
2019-05-11,64.9
2019-05-12,77.6
2019-05-13,81.8
2019-05-14,80.2
2019-05-15,83.8
2019-05-16,85.5
2019-05-17,88.1
2019-05-18,83.0
2019-05-19,89.6
2019-05-20,89.4
2019-05-21,85.2
2019-05-22,89.7
2019-05-23,90.9
2019-05-24,88.6
2019-05-25,89.1
2019-05-26,89.9
2019-05-27,87.5
2019-05-28,87.2
2019-05-29,90.8
2019-05-30,83.0
2019-05-31,87.7
2019-06-01,89.3
2019-06-02,90.9
2019-06-03,90.8
2019-06-04,82.2
2019-06-05,88.2
2019-06-06,88.3
2019-06-07,93.1
2019-06-08,93.6
2019-06-09,94.7
2019-06-10,85.3
2019-06-11,76.3
2019-06-12,86.0
2019-06-13,87.2
2019-06-14,89.5
2019-06-15,93.1
2020-05-10,79.2
2020-05-11,82.4
2020-05-12,72.8
2020-05-13,85.9
2020-05-14,89.0
2020-05-15,89.8
2020-05-16,81.9
2020-05-17,88.6
2020-05-18,92.4
2020-05-19,93.4
2020-05-20,91.3
2020-05-21,88.8
2020-05-22,91.9
2020-05-23,90.5
2020-05-24,90.8
2020-05-25,76.5
2020-05-26,82.5
2020-05-27,88.7
2020-05-28,85.5
2020-05-29,86.0
2020-05-30,84.9
2020-05-31,82.5
2020-06-01,81.8
2020-06-02,87.2
2020-06-03,88.4
2020-06-04,89.9
2020-06-05,90.1
2020-06-06,92.6
2020-06-07,92.1
2020-06-08,95.8
2020-06-09,95.6
2020-06-10,89.3
2020-06-11,91.7
2020-06-12,89.7
2020-06-13,90.5
2020-06-14,89.0
2020-06-15,91.5
2021-05-10,78.2
2021-05-11,74.6
2021-05-12,71.9
2021-05-13,72.2
2021-05-14,80.5
2021-05-15,79.8
2021-05-16,80.3
2021-05-17,77.7
2021-05-18,76.9
2021-05-19,70.8
2021-05-20,83.4
2021-05-21,84.8
2021-05-22,80.4
2021-05-23,73.9
2021-05-24,84.9
2021-05-25,85.2
2021-05-26,88.7
2021-05-27,88.9
2021-05-28,89.0
2021-05-29,85.2
2021-05-30,83.6
2021-05-31,83.4
2021-06-01,82.4
2021-06-02,85.7
2021-06-03,70.2
2021-06-04,80.9
2021-06-05,79.6
2021-06-06,88.8
2021-06-07,90.3
2021-06-08,89.4
2021-06-09,91.8
2021-06-10,91.8
2021-06-11,91.2
2021-06-12,92.4
2021-06-13,95.3
2021-06-14,95.6
2021-06-15,95.4
2022-05-10,90.1
2022-05-11,90.8
2022-05-12,91.0
2022-05-13,87.6
2022-05-14,91.9
2022-05-15,93.1
2022-05-16,95.1
2022-05-17,94.2
2022-05-18,95.6
2022-05-19,94.0
2022-05-20,93.7
2022-05-21,96.3
2022-05-22,80.7
2022-05-23,87.4
2022-05-24,84.5
2022-05-25,82.1
2022-05-26,93.6
2022-05-27,95.3
2022-05-28,94.4
2022-05-29,94.2
2022-05-30,91.8
2022-05-31,94.5
2022-06-01,90.0
2022-06-02,88.2
2022-06-03,89.0
2022-06-04,91.2
2022-06-05,96.3
2022-06-06,99.3
2022-06-07,98.0
2022-06-08,95.6
2022-06-09,96.7
2022-06-10,98.4
2022-06-11,99.5
2022-06-12,101.2
2022-06-13,98.0
2022-06-14,96.6
2022-06-15,93.3
2023-05-10,80.3
2023-05-11,88.9
2023-05-12,86.5
2023-05-13,77.2
2023-05-14,82.1
2023-05-15,82.8
2023-05-16,81.3
2023-05-17,87.2
2023-05-18,88.2
2023-05-19,89.5
2023-05-20,81.7
2023-05-21,72.9
2023-05-22,84.2
2023-05-23,89.0
2023-05-24,82.7
2023-05-25,84.1
2023-05-26,85.7
2023-05-27,85.7
2023-05-28,84.4
2023-05-29,84.7
2023-05-30,87.2
2023-05-31,88.1
2023-06-01,88.6
2023-06-02,88.4
2023-06-03,90.1
2023-06-04,80.9
2023-06-05,83.9
2023-06-06,87.5
2023-06-07,89.5
2023-06-08,88.1
2023-06-09,95.1
2023-06-10,90.6
2023-06-11,95.1
2023-06-12,94.4
2023-06-13,91.8
2023-06-14,92.9
2023-06-15,96.9
2024-05-10,83.9
2024-05-11,80.7
2024-05-12,73.8
2024-05-13,77.8
2024-05-14,90.5
2024-05-15,92.6
2024-05-16,81.5
2024-05-17,84.2
2024-05-18,94.4
2024-05-19,91.3
2024-05-20,92.3
2024-05-21,93.0
2024-05-22,92.3
2024-05-23,91.1
2024-05-24,95.6
2024-05-25,97.8
2024-05-26,95.3
2024-05-27,96.9
2024-05-28,86.9
2024-05-29,89.9
2024-05-30,92.0
2024-05-31,89.4
2024-06-01,91.1
2024-06-02,93.2
2024-06-03,93.4
2024-06-04,97.1
2024-06-05,89.4
2024-06-06,94.5
2024-06-07,94.8
2024-06-08,93.8
2024-06-09,93.5
2024-06-10,93.2
2024-06-11,92.3
2024-06-12,89.8
2024-06-13,94.1
2024-06-14,94.4
2024-06-15,93.8
2025-05-10,78.7
2025-05-11,82.7
2025-05-12,89.9
2025-05-13,98.0
2025-05-14,98.0
