local_date,forecast_high_c
2018-05-10,87.1
2018-05-11,79.8
2018-05-12,63.9
2018-05-13,57.4
2018-05-14,64.5
2018-05-15,74.3
2018-05-16,80.3
2018-05-17,83.5
2018-05-18,64.0
2018-05-19,51.1
2018-05-20,56.9
2018-05-21,77.2
2018-05-22,79.6
2018-05-23,79.4
2018-05-24,81.2
2018-05-25,88.0
2018-05-26,91.3
2018-05-27,83.2
2018-05-28,65.9
2018-05-29,74.5
2018-05-30,81.1
2018-05-31,88.6
2018-06-01,89.7
2018-06-02,78.6
2018-06-03,76.4
2018-06-04,89.6
2018-06-05,92.6
2018-06-06,90.8
2018-06-07,88.7
2018-06-08,93.3
2018-06-09,92.5
2018-06-10,94.2
2018-06-11,81.5
2018-06-12,85.9
2018-06-13,90.6
2018-06-14,93.6
2018-06-15,91.1
2019-05-10,55.5
2019-05-11,60.7
2019-05-12,70.1
2019-05-13,74.6
2019-05-14,76.6
2019-05-15,82.3
2019-05-16,78.8
2019-05-17,71.9
2019-05-18,57.5
2019-05-19,57.6
2019-05-20,45.5
2019-05-21,39.5
2019-05-22,47.7
2019-05-23,46.6
2019-05-24,69.7
2019-05-25,75.4
2019-05-26,74.2
2019-05-27,67.3
2019-05-28,56.2
2019-05-29,57.4
2019-05-30,67.9
2019-05-31,74.0
2019-06-01,72.9
2019-06-02,78.4
2019-06-03,79.6
2019-06-04,76.2
2019-06-05,74.1
2019-06-06,81.1
2019-06-07,83.2
2019-06-08,78.3
2019-06-09,59.7
2019-06-10,78.2
2019-06-11,76.0
2019-06-12,71.5
2019-06-13,83.1
2019-06-14,82.0
2019-06-15,73.0
2020-05-10,60.7
2020-05-11,54.4
2020-05-12,73.0
2020-05-13,77.8
2020-05-14,68.1
2020-05-15,65.8
2020-05-16,67.3
2020-05-17,74.9
2020-05-18,86.8
2020-05-19,88.7
2020-05-20,87.7
2020-05-21,73.1
2020-05-22,83.8
2020-05-23,78.3
2020-05-24,59.2
2020-05-25,61.8
2020-05-26,74.7
2020-05-27,78.3
2020-05-28,71.3
2020-05-29,85.0
2020-05-30,80.0
2020-05-31,87.1
2020-06-01,88.0
2020-06-02,84.6
2020-06-03,86.8
2020-06-04,84.3
2020-06-05,93.0
2020-06-06,86.1
2020-06-07,90.8
2020-06-08,77.9
2020-06-09,65.9
2020-06-10,77.5
2020-06-11,79.9
