local_date,forecast_high_c
2018-05-10,85.9
2018-05-11,87.9
2018-05-12,89.1
2018-05-13,88.8
2018-05-14,88.4
2018-05-15,86.9
2018-05-16,90.8
2018-05-17,91.6
2018-05-18,94.8
2018-05-19,90.2
2018-05-20,81.5
2018-05-21,85.9
2018-05-22,88.1
2018-05-23,90.4
2018-05-24,89.5
2018-05-25,88.8
2018-05-26,95.8
2018-05-27,95.3
2018-05-28,93.2
2018-05-29,94.7
2018-05-30,94.7
2018-05-31,95.4
2018-06-01,96.9
2018-06-02,97.7
2018-06-03,91.5
2018-06-04,82.3
2018-06-05,92.4
2018-06-06,94.8
2018-06-07,92.6
2018-06-08,94.5
2018-06-09,95.0
2018-06-10,96.4
2018-06-11,95.6
2018-06-12,95.0
2018-06-13,97.5
2018-06-14,96.8
2018-06-15,95.8
2019-05-10,59.5
2019-05-11,65.2
2019-05-12,76.3
2019-05-13,83.8
2019-05-14,84.6
2019-05-15,86.6
2019-05-16,87.2
2019-05-17,86.2
2019-05-18,78.3
2019-05-19,86.0
2019-05-20,88.8
2019-05-21,85.5
2019-05-22,90.6
2019-05-23,90.4
2019-05-24,90.0
2019-05-25,90.2
2019-05-26,90.0
2019-05-27,89.7
2019-05-28,85.9
2019-05-29,82.6
2019-05-30,85.1
2019-05-31,86.6
2019-06-01,90.0
2019-06-02,84.4
2019-06-03,92.8
2019-06-04,85.2
2019-06-05,80.5
2019-06-06,89.8
2019-06-07,86.5
2019-06-08,90.9
2019-06-09,87.9
2019-06-10,83.9
2019-06-11,82.1
2019-06-12,87.1
2019-06-13,90.1
2019-06-14,91.7
2019-06-15,94.8
2020-05-10,76.7
2020-05-11,80.7
2020-05-12,78.0
2020-05-13,83.4
2020-05-14,90.6
2020-05-15,86.7
2020-05-16,67.5
2020-05-17,86.6
2020-05-18,89.7
2020-05-19,98.9
2020-05-20,79.5
2020-05-21,87.6
2020-05-22,92.4
2020-05-23,90.3
2020-05-24,88.7
2020-05-25,68.3
2020-05-26,72.8
2020-05-27,84.8
2020-05-28,85.8
2020-05-29,88.4
2020-05-30,86.1
2020-05-31,85.9
2020-06-01,85.2
2020-06-02,90.3
2020-06-03,92.7
2020-06-04,95.6
2020-06-05,95.1
2020-06-06,98.7
2020-06-07,94.1
2020-06-08,98.9
2020-06-09,100.1
2020-06-10,90.3
2020-06-11,91.7
2020-06-12,90.3
2020-06-13,91.7
2020-06-14,93.3
2020-06-15,93.9
2021-05-10,63.5
2021-05-11,61.2
2021-05-12,62.3
2021-05-13,72.0
2021-05-14,74.4
2021-05-15,78.5
2021-05-16,72.8
2021-05-17,78.4
2021-05-18,70.9
2021-05-19,79.0
2021-05-20,77.4
2021-05-21,81.6
2021-05-22,77.8
2021-05-23,77.1
2021-05-24,77.5
2021-05-25,79.2
2021-05-26,86.3
2021-05-27,84.6
2021-05-28,78.8
2021-05-29,81.5
2021-05-30,72.4
2021-05-31,75.7
2021-06-01,71.3
2021-06-02,80.5
2021-06-03,79.5
2021-06-04,77.9
2021-06-05,82.7
2021-06-06,84.3
2021-06-07,78.9
2021-06-08,85.2
2021-06-09,87.2
2021-06-10,87.3
2021-06-11,86.9
2021-06-12,88.1
2021-06-13,93.6
2021-06-14,92.4
2021-06-15,90.6
2022-05-10,85.2
2022-05-11,84.1
2022-05-12,84.9
2022-05-13,85.1
2022-05-14,88.2
2022-05-15,89.0
2022-05-16,86.8
2022-05-17,91.5
2022-05-18,87.2
2022-05-19,92.0
2022-05-20,89.1
2022-05-21,89.8
2022-05-22,68.6
2022-05-23,76.2
2022-05-24,74.8
2022-05-25,68.5
2022-05-26,79.6
2022-05-27,84.3
2022-05-28,86.1
2022-05-29,85.8
2022-05-30,85.6
2022-05-31,87.6
2022-06-01,85.5
2022-06-02,81.3
2022-06-03,80.8
2022-06-04,84.1
2022-06-05,86.8
2022-06-06,87.8
2022-06-07,87.8
2022-06-08,87.0
2022-06-09,90.0
2022-06-10,93.2
2022-06-11,95.6
2022-06-12,93.7
2022-06-13,92.9
2022-06-14,88.2
2022-06-15,89.6
2023-05-10,73.9
2023-05-11,83.1
2023-05-12,84.5
2023-05-13,81.2
2023-05-14,74.4
2023-05-15,83.5
2023-05-16,75.0
2023-05-17,80.1
2023-05-18,82.7
2023-05-19,85.8
2023-05-20,74.5
2023-05-21,73.8
2023-05-22,79.0
2023-05-23,80.8
2023-05-24,81.8
2023-05-25,79.7
2023-05-26,83.2
2023-05-27,81.5
2023-05-28,82.7
2023-05-29,84.6
2023-05-30,83.3
2023-05-31,85.5
2023-06-01,84.4
2023-06-02,86.3
2023-06-03,86.8
2023-06-04,84.0
2023-06-05,81.9
2023-06-06,84.3
