local_date,forecast_high_c
2018-05-10,86.9
2018-05-11,86.3
2018-05-12,87.8
2018-05-13,90.1
2018-05-14,90.1
2018-05-15,91.0
2018-05-16,93.5
2018-05-17,94.5
2018-05-18,91.9
2018-05-19,90.4
2018-05-20,89.0
2018-05-21,86.2
2018-05-22,85.7
2018-05-23,83.2
2018-05-24,89.5
2018-05-25,88.3
2018-05-26,91.9
2018-05-27,90.6
2018-05-28,92.7
2018-05-29,93.8
2018-05-30,92.0
2018-05-31,91.6
2018-06-01,94.0
2018-06-02,94.7
2018-06-03,95.8
2018-06-04,92.9
2018-06-05,94.5
2018-06-06,94.3
2018-06-07,92.6
2018-06-08,93.5
2018-06-09,89.7
2018-06-10,93.0
2018-06-11,92.2
2018-06-12,94.0
2018-06-13,95.1
2018-06-14,91.0
2018-06-15,91.1
2019-05-10,76.0
2019-05-11,73.4
2019-05-12,77.2
2019-05-13,83.8
2019-05-14,85.9
2019-05-15,85.3
2019-05-16,86.2
2019-05-17,86.0
2019-05-18,84.0
2019-05-19,91.6
2019-05-20,89.6
2019-05-21,89.3
2019-05-22,88.6
2019-05-23,85.8
2019-05-24,89.0
2019-05-25,89.6
2019-05-26,90.3
2019-05-27,91.0
2019-05-28,91.0
2019-05-29,88.1
2019-05-30,89.5
2019-05-31,89.6
2019-06-01,92.0
2019-06-02,93.6
2019-06-03,92.9
2019-06-04,91.2
2019-06-05,78.7
2019-06-06,93.8
2019-06-07,95.1
2019-06-08,95.8
2019-06-09,96.0
2019-06-10,92.6
2019-06-11,87.6
2019-06-12,96.4
2019-06-13,90.2
2019-06-14,90.8
2019-06-15,92.0
2020-05-10,80.7
2020-05-11,81.7
2020-05-12,83.8
2020-05-13,85.4
2020-05-14,88.6
2020-05-15,83.9
2020-05-16,81.0
2020-05-17,88.8
2020-05-18,92.5
2020-05-19,93.7
2020-05-20,93.6
2020-05-21,91.3
2020-05-22,91.3
2020-05-23,91.2
2020-05-24,87.9
2020-05-25,84.3
2020-05-26,87.7
2020-05-27,88.6
2020-05-28,86.3
2020-05-29,87.5
2020-05-30,87.7
2020-05-31,84.2
2020-06-01,85.9
2020-06-02,90.4
2020-06-03,86.8
2020-06-04,91.2
2020-06-05,92.1
2020-06-06,95.4
2020-06-07,94.9
2020-06-08,92.9
2020-06-09,94.1
2020-06-10,93.3
2020-06-11,91.1
2020-06-12,90.6
2020-06-13,92.8
2020-06-14,92.2
2020-06-15,91.6
2021-05-10,88.3
2021-05-11,87.2
2021-05-12,73.5
2021-05-13,77.0
2021-05-14,81.4
2021-05-15,81.5
2021-05-16,77.3
2021-05-17,84.1
2021-05-18,79.7
2021-05-19,71.9
2021-05-20,81.3
2021-05-21,81.2
2021-05-22,78.9
2021-05-23,77.2
2021-05-24,78.7
2021-05-25,82.4
2021-05-26,86.5
2021-05-27,89.0
2021-05-28,84.8
2021-05-29,90.7
2021-05-30,82.7
2021-05-31,84.9
2021-06-01,85.7
2021-06-02,90.7
2021-06-03,84.5
2021-06-04,78.2
2021-06-05,86.0
2021-06-06,90.4
2021-06-07,90.2
2021-06-08,91.6
2021-06-09,91.6
2021-06-10,91.6
2021-06-11,93.4
2021-06-12,95.7
2021-06-13,97.3
2021-06-14,96.4
2021-06-15,94.9
2022-05-10,90.4
2022-05-11,88.8
2022-05-12,91.5
2022-05-13,90.4
2022-05-14,90.4
2022-05-15,93.1
2022-05-16,94.0
2022-05-17,93.0
2022-05-18,94.0
2022-05-19,92.2
2022-05-20,92.0
2022-05-21,91.6
2022-05-22,84.9
2022-05-23,84.9
2022-05-24,80.5
2022-05-25,84.1
2022-05-26,94.0
2022-05-27,95.8
2022-05-28,95.1
2022-05-29,91.4
2022-05-30,90.4
2022-05-31,91.5
2022-06-01,90.4
2022-06-02,93.2
2022-06-03,90.1
2022-06-04,89.5
2022-06-05,93.4
2022-06-06,91.6
2022-06-07,94.0
2022-06-08,96.0
2022-06-09,97.5
2022-06-10,99.3
2022-06-11,97.7
2022-06-12,98.9
2022-06-13,97.5
2022-06-14,95.3
2022-06-15,95.7
2023-05-10,75.9
2023-05-11,89.5
2023-05-12,88.2
2023-05-13,85.1
2023-05-14,83.2
2023-05-15,87.5
2023-05-16,90.3
2023-05-17,87.5
2023-05-18,91.3
2023-05-19,94.0
2023-05-20,92.1
2023-05-21,80.4
2023-05-22,87.2
2023-05-23,89.6
2023-05-24,88.9
2023-05-25,87.0
2023-05-26,91.3
2023-05-27,88.8
2023-05-28,88.3
2023-05-29,87.0
2023-05-30,91.3
2023-05-31,86.1
2023-06-01,89.5
2023-06-02,90.7
2023-06-03,92.7
2023-06-04,86.1
2023-06-05,85.5
2023-06-06,86.9
2023-06-07,91.3
2023-06-08,92.2
2023-06-09,94.3
2023-06-10,94.0
2023-06-11,95.1
2023-06-12,95.4
2023-06-13,95.0
2023-06-14,94.3
2023-06-15,98.9
2024-05-10,88.8
2024-05-11,81.9
2024-05-12,84.2
2024-05-13,89.1
2024-05-14,89.8
2024-05-15,91.4
2024-05-16,84.8
2024-05-17,73.3
2024-05-18,90.2
2024-05-19,91.8
2024-05-20,89.7
2024-05-21,89.5
2024-05-22,90.5
2024-05-23,91.7
2024-05-24,91.9
2024-05-25,93.0
2024-05-26,91.7
2024-05-27,96.4
2024-05-28,89.6
2024-05-29,86.6
2024-05-30,91.3
2024-05-31,84.5
2024-06-01,90.4
2024-06-02,93.7
2024-06-03,91.0
2024-06-04,91.4
2024-06-05,81.8
2024-06-06,94.9
2024-06-07,96.2
2024-06-08,94.0
2024-06-09,91.3
2024-06-10,92.7
2024-06-11,91.3
2024-06-12,90.5
2024-06-13,92.7
2024-06-14,95.3
2024-06-15,93.1
2025-05-10,81.6
2025-05-11,80.3
2025-05-12,85.4
2025-05-13,92.9
2025-05-14,94.3
2025-05-15,93.0
2025-05-16,90.7
2025-05-17,91.9
2025-05-18,89.7
2025-05-19,89.4
2025-05-20,92.2
2025-05-21,84.3
2025-05-22,90.6
2025-05-23,91.9
2025-05-24,93.1
2025-05-25,92.1
2025-05-26,89.0
2025-05-27,90.1
2025-05-28,79.2
2025-05-29,92.0
2025-05-30,87.0
2025-05-31,88.9
2025-06-01,91.9
2025-06-02,93.4
2025-06-03,89.8
2025-06-04,89.0
2025-06-05,91.4
2025-06-06,92.3
2025-06-07,93.1
2025-06-08,93.7
2025-06-09,93.1
2025-06-10,93.8
2025-06-11,84.5
2025-06-12,78.8
2025-06-13,88.4
2025-06-14,88.4
2025-06-15,93.1
2026-05-10,89.9
2026-05-11,81.8
2026-05-12,86.2
2026-05-13,91.2
2026-05-14,91.4
2026-05-15,88.9
2026-05-16,87.2
2026-05-17,85.5
2026-05-18,86.4
2026-05-19,88.7
2026-05-20,78.5
2026-05-21,79.5
2026-05-22,90.4
2026-05-23,80.2
2026-05-24,84.3
2026-05-25,88.6
2026-05-26,87.8
2026-05-27,78.4
2026-05-28,91.3
2026-05-29,91.3
2026-05-30,93.4
2026-05-31,92.2
2026-06-01,92.8
2026-06-02,91.3
2026-06-03,82.3
2026-06-04,82.5
2026-06-05,83.9
2026-06-06,86.1
2026-06-07,84.6
2026-06-08,85.5
2026-06-09,88.8
2026-06-10,89.9
2026-06-11,89.2
2026-06-12,94.4
2026-06-13,97.6
2026-06-14,95.8
2026-06-15,94.6
