local_date,forecast_high_c
2018-05-10,68.6
2018-05-11,64.1
2018-05-12,65.4
2018-05-13,66.8
2018-05-14,65.9
2018-05-15,65.8
2018-05-16,67.9
2018-05-17,67.9
2018-05-18,65.6
2018-05-19,65.8
2018-05-20,66.7
2018-05-21,64.3
2018-05-22,65.0
2018-05-23,65.6
2018-05-24,64.1
2018-05-25,65.0
2018-05-26,65.8
2018-05-27,68.7
2018-05-28,67.0
2018-05-29,67.7
2018-05-30,66.8
2018-05-31,67.3
2018-06-01,67.9
2018-06-02,71.3
2018-06-03,70.2
2018-06-04,70.2
2018-06-05,68.5
2018-06-06,67.1
2018-06-07,69.1
2018-06-08,71.9
2018-06-09,72.9
2018-06-10,71.3
2018-06-11,72.6
2018-06-12,73.2
2018-06-13,70.4
2018-06-14,76.0
2018-06-15,71.3
2019-05-10,67.0
2019-05-11,69.2
2019-05-12,69.8
2019-05-13,65.9
2019-05-14,65.9
2019-05-15,64.3
2019-05-16,66.8
2019-05-17,67.2
2019-05-18,66.8
2019-05-19,63.8
2019-05-20,66.2
2019-05-21,65.6
2019-05-22,66.3
2019-05-23,62.3
2019-05-24,65.7
2019-05-25,65.8
2019-05-26,61.7
2019-05-27,63.3
2019-05-28,65.3
2019-05-29,68.6
2019-05-30,65.1
2019-05-31,63.7
2019-06-01,64.4
2019-06-02,64.6
2019-06-03,65.7
2019-06-04,67.0
2019-06-05,67.0
2019-06-06,70.8
2019-06-07,66.5
2019-06-08,69.8
2019-06-09,70.3
2019-06-10,76.7
2019-06-11,75.2
2019-06-12,68.7
2019-06-13,66.7
2019-06-14,67.1
2019-06-15,68.5
2020-05-10,67.8
2020-05-11,67.4
2020-05-12,69.3
2020-05-13,68.6
2020-05-14,72.6
2020-05-15,71.8
2020-05-16,72.3
2020-05-17,72.2
2020-05-18,71.7
2020-05-19,68.4
2020-05-20,68.1
2020-05-21,72.8
2020-05-22,71.6
2020-05-23,68.5
2020-05-24,68.4
2020-05-25,69.5
2020-05-26,69.4
2020-05-27,68.2
2020-05-28,65.3
2020-05-29,67.3
2020-05-30,70.4
2020-05-31,69.3
2020-06-01,75.9
2020-06-02,74.4
2020-06-03,75.9
2020-06-04,71.7
2020-06-05,68.9
2020-06-06,68.1
2020-06-07,72.9
2020-06-08,83.6
2020-06-09,91.3
2020-06-10,87.6
2020-06-11,77.4
2020-06-12,68.3
2020-06-13,71.5
2020-06-14,71.0
2020-06-15,71.0
2021-05-10,65.2
2021-05-11,67.9
2021-05-12,65.3
2021-05-13,63.4
2021-05-14,67.3
2021-05-15,68.1
2021-05-16,63.9
2021-05-17,65.0
2021-05-18,67.8
2021-05-19,69.9
2021-05-20,67.7
2021-05-21,69.8
2021-05-22,65.0
2021-05-23,66.8
2021-05-24,72.1
2021-05-25,74.8
2021-05-26,73.7
2021-05-27,69.2
2021-05-28,67.4
2021-05-29,66.2
2021-05-30,67.2
2021-05-31,67.2
2021-06-01,65.7
2021-06-02,64.7
2021-06-03,67.9
2021-06-04,69.6
2021-06-05,69.6
2021-06-06,71.3
2021-06-07,69.5
2021-06-08,70.3
2021-06-09,70.0
2021-06-10,72.0
2021-06-11,73.1
2021-06-12,74.8
2021-06-13,72.9
2021-06-14,76.4
2021-06-15,78.8
2022-05-10,66.1
2022-05-11,64.5
2022-05-12,73.9
2022-05-13,78.2
2022-05-14,80.9
2022-05-15,73.2
2022-05-16,67.7
2022-05-17,66.6
2022-05-18,66.2
2022-05-19,63.6
2022-05-20,64.3
2022-05-21,68.3
2022-05-22,65.2
2022-05-23,65.0
2022-05-24,66.7
2022-05-25,67.7
2022-05-26,69.5
2022-05-27,69.4
2022-05-28,67.7
2022-05-29,69.9
2022-05-30,69.2
2022-05-31,70.4
2022-06-01,74.3
2022-06-02,72.0
2022-06-03,69.2
2022-06-04,68.1
2022-06-05,72.1
2022-06-06,73.3
2022-06-07,70.7
2022-06-08,70.4
2022-06-09,72.2
2022-06-10,73.1
2022-06-11,69.9
2022-06-12,73.0
2022-06-13,73.3
2022-06-14,73.8
2022-06-15,73.6
2023-05-10,65.8
2023-05-11,66.5
2023-05-12,65.7
2023-05-13,64.1
2023-05-14,69.0
2023-05-15,64.1
2023-05-16,64.7
2023-05-17,64.1
2023-05-18,68.1
2023-05-19,64.3
2023-05-20,65.2
2023-05-21,65.2
2023-05-22,64.2
2023-05-23,61.6
2023-05-24,64.8
2023-05-25,63.3
2023-05-26,66.5
2023-05-27,65.9
2023-05-28,63.6
2023-05-29,67.3
2023-05-30,65.9
2023-05-31,66.8
2023-06-01,66.0
2023-06-02,68.4
2023-06-03,67.2
2023-06-04,65.9
2023-06-05,64.3
2023-06-06,65.0
2023-06-07,67.8
2023-06-08,68.7
2023-06-09,66.7
2023-06-10,65.0
2023-06-11,66.8
2023-06-12,67.9
2023-06-13,69.0
2023-06-14,66.0
2023-06-15,67.1
2024-05-10,62.8
2024-05-11,61.9
2024-05-12,65.6
2024-05-13,64.6
2024-05-14,65.4
2024-05-15,63.2
2024-05-16,63.8
2024-05-17,65.1
2024-05-18,64.1
2024-05-19,65.8
2024-05-20,64.5
2024-05-21,65.6
2024-05-22,65.7
2024-05-23,64.1
