local_date,forecast_high_c
2018-05-10,17.1
2018-05-11,22.8
2018-05-12,18.6
2018-05-13,12.3
2018-05-14,20.4
2018-05-15,31.0
2018-05-16,18.7
2018-05-17,21.4
2018-05-18,17.5
2018-05-19,13.3
2018-05-20,27.9
2018-05-21,24.7
2018-05-22,20.0
2018-05-23,27.6
2018-05-24,28.9
2018-05-25,30.0
2018-05-26,32.5
2018-05-27,22.3
2018-05-28,19.5
2018-05-29,30.8
2018-05-30,24.0
2018-05-31,20.3
2018-06-01,27.5
2018-06-02,30.5
2018-06-03,21.3
2018-06-04,21.2
2018-06-05,23.5
2018-06-06,21.1
2018-06-07,21.4
2018-06-08,27.4
2018-06-09,26.9
2018-06-10,22.1
2018-06-11,21.7
2018-06-12,22.9
2018-06-13,24.5
2018-06-14,29.1
2018-06-15,23.9
2019-05-10,21.9
2019-05-11,20.5
2019-05-12,14.6
2019-05-13,9.0
2019-05-14,10.6
2019-05-15,20.9
2019-05-16,23.0
2019-05-17,25.0
2019-05-18,23.5
2019-05-19,23.5
2019-05-20,30.4
2019-05-21,22.4
2019-05-22,23.9
2019-05-23,22.6
2019-05-24,23.6
2019-05-25,20.5
2019-05-26,31.9
2019-05-27,27.2
2019-05-28,21.4
2019-05-29,19.6
2019-05-30,18.7
2019-05-31,27.2
2019-06-01,28.0
2019-06-02,28.2
2019-06-03,22.4
2019-06-04,22.7
2019-06-05,26.4
2019-06-06,28.7
2019-06-07,26.2
2019-06-08,27.0
2019-06-09,24.4
2019-06-10,20.3
2019-06-11,27.0
2019-06-12,23.9
2019-06-13,18.0
2019-06-14,24.3
2019-06-15,28.3
2020-05-10,18.3
2020-05-11,15.3
2020-05-12,15.9
2020-05-13,18.1
2020-05-14,18.0
2020-05-15,29.2
2020-05-16,24.8
2020-05-17,19.7
2020-05-18,20.8
2020-05-19,19.6
2020-05-20,18.3
2020-05-21,18.7
2020-05-22,23.7
2020-05-23,20.0
2020-05-24,19.6
2020-05-25,21.7
2020-05-26,24.6
2020-05-27,25.1
2020-05-28,23.6
2020-05-29,26.4
2020-05-30,28.0
2020-05-31,21.9
2020-06-01,21.9
2020-06-02,23.4
2020-06-03,27.7
2020-06-04,30.4
2020-06-05,26.2
2020-06-06,31.8
2020-06-07,25.7
2020-06-08,26.7
2020-06-09,31.1
2020-06-10,28.9
2020-06-11,26.1
2020-06-12,29.5
2020-06-13,24.2
2020-06-14,22.7
2020-06-15,23.7
2021-05-10,15.6
2021-05-11,19.6
2021-05-12,20.5
2021-05-13,21.3
2021-05-14,24.7
2021-05-15,24.8
2021-05-16,24.6
2021-05-17,24.7
2021-05-18,28.3
2021-05-19,30.6
2021-05-20,24.4
2021-05-21,24.1
2021-05-22,32.6
2021-05-23,32.1
2021-05-24,21.1
2021-05-25,21.7
2021-05-26,28.8
2021-05-27,28.6
2021-05-28,20.0
2021-05-29,10.0
2021-05-30,10.5
2021-05-31,21.1
2021-06-01,25.9
2021-06-02,24.8
2021-06-03,21.9
