local_date,forecast_high_c
2018-05-10,72.2
2018-05-11,53.3
2018-05-12,48.7
2018-05-13,63.8
2018-05-14,82.3
2018-05-15,68.0
2018-05-16,77.4
2018-05-17,67.7
2018-05-18,63.9
2018-05-19,66.1
2018-05-20,58.6
2018-05-21,60.6
2018-05-22,64.6
2018-05-23,78.0
2018-05-24,86.1
2018-05-25,88.2
2018-05-26,88.5
2018-05-27,94.3
2018-05-28,92.9
2018-05-29,84.1
2018-05-30,82.9
2018-05-31,86.3
2018-06-01,75.4
2018-06-02,68.1
2018-06-03,75.9
2018-06-04,78.9
2018-06-05,71.3
2018-06-06,78.3
2018-06-07,79.5
2018-06-08,70.9
2018-06-09,78.0
2018-06-10,67.3
2018-06-11,67.7
2018-06-12,78.2
2018-06-13,79.5
2018-06-14,79.7
2018-06-15,88.3
2019-05-10,55.1
2019-05-11,51.7
2019-05-12,51.9
2019-05-13,60.5
2019-05-14,69.7
2019-05-15,74.9
2019-05-16,74.4
2019-05-17,67.9
2019-05-18,80.0
2019-05-19,73.4
2019-05-20,56.6
2019-05-21,53.2
2019-05-22,82.6
2019-05-23,75.2
2019-05-24,70.5
2019-05-25,81.9
2019-05-26,73.5
2019-05-27,73.9
2019-05-28,69.6
2019-05-29,72.3
2019-05-30,77.9
2019-05-31,83.0
2019-06-01,83.1
2019-06-02,69.7
2019-06-03,66.4
2019-06-04,82.0
2019-06-05,85.6
2019-06-06,74.6
2019-06-07,79.1
2019-06-08,77.0
2019-06-09,72.2
2019-06-10,75.0
2019-06-11,81.3
2019-06-12,72.4
2019-06-13,68.1
2019-06-14,79.9
2019-06-15,70.0
2020-05-10,50.6
2020-05-11,50.0
2020-05-12,59.6
2020-05-13,69.4
2020-05-14,71.7
2020-05-15,75.8
2020-05-16,65.9
2020-05-17,65.9
2020-05-18,63.4
2020-05-19,57.3
2020-05-20,64.4
2020-05-21,67.9
2020-05-22,68.9
2020-05-23,82.3
2020-05-24,88.9
2020-05-25,87.6
2020-05-26,87.7
2020-05-27,85.1
2020-05-28,81.5
2020-05-29,74.2
2020-05-30,70.8
2020-05-31,66.1
2020-06-01,75.7
2020-06-02,94.7
2020-06-03,84.7
2020-06-04,85.2
2020-06-05,88.5
2020-06-06,75.8
2020-06-07,78.5
2020-06-08,90.0
2020-06-09,88.7
2020-06-10,83.6
2020-06-11,81.6
2020-06-12,75.4
2020-06-13,65.8
