local_date,forecast_high_c
2018-05-10,58.7
2018-05-11,64.0
2018-05-12,74.6
2018-05-13,82.8
2018-05-14,85.9
2018-05-15,68.6
2018-05-16,65.9
2018-05-17,64.7
2018-05-18,62.7
2018-05-19,70.4
2018-05-20,63.9
2018-05-21,69.3
2018-05-22,77.2
2018-05-23,78.9
2018-05-24,68.9
2018-05-25,65.7
2018-05-26,64.9
2018-05-27,73.1
2018-05-28,68.1
2018-05-29,63.3
2018-05-30,65.1
2018-05-31,61.9
2018-06-01,64.1
2018-06-02,74.6
2018-06-03,62.4
2018-06-04,65.6
2018-06-05,67.4
2018-06-06,73.1
2018-06-07,65.5
2018-06-08,61.4
2018-06-09,60.5
2018-06-10,57.7
2018-06-11,66.4
2018-06-12,66.9
2018-06-13,64.9
2018-06-14,65.3
2018-06-15,71.1
2019-05-10,83.7
2019-05-11,81.7
2019-05-12,66.7
2019-05-13,65.7
2019-05-14,59.6
2019-05-15,66.6
2019-05-16,61.4
2019-05-17,62.3
2019-05-18,69.4
2019-05-19,68.0
2019-05-20,57.1
2019-05-21,59.9
2019-05-22,72.6
2019-05-23,75.4
2019-05-24,59.8
2019-05-25,53.3
2019-05-26,69.4
2019-05-27,76.1
2019-05-28,65.0
2019-05-29,67.4
2019-05-30,73.7
2019-05-31,74.8
2019-06-01,73.0
2019-06-02,74.2
2019-06-03,66.4
2019-06-04,70.4
2019-06-05,64.7
2019-06-06,61.4
2019-06-07,57.7
2019-06-08,65.9
2019-06-09,70.6
2019-06-10,76.0
2019-06-11,82.4
2019-06-12,90.1
2019-06-13,77.7
2019-06-14,66.8
2019-06-15,72.4
2020-05-10,85.8
2020-05-11,73.9
2020-05-12,64.4
2020-05-13,63.8
2020-05-14,63.4
2020-05-15,66.4
2020-05-16,61.7
2020-05-17,65.6
2020-05-18,66.1
2020-05-19,63.5
2020-05-20,58.6
2020-05-21,55.1
2020-05-22,59.9
2020-05-23,60.8
2020-05-24,68.2
2020-05-25,61.4
2020-05-26,64.4
2020-05-27,74.4
2020-05-28,80.8
2020-05-29,77.5
2020-05-30,58.1
2020-05-31,60.2
2020-06-01,65.4
2020-06-02,64.9
2020-06-03,64.7
2020-06-04,66.3
2020-06-05,65.0
2020-06-06,60.5
2020-06-07,60.8
2020-06-08,62.7
2020-06-09,60.8
2020-06-10,70.5
2020-06-11,69.2
2020-06-12,59.1
2020-06-13,60.2
2020-06-14,63.9
2020-06-15,61.4
2021-05-10,65.7
2021-05-11,68.2
2021-05-12,69.6
2021-05-13,71.5
2021-05-14,73.5
2021-05-15,73.1
2021-05-16,75.5
2021-05-17,60.7
2021-05-18,59.2
2021-05-19,56.8
2021-05-20,60.1
2021-05-21,60.8
2021-05-22,61.1
2021-05-23,58.7
2021-05-24,59.2
2021-05-25,61.4
2021-05-26,63.9
2021-05-27,57.2
2021-05-28,61.9
2021-05-29,71.1
2021-05-30,71.8
2021-05-31,78.5
2021-06-01,85.6
2021-06-02,84.8
2021-06-03,75.3
2021-06-04,67.4
2021-06-05,65.2
2021-06-06,53.4
2021-06-07,61.7
2021-06-08,67.0
2021-06-09,66.5
2021-06-10,63.9
2021-06-11,58.2
2021-06-12,73.4
2021-06-13,63.8
2021-06-14,63.5
2021-06-15,65.0
2022-05-10,59.0
2022-05-11,59.9
2022-05-12,51.0
2022-05-13,56.0
2022-05-14,64.4
2022-05-15,58.0
2022-05-16,58.4
2022-05-17,59.6
2022-05-18,57.1
2022-05-19,57.5
2022-05-20,60.7
2022-05-21,68.3
2022-05-22,70.6
2022-05-23,65.7
2022-05-24,59.5
2022-05-25,68.1
2022-05-26,67.7
2022-05-27,60.0
2022-05-28,55.7
2022-05-29,54.4
2022-05-30,58.0
2022-05-31,69.5
2022-06-01,70.9
2022-06-02,72.8
2022-06-03,62.3
2022-06-04,67.1
2022-06-05,62.6
2022-06-06,63.9
2022-06-07,72.5
2022-06-08,69.0
2022-06-09,58.2
2022-06-10,65.0
2022-06-11,68.1
2022-06-12,56.9
2022-06-13,57.2
2022-06-14,61.1
2022-06-15,60.8
2023-05-10,70.2
2023-05-11,74.3
2023-05-12,80.9
2023-05-13,86.3
2023-05-14,88.2
2023-05-15,88.4
2023-05-16,77.8
2023-05-17,79.0
2023-05-18,75.6
2023-05-19,75.0
2023-05-20,76.1
2023-05-21,59.0
2023-05-22,61.3
2023-05-23,63.2
2023-05-24,69.1
2023-05-25,76.2
2023-05-26,80.6
2023-05-27,68.7
2023-05-28,63.2
2023-05-29,68.7
2023-05-30,61.9
2023-05-31,63.0
2023-06-01,67.8
2023-06-02,70.9
2023-06-03,73.1
2023-06-04,69.3
2023-06-05,71.4
2023-06-06,79.6
2023-06-07,85.5
2023-06-08,72.2
2023-06-09,59.3
2023-06-10,60.0
2023-06-11,68.9
2023-06-12,81.8
2023-06-13,66.9
2023-06-14,64.1
2023-06-15,70.4
2024-05-10,83.9
2024-05-11,83.3
2024-05-12,75.0
2024-05-13,61.9
2024-05-14,70.3
2024-05-15,74.0
2024-05-16,61.2
2024-05-17,61.4
2024-05-18,55.1
2024-05-19,60.6
2024-05-20,64.0
2024-05-21,51.5
