local_date,forecast_high_c
2018-05-10,65.2
2018-05-11,72.6
2018-05-12,74.0
2018-05-13,66.0
2018-05-14,60.8
2018-05-15,62.3
2018-05-16,63.8
2018-05-17,63.2
2018-05-18,62.1
2018-05-19,60.0
2018-05-20,60.0
2018-05-21,64.3
2018-05-22,60.5
2018-05-23,59.8
2018-05-24,62.3
2018-05-25,62.6
2018-05-26,62.4
2018-05-27,72.0
2018-05-28,84.9
2018-05-29,75.3
2018-05-30,59.4
2018-05-31,60.1
2018-06-01,73.6
2018-06-02,84.7
2018-06-03,80.3
2018-06-04,64.2
2018-06-05,62.0
2018-06-06,60.7
2018-06-07,63.0
2018-06-08,69.5
2018-06-09,63.2
2018-06-10,65.3
2018-06-11,72.1
2018-06-12,79.5
2018-06-13,74.2
2018-06-14,70.1
2018-06-15,65.8
2019-05-10,67.7
2019-05-11,67.7
2019-05-12,62.5
2019-05-13,65.9
2019-05-14,64.1
2019-05-15,66.4
2019-05-16,58.8
2019-05-17,61.9
2019-05-18,57.4
2019-05-19,59.6
2019-05-20,61.7
2019-05-21,59.6
2019-05-22,66.0
2019-05-23,68.5
2019-05-24,67.7
2019-05-25,64.8
2019-05-26,60.2
2019-05-27,60.9
2019-05-28,65.9
2019-05-29,68.6
2019-05-30,60.4
2019-05-31,71.4
2019-06-01,73.1
2019-06-02,68.8
2019-06-03,71.5
2019-06-04,80.6
2019-06-05,76.3
2019-06-06,63.2
2019-06-07,68.4
2019-06-08,79.4
2019-06-09,88.7
2019-06-10,97.3
2019-06-11,101.3
2019-06-12,83.9
2019-06-13,72.3
2019-06-14,66.7
2019-06-15,62.3
2020-05-10,66.8
2020-05-11,72.1
2020-05-12,64.4
2020-05-13,65.8
2020-05-14,67.2
2020-05-15,66.6
2020-05-16,70.2
2020-05-17,73.1
2020-05-18,66.0
2020-05-19,65.4
2020-05-20,65.6
2020-05-21,69.9
2020-05-22,66.6
2020-05-23,73.0
2020-05-24,80.6
2020-05-25,88.8
2020-05-26,91.0
2020-05-27,83.4
2020-05-28,72.1
2020-05-29,72.2
2020-05-30,69.6
2020-05-31,67.1
2020-06-01,69.7
2020-06-02,86.6
2020-06-03,89.2
2020-06-04,82.6
2020-06-05,62.4
2020-06-06,65.6
2020-06-07,65.5
2020-06-08,72.5
