schema_version,source,market_id,city,station,station_name,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,max_temp_times,min_temp,avg_temp,max_dewpoint,max_wind_kmh,max_gust_kmh
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-01,F,24,00:00,23:00,37.6,38,23:00,33.6,35.6,35.3,10.1,38.9
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-02,F,24,00:00,23:00,41.9,42,17:00|18:00,37.8,40.06,40.9,11.7,32.8
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-03,F,24,00:00,23:00,52.3,52,17:00|18:00,39.3,43.88,40.4,16.3,46.8
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-04,F,24,00:00,23:00,41.3,41,01:00,30.3,35.6,34.6,26.8,48.6
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-05,F,24,00:00,23:00,46.4,46,17:00,24.0,33.77,25.4,18.8,29.5
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-06,F,24,00:00,23:00,59.1,59,16:00,31.3,43.51,38.8,19.4,31.7
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-07,F,24,00:00,23:00,41.3,41,00:00,24.6,35.4,35.4,35.7,63.0
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-08,F,24,00:00,23:00,37.5,38,17:00,17.5,27.18,15.4,19.7,38.2
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-09,F,24,00:00,23:00,38.8,39,17:00,30.5,34.32,20.8,20.2,36.4
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-10,F,24,00:00,23:00,37.6,38,16:00,31.1,34.12,30.9,12.3,23.8
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-11,F,24,00:00,23:00,42.8,43,23:00,34.4,37.97,40.5,11.4,34.6
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-12,F,24,00:00,23:00,43.3,43,14:00,37.0,41.24,41.2,21.6,42.8
historical_daily_native_v1,open_meteo_era5_reanalysis,dallas,Dallas,"era5:32.8384,-96.8358",Dallas ERA5 grid,2015-01-13,F,24,00:00,23:00,39.9,40,17:00,33.8,36.52,30.2,17.7,31.0
