schema_version,source,market_id,city,station,station_name,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,max_temp_times,min_temp,avg_temp,max_dewpoint,max_wind_kmh,max_gust_kmh
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-01,F,24,00:00,23:00,46.4,46,16:00,42.5,44.39,44.9,18.4,33.1
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-02,F,24,00:00,23:00,58.9,59,23:00,45.3,50.9,58.3,13.0,30.6
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-03,F,24,00:00,23:00,61.0,61,02:00,41.7,50.46,60.3,17.1,68.4
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-04,F,24,00:00,23:00,53.3,53,15:00|16:00,39.8,45.25,43.5,22.5,43.9
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-05,F,24,00:00,23:00,51.9,52,16:00,31.9,40.1,32.8,18.4,32.8
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-06,F,24,00:00,23:00,64.2,64,16:00,34.5,46.7,46.0,8.6,16.2
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-07,F,24,00:00,23:00,60.2,60,15:00,42.8,49.76,46.1,25.9,50.0
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-08,F,24,00:00,23:00,41.5,42,00:00,29.8,36.27,26.0,19.8,37.1
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-09,F,24,00:00,23:00,40.4,40,05:00,37.7,38.74,33.7,18.0,33.8
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-10,F,24,00:00,23:00,41.0,41,13:00,37.8,38.94,35.5,15.6,31.0
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-11,F,24,00:00,23:00,49.7,50,10:00,38.4,45.55,47.9,15.3,43.9
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-12,F,24,00:00,23:00,48.0,48,03:00,45.8,46.59,46.9,17.7,34.9
historical_daily_native_v1,open_meteo_era5_reanalysis,houston,Houston,"era5:29.6458,-95.2821",Houston ERA5 grid,2015-01-13,F,24,00:00,23:00,46.1,46,00:00,44.2,45.12,42.3,19.6,36.4
