schema_version,source,market_id,city,station,station_name,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,max_temp_times,min_temp,avg_temp,max_dewpoint,max_wind_kmh,max_gust_kmh
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-01,F,24,00:00,23:00,38.0,38,17:00,26.0,31.69,22.7,24.3,46.1
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-02,F,24,00:00,23:00,41.6,42,16:00,33.5,37.2,23.8,22.8,41.4
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-03,F,24,00:00,23:00,43.7,44,23:00,30.2,35.86,40.9,22.0,38.9
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-04,F,24,00:00,23:00,54.0,54,17:00,43.4,48.01,51.3,26.8,50.0
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-05,F,24,00:00,23:00,51.2,51,00:00,24.3,37.22,40.6,30.1,60.1
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-06,F,24,00:00,23:00,23.7,24,00:00,19.5,20.98,16.0,19.5,36.4
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-07,F,24,00:00,23:00,24.3,24,15:00,12.4,20.33,16.8,33.2,64.1
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-08,F,24,00:00,23:00,20.7,21,17:00,8.9,14.71,4.3,29.7,55.4
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-09,F,24,00:00,23:00,32.1,32,16:00,18.4,26.43,16.7,28.5,59.8
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-10,F,24,00:00,23:00,24.0,24,00:00,17.5,20.14,9.4,21.4,40.0
historical_daily_native_v1,open_meteo_era5_reanalysis,nyc,NYC,"era5:40.7769,-73.8740",NYC ERA5 grid,2015-01-11,F,24,00:00,23:00,35.5,36,23:00,17.6,26.02,22.8,17.6,32.8
