schema_version,source,market_id,city,station,station_name,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,max_temp_times,min_temp,avg_temp,max_dewpoint,max_wind_kmh,max_gust_kmh
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-01,F,24,00:00,23:00,77.2,77,14:00|15:00,70.8,74.02,69.3,11.7,22.7
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-02,F,24,00:00,23:00,78.9,79,13:00|14:00,73.1,75.93,71.0,17.4,34.2
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-03,F,24,00:00,23:00,79.6,80,14:00,75.4,77.34,71.5,24.7,44.6
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-04,F,24,00:00,23:00,79.9,80,15:00,75.1,77.2,71.8,24.4,38.2
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-05,F,24,00:00,23:00,79.9,80,15:00|16:00,73.9,76.29,71.2,19.4,41.4
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-06,F,24,00:00,23:00,79.0,79,14:00,72.9,75.85,69.7,18.0,38.5
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-07,F,24,00:00,23:00,77.7,78,17:00,69.7,73.48,68.8,20.3,29.9
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-08,F,24,00:00,23:00,70.5,71,14:00,59.8,65.62,58.5,33.9,54.0
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-09,F,24,00:00,23:00,75.0,75,16:00|17:00,67.4,71.01,59.8,15.8,25.9
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-10,F,24,00:00,23:00,74.1,74,16:00,62.8,69.17,65.2,24.2,41.8
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-11,F,24,00:00,23:00,76.7,77,11:00,72.5,74.59,69.9,25.7,46.8
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-12,F,24,00:00,23:00,77.6,78,12:00,74.1,75.52,71.4,24.1,45.0
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-13,F,24,00:00,23:00,77.8,78,16:00,71.0,73.9,70.5,13.5,22.3
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-14,F,24,00:00,23:00,76.3,76,16:00,69.7,72.08,69.3,20.6,33.1
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-15,F,24,00:00,23:00,75.7,76,16:00,66.1,70.35,67.0,24.5,37.4
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-16,F,24,00:00,23:00,70.2,70,13:00,64.7,67.52,64.5,24.5,39.2
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-17,F,24,00:00,23:00,73.7,74,14:00|15:00,60.6,67.6,58.0,22.5,34.6
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-18,F,24,00:00,23:00,77.2,77,17:00,65.8,71.03,62.1,16.6,24.5
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-19,F,24,00:00,23:00,72.0,72,17:00,59.9,66.74,56.1,19.5,31.0
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-20,F,24,00:00,23:00,73.1,73,15:00,65.8,69.64,59.6,14.7,27.7
historical_daily_native_v1,open_meteo_era5_reanalysis,miami,Miami,"era5:25.7881,-80.3169",Miami ERA5 grid,2015-01-21,F,24,00:00,23:00,76.8,77,14:00,68.8,72.48,66.3,15.0,30.2
