snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260606T154236-0400,2026-06-06T19:42:36.058920+00:00,2026-06-06T15:42:33.739346-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,13,84.0,84.0,17.0,58.0,41.0,29.01,-0.03999999999999915,8.0,87.1,3.0999999999999943,S-SW,Partly cloudy
20260606T200451-0400,2026-06-07T00:04:51.247647+00:00,2026-06-06T20:04:50.702346-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,86.0,84.0,17.0,59.0,43.0,28.95,-0.019999999999999574,8.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T201502-0400,2026-06-07T00:15:02.837222+00:00,2026-06-06T20:15:02.667098-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,86.0,84.0,17.0,59.0,43.0,28.95,-0.019999999999999574,8.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T202540-0400,2026-06-07T00:25:40.242266+00:00,2026-06-06T20:25:40.125666-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,86.0,84.0,17.0,59.0,43.0,28.95,-0.019999999999999574,8.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T203554-0400,2026-06-07T00:35:54.886834+00:00,2026-06-06T20:35:53.905661-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,86.0,84.0,17.0,59.0,43.0,28.95,-0.019999999999999574,8.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T204622-0400,2026-06-07T00:46:22.714394+00:00,2026-06-06T20:46:22.128523-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,86.0,84.0,17.0,59.0,43.0,28.95,-0.019999999999999574,8.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T205648-0400,2026-06-07T00:56:48.351107+00:00,2026-06-06T20:56:46.635784-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,86.0,84.0,17.0,59.0,43.0,28.95,-0.019999999999999574,8.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T210724-0400,2026-06-07T01:07:24.734392+00:00,2026-06-06T21:07:24.631146-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,86.0,84.0,17.0,59.0,43.0,28.95,-0.019999999999999574,8.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T211737-0400,2026-06-07T01:17:37.018559+00:00,2026-06-06T21:17:36.787092-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,86.0,84.0,17.0,59.0,43.0,28.95,-0.019999999999999574,8.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T212749-0400,2026-06-07T01:27:49.449252+00:00,2026-06-06T21:27:49.308435-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,86.0,84.0,17.0,59.0,43.0,28.95,-0.019999999999999574,8.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T213800-0400,2026-06-07T01:38:00.501088+00:00,2026-06-06T21:38:00.371664-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,86.0,84.0,17.0,59.0,43.0,28.95,-0.019999999999999574,8.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T214815-0400,2026-06-07T01:48:15.075326+00:00,2026-06-06T21:48:14.974406-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,86.0,82.0,15.0,60.0,47.0,28.93,-0.030000000000001137,7.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T215839-0400,2026-06-07T01:58:39.318037+00:00,2026-06-06T21:58:39.211678-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,86.0,82.0,15.0,60.0,47.0,28.93,-0.030000000000001137,7.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T220850-0400,2026-06-07T02:08:50.875188+00:00,2026-06-06T22:08:50.735813-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,86.0,82.0,15.0,60.0,47.0,28.93,-0.030000000000001137,7.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T221904-0400,2026-06-07T02:19:04.349256+00:00,2026-06-06T22:19:04.119846-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,86.0,82.0,15.0,60.0,47.0,28.93,-0.030000000000001137,7.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T222915-0400,2026-06-07T02:29:15.650565+00:00,2026-06-06T22:29:15.520529-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,86.0,82.0,15.0,60.0,47.0,28.93,-0.030000000000001137,7.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T223929-0400,2026-06-07T02:39:29.545792+00:00,2026-06-06T22:39:29.425520-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,86.0,82.0,15.0,60.0,47.0,28.93,-0.030000000000001137,7.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
20260606T224940-0400,2026-06-07T02:49:40.698070+00:00,2026-06-06T22:49:40.576407-04:00,highest-temperature-in-atlanta-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,86.0,82.0,15.0,60.0,47.0,28.93,-0.030000000000001137,7.0,86.8,0.7999999999999972,S-SW,Mostly cloudy/overcast
