snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,warming_rate_2h,hours_at_peak,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:51.585029-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,74.0,74.0,57.0,0.0,0.0,72.0,93.0,,0.0,3.0,78.7,4.700000000000003,SSE,Precip
20260609T001305-0400,2026-06-09T04:13:05.206805+00:00,2026-06-09T00:13:04.975619-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,74.0,74.0,57.0,0.0,0.0,72.0,92.0,,0.0,3.0,78.7,4.700000000000003,SSE,Precip
20260609T002326-0400,2026-06-09T04:23:26.327420+00:00,2026-06-09T00:23:26.078057-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,74.0,74.0,57.0,0.0,0.0,72.0,92.0,,0.0,3.0,78.7,4.700000000000003,SSE,Precip
20260609T003339-0400,2026-06-09T04:33:39.133886+00:00,2026-06-09T00:33:38.901210-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,74.0,74.0,57.0,0.0,0.0,72.0,92.0,,0.0,3.0,78.7,4.700000000000003,SSE,Precip
20260609T004354-0400,2026-06-09T04:43:54.783028+00:00,2026-06-09T00:43:54.559557-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,75.0,74.0,57.0,0.0,6.45,72.0,95.0,29.08,0.0,,78.7,3.700000000000003,SSE,Fog/haze
20260609T005413-0400,2026-06-09T04:54:13.544765+00:00,2026-06-09T00:54:13.295290-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,75.0,74.0,57.0,0.0,6.45,72.0,95.0,29.08,0.0,,81.6,6.599999999999994,SSE,Fog/haze
20260609T010426-0400,2026-06-09T05:04:26.164322+00:00,2026-06-09T01:04:25.912307-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,75.0,74.0,57.0,0.0,6.45,72.0,94.0,29.08,0.0,,81.6,6.599999999999994,SSE,Mostly cloudy/overcast
20260609T011442-0400,2026-06-09T05:14:42.031567+00:00,2026-06-09T01:14:41.770174-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,75.0,74.0,57.0,0.0,6.45,72.0,94.0,29.08,0.0,,81.6,6.599999999999994,SSE,Mostly cloudy/overcast
20260609T012455-0400,2026-06-09T05:24:55.426115+00:00,2026-06-09T01:24:55.179577-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,75.0,74.0,57.0,0.0,6.45,72.0,93.0,29.08,0.0,,81.6,6.599999999999994,SSE,Mostly cloudy/overcast
20260609T013509-0400,2026-06-09T05:35:09.877815+00:00,2026-06-09T01:35:09.658691-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,75.0,74.0,57.0,0.0,6.45,72.0,93.0,29.08,0.0,,81.6,6.599999999999994,SSE,Mostly cloudy/overcast
20260609T014524-0400,2026-06-09T05:45:24.043231+00:00,2026-06-09T01:45:23.855473-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,75.0,74.0,57.0,0.0,6.45,72.0,93.0,29.07,0.0,,81.6,6.599999999999994,SSE,Mostly cloudy/overcast
20260609T015539-0400,2026-06-09T05:55:39.380431+00:00,2026-06-09T01:55:39.221143-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,75.0,74.0,57.0,0.0,6.45,72.0,93.0,29.07,0.0,,81.7,6.700000000000003,SSE,Precip
20260609T020557-0400,2026-06-09T06:05:57.166456+00:00,2026-06-09T02:05:56.995021-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,75.0,73.0,56.0,0.0,6.45,72.0,94.0,29.07,0.0,,81.7,6.700000000000003,SSE,Precip
20260609T021611-0400,2026-06-09T06:16:11.202918+00:00,2026-06-09T02:16:10.940277-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,75.0,73.0,56.0,0.0,6.45,71.0,94.0,29.07,0.0,,81.7,6.700000000000003,SSE,Precip
20260609T083443-0400,2026-06-09T12:34:43.722106+00:00,2026-06-09T08:34:43.431816-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,75.0,73.0,-1.0,-1.0,7.45,70.0,89.0,29.11,0.030000000000001137,,81.2,6.200000000000003,SSE,Mostly cloudy/overcast
