snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,range_label,bin_kind,bin_value_c,model_probability,market_yes,market_no,edge,best_bid,best_ask,last_trade_price,volume,liquidity,market_status,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,73°F or below,lte,73,3.1899802812198896e-06,0.0005,0.9995,-0.0004968100197187801,,0.001,0.002,533.96604,7522.424,active,,74.0,82.0,,80.0,73.7,
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,74-75°F,eq,74,0.0008538905849806275,0.0005,0.9995,0.00035389058498062746,,0.001,0.001,1924.5869999999998,5219.96687,active,,74.0,82.0,,80.0,73.7,
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,76-77°F,eq,76,0.08953482385983925,0.0015,0.9985,0.08803482385983925,0.001,0.002,0.001,3922.3807500000007,5431.55618,active,,74.0,82.0,,80.0,73.7,
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,78-79°F,eq,78,0.18541898500259082,0.0315,0.9685,0.15391898500259082,0.025,0.038,0.038,2151.1688560000002,3537.73872,active,,74.0,82.0,,80.0,73.7,
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,80-81°F,eq,80,0.4976098834500678,0.08,0.92,0.4176098834500678,0.07,0.09,0.08,2564.9187200000006,2302.7254,active,,74.0,82.0,,80.0,73.7,
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,82-83°F,eq,82,0.18288407057015774,0.295,0.705,-0.11211592942984225,0.28,0.31,0.31,1607.9207740000006,946.1259,active,,74.0,82.0,,80.0,73.7,
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,84-85°F,eq,84,0.041693614572159934,0.395,0.605,-0.3533063854278401,0.39,0.4,0.4,2075.663218,1063.113,active,,74.0,82.0,,80.0,73.7,
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,86-87°F,eq,86,0.0017633820437215858,0.1355,0.8645,-0.13373661795627842,0.12,0.151,0.121,4041.6672819999994,2121.99526,active,,74.0,82.0,,80.0,73.7,
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,88-89°F,eq,88,0.00023558931778372004,0.0515,0.9485,-0.05126441068221628,0.035,0.068,0.061,2539.704687000001,2834.44233,active,,74.0,82.0,,80.0,73.7,
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,90-91°F,eq,90,2.273805252268428e-06,0.0045,0.9955,-0.0044977261947477315,0.003,0.006,0.005,800.5335,3301.82424,active,,74.0,82.0,,80.0,73.7,
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,92°F or higher,gte,92,2.9681316508746665e-07,0.0015,0.9985,-0.0014997031868349126,0.001,0.002,0.004,493.56710000000004,3445.01963,active,,74.0,82.0,,80.0,73.7,
