snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_73c,market_yes_lte_73c,market_no_lte_73c,edge_lte_73c,best_bid_lte_73c,best_ask_lte_73c,last_lte_73c,model_eq_74c,market_yes_eq_74c,market_no_eq_74c,edge_eq_74c,best_bid_eq_74c,best_ask_eq_74c,last_eq_74c,model_eq_76c,market_yes_eq_76c,market_no_eq_76c,edge_eq_76c,best_bid_eq_76c,best_ask_eq_76c,last_eq_76c,model_eq_78c,market_yes_eq_78c,market_no_eq_78c,edge_eq_78c,best_bid_eq_78c,best_ask_eq_78c,last_eq_78c,model_eq_80c,market_yes_eq_80c,market_no_eq_80c,edge_eq_80c,best_bid_eq_80c,best_ask_eq_80c,last_eq_80c,model_eq_82c,market_yes_eq_82c,market_no_eq_82c,edge_eq_82c,best_bid_eq_82c,best_ask_eq_82c,last_eq_82c,model_eq_84c,market_yes_eq_84c,market_no_eq_84c,edge_eq_84c,best_bid_eq_84c,best_ask_eq_84c,last_eq_84c,model_eq_86c,market_yes_eq_86c,market_no_eq_86c,edge_eq_86c,best_bid_eq_86c,best_ask_eq_86c,last_eq_86c,model_eq_88c,market_yes_eq_88c,market_no_eq_88c,edge_eq_88c,best_bid_eq_88c,best_ask_eq_88c,last_eq_88c,model_eq_90c,market_yes_eq_90c,market_no_eq_90c,edge_eq_90c,best_bid_eq_90c,best_ask_eq_90c,last_eq_90c,model_gte_92c,market_yes_gte_92c,market_no_gte_92c,edge_gte_92c,best_bid_gte_92c,best_ask_gte_92c,last_gte_92c
20260609T000252-0400,2026-06-09T04:02:52.062436+00:00,2026-06-09T00:02:52.062436-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T03:56:07.414246Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,,74.0,82.0,,80.0,73.7,,3.1899802812198896e-06,0.0005,0.9995,-0.0004968100197187801,,0.001,0.002,0.0008538905849806275,0.0005,0.9995,0.00035389058498062746,,0.001,0.001,0.08953482385983925,0.0015,0.9985,0.08803482385983925,0.001,0.002,0.001,0.18541898500259082,0.0315,0.9685,0.15391898500259082,0.025,0.038,0.038,0.4976098834500678,0.08,0.92,0.4176098834500678,0.07,0.09,0.08,0.18288407057015774,0.295,0.705,-0.11211592942984225,0.28,0.31,0.31,0.041693614572159934,0.395,0.605,-0.3533063854278401,0.39,0.4,0.4,0.0017633820437215858,0.1355,0.8645,-0.13373661795627842,0.12,0.151,0.121,0.00023558931778372004,0.0515,0.9485,-0.05126441068221628,0.035,0.068,0.061,2.273805252268428e-06,0.0045,0.9955,-0.0044977261947477315,0.003,0.006,0.005,2.9681316508746665e-07,0.0015,0.9985,-0.0014997031868349126,0.001,0.002,0.004
20260609T001305-0400,2026-06-09T04:13:05.206805+00:00,2026-06-09T00:13:05.206805-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T04:06:21.772588Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,,74.0,82.0,,80.0,73.7,,3.1899802812198896e-06,0.0005,0.9995,-0.0004968100197187801,,0.001,0.002,0.0008538905849806275,0.0005,0.9995,0.00035389058498062746,,0.001,0.001,0.08953482385983925,0.0015,0.9985,0.08803482385983925,0.001,0.002,0.001,0.18541898500259082,0.029,0.971,0.15641898500259083,0.02,0.038,0.038,0.4976098834500678,0.08,0.92,0.4176098834500678,0.07,0.09,0.08,0.18288407057015774,0.295,0.705,-0.11211592942984225,0.28,0.31,0.31,0.041693614572159934,0.395,0.605,-0.3533063854278401,0.39,0.4,0.4,0.0017633820437215858,0.1345,0.8655,-0.13273661795627842,0.122,0.147,0.15,0.00023558931778372004,0.047,0.953,-0.04676441068221628,0.035,0.059,0.061,2.273805252268428e-06,0.0045,0.9955,-0.0044977261947477315,0.003,0.006,0.005,2.9681316508746665e-07,0.0015,0.9985,-0.0014997031868349126,0.001,0.002,0.004
20260609T002326-0400,2026-06-09T04:23:26.327420+00:00,2026-06-09T00:23:26.327420-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T04:18:56.825383Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,,74.0,82.0,,80.0,73.7,,3.1899802812198896e-06,0.0005,0.9995,-0.0004968100197187801,,0.001,0.002,0.0008538905849806275,0.0005,0.9995,0.00035389058498062746,,0.001,0.001,0.08953482385983925,0.001,0.999,0.08853482385983925,,0.002,0.001,0.18541898500259082,0.029,0.971,0.15641898500259083,0.02,0.038,0.038,0.4976098834500678,0.08,0.92,0.4176098834500678,0.07,0.09,0.08,0.18288407057015774,0.295,0.705,-0.11211592942984225,0.28,0.31,0.31,0.041693614572159934,0.395,0.605,-0.3533063854278401,0.38,0.41,0.4,0.0017633820437215858,0.1315,0.8685,-0.12973661795627842,0.121,0.142,0.15,0.00023558931778372004,0.05,0.95,-0.049764410682216285,0.041,0.059,0.061,2.273805252268428e-06,0.0045,0.9955,-0.0044977261947477315,0.003,0.006,0.005,2.9681316508746665e-07,0.0015,0.9985,-0.0014997031868349126,0.001,0.002,0.004
20260609T003339-0400,2026-06-09T04:33:39.133886+00:00,2026-06-09T00:33:39.133886-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T04:26:49.770941Z,v0.5.0 HGBC feature-based ML model,81,0.35471543311055304,,74.0,82.0,,80.0,73.7,,3.1899802812198896e-06,0.0005,0.9995,-0.0004968100197187801,,0.001,0.002,0.0008538905849806275,0.0005,0.9995,0.00035389058498062746,,0.001,0.001,0.08953482385983925,0.001,0.999,0.08853482385983925,,0.002,0.001,0.18541898500259082,0.0245,0.9755,0.16091898500259083,0.011,0.038,0.038,0.4976098834500678,0.08,0.92,0.4176098834500678,0.07,0.09,0.08,0.18288407057015774,0.295,0.705,-0.11211592942984225,0.28,0.31,0.31,0.041693614572159934,0.395,0.605,-0.3533063854278401,0.38,0.41,0.4,0.0017633820437215858,0.1315,0.8685,-0.12973661795627842,0.121,0.142,0.15,0.00023558931778372004,0.035,0.965,-0.034764410682216286,0.031,0.039,0.061,2.273805252268428e-06,0.0045,0.9955,-0.0044977261947477315,0.003,0.006,0.005,2.9681316508746665e-07,0.0015,0.9985,-0.0014997031868349126,0.001,0.002,0.004
20260609T004354-0400,2026-06-09T04:43:54.783028+00:00,2026-06-09T00:43:54.783028-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T04:39:46.384934Z,v0.5.0 HGBC feature-based ML model,81,0.31306998347735854,75.0,74.0,82.0,,80.0,73.7,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.001050793682482979,0.0005,0.9995,0.0005507936824829789,,0.001,0.001,0.11075299670601471,0.001,0.999,0.10975299670601471,,0.002,0.001,0.1772919198853174,0.015,0.985,0.16229191988531738,0.01,0.02,0.038,0.48444441873409094,0.08,0.92,0.4044444187340909,0.07,0.09,0.08,0.19203509986587447,0.295,0.705,-0.10296490013412551,0.28,0.31,0.31,0.031825011179523355,0.395,0.605,-0.36317498882047666,0.38,0.41,0.4,0.0024571906176326782,0.1255,0.8745,-0.12304280938236732,0.121,0.13,0.15,0.0001330709315401463,0.035,0.965,-0.034866929068459854,0.031,0.039,0.061,9.202602035691655e-06,0.0045,0.9955,-0.004490797397964308,0.003,0.006,0.005,2.9579548794717424e-07,0.0015,0.9985,-0.0014997042045120528,0.001,0.002,0.004
20260609T005413-0400,2026-06-09T04:54:13.544765+00:00,2026-06-09T00:54:13.544765-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T04:48:34.687388Z,v0.5.0 HGBC feature-based ML model,81,0.32727536294807313,75.0,74.0,82.0,,80.0,77.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0006784069139936281,0.0005,0.9995,0.00017840691399362806,,0.001,0.001,0.08988238551444905,0.001,0.999,0.08888238551444905,,0.002,0.001,0.16627802406478487,0.015,0.985,0.15127802406478486,0.01,0.02,0.038,0.5064258195830331,0.08,0.92,0.4264258195830331,0.07,0.09,0.08,0.20074858761385783,0.295,0.705,-0.09425141238614215,0.28,0.31,0.31,0.03326905367584769,0.395,0.605,-0.3617309463241523,0.38,0.41,0.4,0.0025686842995489324,0.139,0.861,-0.13643131570045108,0.121,0.157,0.15,0.00013910895236236913,0.034,0.966,-0.033860891047637634,0.03,0.038,0.061,9.620165075696174e-06,0.0045,0.9955,-0.004490379834924303,0.003,0.006,0.005,3.092170466202326e-07,0.0015,0.9985,-0.0014996907829533798,0.001,0.002,0.004
20260609T010426-0400,2026-06-09T05:04:26.164322+00:00,2026-06-09T01:04:26.164322-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T04:58:26.237327Z,v0.5.0 HGBC feature-based ML model,83,0.3495942566550455,75.0,74.0,82.0,,82.0,78.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.00017093162942445064,0.0005,0.9995,-0.0003290683705755494,,0.001,0.001,0.03203268250919893,0.001,0.999,0.031032682509198932,,0.002,0.001,0.06451993826009403,0.015,0.985,0.04951993826009403,0.01,0.02,0.038,0.15041484163415259,0.08,0.92,0.07041484163415258,0.07,0.09,0.08,0.4913012301762977,0.31,0.69,0.18130123017629768,0.28,0.34,0.31,0.25102627282781864,0.41,0.59,-0.15897372717218133,0.39,0.43,0.44,0.00987644595581587,0.135,0.865,-0.12512355404418413,0.121,0.149,0.15,0.0006409464761309681,0.0315,0.9685,-0.030859053523869032,0.03,0.033,0.061,1.6065829631342804e-05,0.0045,0.9955,-0.004483934170368657,0.003,0.006,0.005,6.447014355588311e-07,0.0015,0.9985,-0.0014993552985644411,0.001,0.002,0.004
20260609T011442-0400,2026-06-09T05:14:42.031567+00:00,2026-06-09T01:14:42.031567-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T05:06:55.852701Z,v0.5.0 HGBC feature-based ML model,83,0.3495942566550455,75.0,74.0,82.0,,82.0,78.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.00017093162942445064,0.0005,0.9995,-0.0003290683705755494,,0.001,0.001,0.03203268250919893,0.001,0.999,0.031032682509198932,,0.002,0.001,0.06451993826009403,0.015,0.985,0.04951993826009403,0.01,0.02,0.038,0.15041484163415259,0.075,0.925,0.07541484163415259,0.06,0.09,0.08,0.4913012301762977,0.31,0.69,0.18130123017629768,0.28,0.34,0.31,0.25102627282781864,0.415,0.585,-0.16397372717218134,0.39,0.44,0.44,0.00987644595581587,0.135,0.865,-0.12512355404418413,0.121,0.149,0.15,0.0006409464761309681,0.0305,0.9695,-0.02985905352386903,0.03,0.031,0.061,1.6065829631342804e-05,0.0045,0.9955,-0.004483934170368657,0.003,0.006,0.005,6.447014355588311e-07,0.0015,0.9985,-0.0014993552985644411,0.001,0.002,0.004
20260609T012455-0400,2026-06-09T05:24:55.426115+00:00,2026-06-09T01:24:55.426115-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T05:19:42.587203Z,v0.5.0 HGBC feature-based ML model,83,0.3495942566550455,75.0,74.0,82.0,,82.0,78.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.00017093162942445064,0.0005,0.9995,-0.0003290683705755494,,0.001,0.001,0.03203268250919893,0.001,0.999,0.031032682509198932,,0.002,0.001,0.06451993826009403,0.015,0.985,0.04951993826009403,0.01,0.02,0.038,0.15041484163415259,0.075,0.925,0.07541484163415259,0.06,0.09,0.08,0.4913012301762977,0.305,0.695,0.18630123017629768,0.28,0.33,0.31,0.25102627282781864,0.41,0.59,-0.15897372717218133,0.39,0.43,0.44,0.00987644595581587,0.135,0.865,-0.12512355404418413,0.121,0.149,0.15,0.0006409464761309681,0.0315,0.9685,-0.030859053523869032,0.03,0.033,0.061,1.6065829631342804e-05,0.0045,0.9955,-0.004483934170368657,0.003,0.006,0.005,6.447014355588311e-07,0.0015,0.9985,-0.0014993552985644411,0.001,0.002,0.004
20260609T013509-0400,2026-06-09T05:35:09.877815+00:00,2026-06-09T01:35:09.877815-04:00,highest-temperature-in-atlanta-on-june-9-2026,2026-06-09T05:32:30.437204Z,v0.5.0 HGBC feature-based ML model,83,0.3495942566550455,75.0,74.0,82.0,,82.0,78.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.00017093162942445064,0.0005,0.9995,-0.0003290683705755494,,0.001,0.001,0.03203268250919893,0.0015,0.9985,0.03053268250919893,0.001,0.002,0.001,0.06451993826009403,0.015,0.985,0.04951993826009403,0.01,0.02,0.038,0.15041484163415259,0.075,0.925,0.07541484163415259,0.06,0.09,0.08,0.4913012301762977,0.335,0.665,0.15630123017629766,0.33,0.34,0.34,0.25102627282781864,0.435,0.565,-0.18397372717218136,0.42,0.45,0.45,0.00987644595581587,0.1275,0.8725,-0.11762355404418413,0.121,0.134,0.15,0.0006409464761309681,0.008,0.992,-0.007359053523869032,0.006,0.01,0.061,1.6065829631342804e-05,0.0045,0.9955,-0.004483934170368657,0.003,0.006,0.005,6.447014355588311e-07,0.0015,0.9985,-0.0014993552985644411,0.001,0.002,0.004
