snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,range_label,bin_kind,bin_value_c,model_probability,market_yes,market_no,edge,best_bid,best_ask,last_trade_price,volume,liquidity,market_status,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c
20260610T010308-0400,2026-06-10T05:03:08.437875+00:00,2026-06-10T01:03:08.437875-04:00,highest-temperature-in-austin-on-june-10-2026,2026-06-10T04:57:13.212594Z,v0.5.1 HGBC feature-based ML model,87,0.27252107666455805,83°F or below,lte,83,0.14313723815039764,0.0015,0.9985,0.14163723815039764,,0.003,0.001,2331.6733320000003,6025.64535,active,,,,,87.0,84.8,
20260610T010308-0400,2026-06-10T05:03:08.437875+00:00,2026-06-10T01:03:08.437875-04:00,highest-temperature-in-austin-on-june-10-2026,2026-06-10T04:57:13.212594Z,v0.5.1 HGBC feature-based ML model,87,0.27252107666455805,84-85°F,eq,84,0.16360179818099746,0.003,0.997,0.16060179818099746,0.001,0.005,0.004,569.308,3519.97304,active,,,,,87.0,84.8,
20260610T010308-0400,2026-06-10T05:03:08.437875+00:00,2026-06-10T01:03:08.437875-04:00,highest-temperature-in-austin-on-june-10-2026,2026-06-10T04:57:13.212594Z,v0.5.1 HGBC feature-based ML model,87,0.27252107666455805,86-87°F,eq,86,0.3937144154715211,0.007,0.993,0.3867144154715211,0.005,0.009,0.006,343.398291,1078.00314,active,,,,,87.0,84.8,
20260610T010308-0400,2026-06-10T05:03:08.437875+00:00,2026-06-10T01:03:08.437875-04:00,highest-temperature-in-austin-on-june-10-2026,2026-06-10T04:57:13.212594Z,v0.5.1 HGBC feature-based ML model,87,0.27252107666455805,88-89°F,eq,88,0.21286588119172195,0.055,0.945,0.15786588119172196,0.04,0.07,0.07,556.4202789999998,1563.4742,active,,,,,87.0,84.8,
20260610T010308-0400,2026-06-10T05:03:08.437875+00:00,2026-06-10T01:03:08.437875-04:00,highest-temperature-in-austin-on-june-10-2026,2026-06-10T04:57:13.212594Z,v0.5.1 HGBC feature-based ML model,87,0.27252107666455805,90-91°F,eq,90,0.06921407535764043,0.245,0.755,-0.17578592464235956,0.24,0.25,0.25,567.5954140000002,535.3773,active,,,,,87.0,84.8,
20260610T010308-0400,2026-06-10T05:03:08.437875+00:00,2026-06-10T01:03:08.437875-04:00,highest-temperature-in-austin-on-june-10-2026,2026-06-10T04:57:13.212594Z,v0.5.1 HGBC feature-based ML model,87,0.27252107666455805,92-93°F,eq,92,0.014922026810797582,0.49,0.51,-0.4750779731892024,0.47,0.51,0.52,1464.9821290000002,635.802,active,,,,,87.0,84.8,
20260610T010308-0400,2026-06-10T05:03:08.437875+00:00,2026-06-10T01:03:08.437875-04:00,highest-temperature-in-austin-on-june-10-2026,2026-06-10T04:57:13.212594Z,v0.5.1 HGBC feature-based ML model,87,0.27252107666455805,94-95°F,eq,94,0.002299985340441783,0.155,0.845,-0.1527000146595582,0.14,0.17,0.17,617.1741329999999,744.6328,active,,,,,87.0,84.8,
20260610T010308-0400,2026-06-10T05:03:08.437875+00:00,2026-06-10T01:03:08.437875-04:00,highest-temperature-in-austin-on-june-10-2026,2026-06-10T04:57:13.212594Z,v0.5.1 HGBC feature-based ML model,87,0.27252107666455805,96-97°F,eq,96,0.00023031771360887762,0.0165,0.9835,-0.016269682286391123,0.013,0.02,0.035,1984.2587680000006,3784.18176,active,,,,,87.0,84.8,
20260610T010308-0400,2026-06-10T05:03:08.437875+00:00,2026-06-10T01:03:08.437875-04:00,highest-temperature-in-austin-on-june-10-2026,2026-06-10T04:57:13.212594Z,v0.5.1 HGBC feature-based ML model,87,0.27252107666455805,98-99°F,eq,98,1.376647466423126e-05,0.007,0.993,-0.0069862335253357685,0.005,0.009,0.009,431.6975059999999,2506.52403,active,,,,,87.0,84.8,
20260610T010308-0400,2026-06-10T05:03:08.437875+00:00,2026-06-10T01:03:08.437875-04:00,highest-temperature-in-austin-on-june-10-2026,2026-06-10T04:57:13.212594Z,v0.5.1 HGBC feature-based ML model,87,0.27252107666455805,100-101°F,eq,100,4.861761662472349e-07,0.0015,0.9985,-0.0014995138238337528,0.001,0.002,0.001,511.017,3638.26893,active,,,,,87.0,84.8,
