snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_77c,market_yes_lte_77c,market_no_lte_77c,edge_lte_77c,best_bid_lte_77c,best_ask_lte_77c,last_lte_77c,model_eq_78c,market_yes_eq_78c,market_no_eq_78c,edge_eq_78c,best_bid_eq_78c,best_ask_eq_78c,last_eq_78c,model_eq_80c,market_yes_eq_80c,market_no_eq_80c,edge_eq_80c,best_bid_eq_80c,best_ask_eq_80c,last_eq_80c,model_eq_82c,market_yes_eq_82c,market_no_eq_82c,edge_eq_82c,best_bid_eq_82c,best_ask_eq_82c,last_eq_82c,model_eq_84c,market_yes_eq_84c,market_no_eq_84c,edge_eq_84c,best_bid_eq_84c,best_ask_eq_84c,last_eq_84c,model_eq_86c,market_yes_eq_86c,market_no_eq_86c,edge_eq_86c,best_bid_eq_86c,best_ask_eq_86c,last_eq_86c,model_eq_88c,market_yes_eq_88c,market_no_eq_88c,edge_eq_88c,best_bid_eq_88c,best_ask_eq_88c,last_eq_88c,model_eq_90c,market_yes_eq_90c,market_no_eq_90c,edge_eq_90c,best_bid_eq_90c,best_ask_eq_90c,last_eq_90c,model_eq_92c,market_yes_eq_92c,market_no_eq_92c,edge_eq_92c,best_bid_eq_92c,best_ask_eq_92c,last_eq_92c,model_eq_94c,market_yes_eq_94c,market_no_eq_94c,edge_eq_94c,best_bid_eq_94c,best_ask_eq_94c,last_eq_94c,model_gte_96c,market_yes_gte_96c,market_no_gte_96c,edge_gte_96c,best_bid_gte_96c,best_ask_gte_96c,last_gte_96c
20260606T200452-0400,2026-06-07T00:04:52.153845+00:00,2026-06-06T20:04:52.153845-04:00,highest-temperature-in-austin-on-june-6-2026,2026-06-06T23:59:52.660305Z,v0.5.0 HGBC feature-based ML model,91,0.865436367042925,91.0,89.0,91.0,,86.0,86.7,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,0.0,0.0015,0.9985,-0.0015,0.001,0.002,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.865436367042925,0.991,0.009,-0.12556363295707496,0.983,0.999,0.998,0.12896121690166418,0.0235,0.9765,0.10546121690166418,0.01,0.037,0.011,0.0054956485541840525,0.0015,0.9985,0.003995648554184052,0.001,0.002,0.013,0.00010676750122674396,0.0015,0.9985,-0.001393232498773256,0.001,0.002,0.001
20260606T201507-0400,2026-06-07T00:15:07.328640+00:00,2026-06-06T20:15:07.328640-04:00,highest-temperature-in-austin-on-june-6-2026,2026-06-07T00:11:36.304903Z,v0.5.0 HGBC feature-based ML model,91,0.865436367042925,91.0,89.0,91.0,,87.0,86.7,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,0.0,0.001,0.999,-0.001,,0.002,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.865436367042925,0.992,0.008,-0.12656363295707496,0.985,0.999,0.999,0.12896121690166418,0.002,0.998,0.12696121690166418,0.001,0.003,0.003,0.0054956485541840525,0.0015,0.9985,0.003995648554184052,0.001,0.002,0.013,0.00010676750122674396,0.0015,0.9985,-0.001393232498773256,0.001,0.002,0.001
20260606T202541-0400,2026-06-07T00:25:41.006063+00:00,2026-06-06T20:25:41.006063-04:00,highest-temperature-in-austin-on-june-6-2026,2026-06-07T00:16:53.027685Z,v0.5.0 HGBC feature-based ML model,91,0.9007455092815199,91.0,88.0,91.0,,87.0,86.7,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,0.0,0.001,0.999,-0.001,,0.002,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.9007455092815199,0.9965,0.0035,-0.09575449071848019,0.994,0.999,0.999,0.09573969666346796,0.0055,0.9945,0.09023969666346796,0.001,0.01,0.003,0.003448113995667853,0.0015,0.9985,0.0019481139956678529,0.001,0.002,0.013,6.668005934448141e-05,0.0015,0.9985,-0.0014333199406555187,0.001,0.002,0.001
20260606T203556-0400,2026-06-07T00:35:56.624463+00:00,2026-06-06T20:35:56.624463-04:00,highest-temperature-in-austin-on-june-6-2026,2026-06-07T00:30:41.128291Z,v0.5.0 HGBC feature-based ML model,91,0.9007455092815199,91.0,88.0,91.0,,86.0,86.7,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,0.0,0.001,0.999,-0.001,,0.002,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.9007455092815199,0.997,0.003,-0.09625449071848013,0.995,0.999,0.999,0.09573969666346796,0.003,0.997,0.09273969666346796,0.001,0.005,0.003,0.003448113995667853,0.0015,0.9985,0.0019481139956678529,0.001,0.002,0.013,6.668005934448141e-05,0.001,0.999,-0.0009333199406555186,,0.002,0.001
20260606T204624-0400,2026-06-07T00:46:24.871410+00:00,2026-06-06T20:46:24.871410-04:00,highest-temperature-in-austin-on-june-6-2026,2026-06-07T00:40:25.827234Z,v0.5.0 HGBC feature-based ML model,91,0.9233486610204644,91.0,87.0,91.0,,86.0,86.7,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,0.0,0.001,0.999,-0.001,,0.002,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.9233486610204644,0.997,0.003,-0.07365133897953557,0.995,0.999,0.999,0.07447293640437568,0.0025,0.9975,0.07197293640437567,0.001,0.004,0.003,0.0021373844966575874,0.001,0.999,0.0011373844966575874,,0.002,0.013,4.101807850200985e-05,0.001,0.999,-0.0009589819214979901,,0.002,0.001
20260606T205650-0400,2026-06-07T00:56:50.280544+00:00,2026-06-06T20:56:50.280544-04:00,highest-temperature-in-austin-on-june-6-2026,2026-06-07T00:54:36.078703Z,v0.5.0 HGBC feature-based ML model,91,0.923311473872366,91.0,87.0,91.0,,86.0,84.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.923311473872366,0.997,0.003,-0.07368852612763399,0.995,0.999,0.999,0.07450905509226631,0.002,0.998,0.07250905509226631,0.001,0.003,0.003,0.0021384328383674818,0.001,0.999,0.0011384328383674818,,0.002,0.013,4.10381969998151e-05,0.001,0.999,-0.0009589618030001849,,0.002,0.001
20260606T210725-0400,2026-06-07T01:07:25.540774+00:00,2026-06-06T21:07:25.540774-04:00,highest-temperature-in-austin-on-june-6-2026,2026-06-07T01:04:15.172765Z,v0.5.0 HGBC feature-based ML model,91,0.9594429324264276,91.0,86.0,91.0,,83.0,82.9,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.9594429324264276,0.998,0.002,-0.03855706757357236,0.997,0.999,0.995,0.04051390563090093,0.002,0.998,0.03851390563090093,0.001,0.003,0.003,4.314611875079782e-05,0.001,0.999,-0.0009568538812492022,,0.002,0.013,1.5823920655207134e-08,0.001,0.999,-0.0009999841760793449,,0.002,0.001
20260606T211737-0400,2026-06-07T01:17:37.901971+00:00,2026-06-06T21:17:37.901971-04:00,highest-temperature-in-austin-on-june-6-2026,2026-06-07T01:05:16.36141Z,v0.5.0 HGBC feature-based ML model,91,0.9594429324264276,91.0,85.0,91.0,,83.0,82.9,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.9594429324264276,0.9995,0.0005,-0.040057067573572414,0.999,1.0,0.999,0.04051390563090093,0.0005,0.9995,0.04001390563090093,,0.001,0.003,4.314611875079782e-05,0.0005,0.9995,-0.0004568538812492022,,0.001,0.013,1.5823920655207134e-08,0.0005,0.9995,-0.0004999841760793448,,0.001,0.001
20260606T212750-0400,2026-06-07T01:27:50.280029+00:00,2026-06-06T21:27:50.280029-04:00,highest-temperature-in-austin-on-june-6-2026,2026-06-07T01:24:24.691931Z,v0.5.0 HGBC feature-based ML model,91,0.9594429324264276,91.0,84.0,91.0,,82.0,82.9,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.9594429324264276,0.9995,0.0005,-0.040057067573572414,0.999,1.0,0.999,0.04051390563090093,0.0005,0.9995,0.04001390563090093,,0.001,0.003,4.314611875079782e-05,0.0005,0.9995,-0.0004568538812492022,,0.001,0.013,1.5823920655207134e-08,0.0005,0.9995,-0.0004999841760793448,,0.001,0.001
20260606T213801-0400,2026-06-07T01:38:01.364658+00:00,2026-06-06T21:38:01.364658-04:00,highest-temperature-in-austin-on-june-6-2026,2026-06-07T01:34:01.462479Z,v0.5.0 HGBC feature-based ML model,91,0.9594429324264276,91.0,84.0,91.0,,83.0,82.9,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.9594429324264276,0.9995,0.0005,-0.040057067573572414,0.999,1.0,0.999,0.04051390563090093,0.0005,0.9995,0.04001390563090093,,0.001,0.003,4.314611875079782e-05,0.0005,0.9995,-0.0004568538812492022,,0.001,0.013,1.5823920655207134e-08,0.0005,0.9995,-0.0004999841760793448,,0.001,0.001
