snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260608T010232-0400,2026-06-08T05:02:32.270445+00:00,2026-06-08T00:02:31.763792-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,17.0,17.0,0.0,10.0,60.0,,0.0,15.0,89.5,72.5,SSE,Mostly cloudy/overcast
20260608T011247-0400,2026-06-08T05:12:47.883584+00:00,2026-06-08T00:12:47.498612-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,76.0,88.0,,0.0,11.0,89.5,9.5,SSE,Mostly cloudy/overcast
20260608T012301-0400,2026-06-08T05:23:01.245578+00:00,2026-06-08T00:23:00.894674-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,76.0,88.0,,0.0,11.0,89.5,9.5,SSE,Mostly cloudy/overcast
20260608T013315-0400,2026-06-08T05:33:15.071811+00:00,2026-06-08T00:33:14.833984-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,76.0,88.0,,0.0,11.0,89.5,9.5,SSE,Mostly cloudy/overcast
20260608T014333-0400,2026-06-08T05:43:33.085391+00:00,2026-06-08T00:43:32.731211-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,76.0,87.0,,0.0,11.0,90.6,10.599999999999994,SSE,Mostly cloudy/overcast
20260608T015348-0400,2026-06-08T05:53:48.223018+00:00,2026-06-08T00:53:47.905081-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,76.0,87.0,,0.0,11.0,90.6,10.599999999999994,SSE,Mostly cloudy/overcast
20260608T020401-0400,2026-06-08T06:04:01.397893+00:00,2026-06-08T01:04:01.078944-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,79.0,79.0,62.0,76.0,90.0,29.28,0.0,12.0,90.6,11.599999999999994,S-SW,Partly cloudy
20260608T021415-0400,2026-06-08T06:14:15.912087+00:00,2026-06-08T01:14:15.582832-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,79.0,79.0,62.0,76.0,90.0,29.28,0.0,12.0,90.6,11.599999999999994,S-SW,Partly cloudy
20260608T022438-0400,2026-06-08T06:24:38.037917+00:00,2026-06-08T01:24:37.638869-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,79.0,79.0,62.0,76.0,90.0,29.28,0.0,12.0,90.6,11.599999999999994,S-SW,Partly cloudy
20260608T023451-0400,2026-06-08T06:34:51.753024+00:00,2026-06-08T01:34:51.477612-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,79.0,79.0,62.0,76.0,90.0,29.28,0.0,12.0,90.6,11.599999999999994,S-SW,Partly cloudy
20260608T024508-0400,2026-06-08T06:45:08.589570+00:00,2026-06-08T01:45:08.366635-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,79.0,79.0,62.0,76.0,90.0,29.28,0.0,12.0,90.6,11.599999999999994,S-SW,Partly cloudy
20260608T025529-0400,2026-06-08T06:55:29.601604+00:00,2026-06-08T01:55:29.276533-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,79.0,79.0,62.0,76.0,90.0,29.28,0.0,12.0,88.1,9.099999999999994,S-SW,Partly cloudy
20260608T030548-0400,2026-06-08T07:05:48.103015+00:00,2026-06-08T02:05:47.839520-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,79.0,79.0,62.0,75.0,88.0,29.28,0.0,14.0,88.1,9.099999999999994,S-SW,Mostly cloudy/overcast
20260608T031601-0400,2026-06-08T07:16:01.929896+00:00,2026-06-08T02:16:01.586814-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,79.0,79.0,62.0,75.0,88.0,29.28,0.0,14.0,88.1,9.099999999999994,S-SW,Mostly cloudy/overcast
20260608T032615-0400,2026-06-08T07:26:15.032565+00:00,2026-06-08T02:26:14.751189-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,79.0,79.0,62.0,75.0,88.0,29.28,0.0,14.0,88.1,9.099999999999994,S-SW,Mostly cloudy/overcast
20260608T033628-0400,2026-06-08T07:36:28.490166+00:00,2026-06-08T02:36:28.183075-05:00,highest-temperature-in-austin-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,79.0,79.0,62.0,75.0,88.0,29.28,0.0,14.0,88.1,9.099999999999994,S-SW,Mostly cloudy/overcast
