snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,warming_rate_2h,hours_at_peak,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260609T010427-0400,2026-06-09T05:04:27.429689+00:00,2026-06-09T00:04:26.948342-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,17.0,17.0,0.0,0.0,0.0,10.0,60.0,,0.0,15.0,90.9,73.9,SSE,Fair/clear
20260609T011442-0400,2026-06-09T05:14:42.980704+00:00,2026-06-09T00:14:42.759699-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,76.0,76.0,59.0,0.0,0.0,75.0,94.0,,0.0,6.0,90.9,14.900000000000006,SSE,Partly cloudy
20260609T012456-0400,2026-06-09T05:24:56.439723+00:00,2026-06-09T00:24:56.205924-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,76.0,76.0,59.0,0.0,0.0,75.0,95.0,,0.0,7.0,90.9,14.900000000000006,SSE,Partly cloudy
20260609T013511-0400,2026-06-09T05:35:11.944265+00:00,2026-06-09T00:35:11.727562-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,76.0,76.0,59.0,0.0,0.0,75.0,95.0,,0.0,7.0,90.9,14.900000000000006,SSE,Partly cloudy
20260609T014525-0400,2026-06-09T05:45:25.122065+00:00,2026-06-09T00:45:24.808611-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,76.0,76.0,59.0,0.0,0.0,75.0,96.0,,0.0,7.0,90.9,14.900000000000006,SSE,Mostly cloudy/overcast
20260609T015540-0400,2026-06-09T05:55:40.390015+00:00,2026-06-09T00:55:40.170151-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,77.0,77.0,60.0,0.0,6.15,73.0,89.0,29.43,0.0,7.0,90.9,13.900000000000006,SSE,Mostly cloudy/overcast
20260609T020558-0400,2026-06-09T06:05:58.238762+00:00,2026-06-09T01:05:57.910523-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,77.0,76.0,59.0,0.0,6.15,74.0,92.0,29.43,0.0,,90.9,13.900000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T021612-0400,2026-06-09T06:16:12.228323+00:00,2026-06-09T01:16:11.965671-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,77.0,76.0,59.0,0.0,6.15,74.0,92.0,29.43,0.0,,90.9,13.900000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T083444-0400,2026-06-09T12:34:44.690439+00:00,2026-06-09T07:34:44.471390-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,78.0,77.0,0.0,1.0,4.116666666666666,75.0,93.0,29.44,0.019999999999999574,,91.5,13.5,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T084459-0400,2026-06-09T12:44:59.626827+00:00,2026-06-09T07:44:59.379249-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,78.0,78.0,0.0,2.0,4.116666666666666,75.0,93.0,29.44,0.019999999999999574,,91.5,13.5,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T085541-0400,2026-06-09T12:55:41.636314+00:00,2026-06-09T07:55:41.345138-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,78.0,78.0,0.0,2.0,4.116666666666666,75.0,91.0,29.44,0.019999999999999574,,91.5,13.5,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T090557-0400,2026-06-09T13:05:57.574220+00:00,2026-06-09T08:05:57.328991-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,78.0,78.0,1.0,1.0,5.116666666666666,75.0,90.0,29.44,0.010000000000001563,,91.5,13.5,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T091622-0400,2026-06-09T13:16:22.194602+00:00,2026-06-09T08:16:21.961438-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,78.0,78.0,1.0,1.0,5.116666666666666,75.0,90.0,29.45,0.019999999999999574,,91.9,13.900000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T092635-0400,2026-06-09T13:26:35.039154+00:00,2026-06-09T08:26:34.791238-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,78.0,78.0,1.0,1.0,5.116666666666666,75.0,90.0,29.45,0.019999999999999574,,91.9,13.900000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T093647-0400,2026-06-09T13:36:47.998545+00:00,2026-06-09T08:36:47.714863-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,78.0,78.0,1.0,1.0,5.116666666666666,75.0,89.0,29.45,0.019999999999999574,,91.9,13.900000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T094700-0400,2026-06-09T13:47:00.720998+00:00,2026-06-09T08:47:00.474793-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,79.0,79.0,2.0,2.0,0.0,75.0,88.0,29.45,0.019999999999999574,,91.9,12.900000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T095719-0400,2026-06-09T13:57:19.438354+00:00,2026-06-09T08:57:19.129924-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,79.0,79.0,2.0,2.0,0.0,75.0,88.0,29.45,0.019999999999999574,,91.9,12.900000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T100741-0400,2026-06-09T14:07:41.408972+00:00,2026-06-09T09:07:40.975362-05:00,highest-temperature-in-austin-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,9,79.0,79.0,2.0,2.0,0.11666666666666667,75.0,87.0,29.47,0.03999999999999915,,91.9,12.900000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
