snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_77c,market_yes_lte_77c,market_no_lte_77c,edge_lte_77c,best_bid_lte_77c,best_ask_lte_77c,last_lte_77c,model_eq_78c,market_yes_eq_78c,market_no_eq_78c,edge_eq_78c,best_bid_eq_78c,best_ask_eq_78c,last_eq_78c,model_eq_80c,market_yes_eq_80c,market_no_eq_80c,edge_eq_80c,best_bid_eq_80c,best_ask_eq_80c,last_eq_80c,model_eq_82c,market_yes_eq_82c,market_no_eq_82c,edge_eq_82c,best_bid_eq_82c,best_ask_eq_82c,last_eq_82c,model_eq_84c,market_yes_eq_84c,market_no_eq_84c,edge_eq_84c,best_bid_eq_84c,best_ask_eq_84c,last_eq_84c,model_eq_86c,market_yes_eq_86c,market_no_eq_86c,edge_eq_86c,best_bid_eq_86c,best_ask_eq_86c,last_eq_86c,model_eq_88c,market_yes_eq_88c,market_no_eq_88c,edge_eq_88c,best_bid_eq_88c,best_ask_eq_88c,last_eq_88c,model_eq_90c,market_yes_eq_90c,market_no_eq_90c,edge_eq_90c,best_bid_eq_90c,best_ask_eq_90c,last_eq_90c,model_eq_92c,market_yes_eq_92c,market_no_eq_92c,edge_eq_92c,best_bid_eq_92c,best_ask_eq_92c,last_eq_92c,model_eq_94c,market_yes_eq_94c,market_no_eq_94c,edge_eq_94c,best_bid_eq_94c,best_ask_eq_94c,last_eq_94c,model_gte_96c,market_yes_gte_96c,market_no_gte_96c,edge_gte_96c,best_bid_gte_96c,best_ask_gte_96c,last_gte_96c
20260610T010310-0400,2026-06-10T05:03:10.525131+00:00,2026-06-10T01:03:10.525131-04:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10T04:49:50.611142Z,v0.5.1 HGBC feature-based ML model,89,0.21450089273053186,,,,,88.0,90.2,,0.007734752342970233,0.0005,0.9995,0.007234752342970233,,0.001,0.001,0.00543823261474837,0.001,0.999,0.00443823261474837,,0.002,0.001,0.005856877589107391,0.0015,0.9985,0.004356877589107392,0.001,0.002,0.001,0.02265911776246753,0.001,0.999,0.02165911776246753,,0.002,0.001,0.07731176584678187,0.003,0.997,0.07431176584678187,0.001,0.005,0.002,0.1717687559264892,0.0795,0.9205,0.09226875592648921,0.069,0.09,0.04,0.30960359889987243,0.08,0.92,0.22960359889987242,0.07,0.09,0.13,0.26768876978757844,0.295,0.705,-0.027311230212421544,0.27,0.32,0.25,0.0927051142297015,0.385,0.615,-0.2922948857702985,0.38,0.39,0.42,0.032031049274005054,0.1275,0.8725,-0.09546895072599496,0.1,0.155,0.159,0.007201965726278211,0.065,0.935,-0.05779803427372179,0.05,0.08,0.08
20260610T011321-0400,2026-06-10T05:13:21.272287+00:00,2026-06-10T01:13:21.272287-04:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10T05:10:32.122778Z,v0.5.1 HGBC feature-based ML model,90,0.21942885475922974,,73.0,88.0,,88.0,90.2,,0.002243970357477573,0.0005,0.9995,0.0017439703574775728,,0.001,0.001,0.0026115030269894327,0.0005,0.9995,0.0021115030269894326,,0.001,0.001,0.004332401812338663,0.0005,0.9995,0.003832401812338663,,0.001,0.001,0.015760767622492997,0.001,0.999,0.014760767622492996,,0.002,0.001,0.0581504789557236,0.003,0.997,0.0551504789557236,0.001,0.005,0.002,0.1339652743679842,0.079,0.921,0.05496527436798419,0.068,0.09,0.04,0.2563941405204705,0.075,0.925,0.18139414052047048,0.07,0.08,0.13,0.3984429364797491,0.285,0.715,0.11344293647974912,0.28,0.29,0.25,0.08993923935707836,0.385,0.615,-0.29506076064292164,0.38,0.39,0.42,0.031104295974611052,0.1655,0.8345,-0.13439570402538895,0.121,0.21,0.216,0.007054991525084568,0.07,0.93,-0.06294500847491544,0.06,0.08,0.06
20260610T012339-0400,2026-06-10T05:23:39.334630+00:00,2026-06-10T01:23:39.334630-04:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10T05:17:36.569015Z,v0.5.1 HGBC feature-based ML model,90,0.21926767287431834,,72.0,88.0,,88.0,90.2,,0.002213267731001744,0.0005,0.9995,0.001713267731001744,,0.001,0.001,0.0025548821677207315,0.0005,0.9995,0.0020548821677207315,,0.001,0.001,0.004022360366455889,0.0005,0.9995,0.003522360366455889,,0.001,0.001,0.015901887706547324,0.001,0.999,0.014901887706547323,,0.002,0.001,0.05804189779613375,0.003,0.997,0.05504189779613375,0.001,0.005,0.002,0.1337040732063044,0.0775,0.9225,0.0562040732063044,0.068,0.087,0.04,0.23596360961651136,0.075,0.925,0.16096360961651135,0.07,0.08,0.13,0.41769981487737984,0.295,0.705,0.12269981487737985,0.28,0.31,0.31,0.09173046505401419,0.385,0.615,-0.29326953494598584,0.38,0.39,0.42,0.031126771920239497,0.155,0.845,-0.1238732280797605,0.125,0.185,0.216,0.007040969557691252,0.075,0.925,-0.06795903044230875,0.07,0.08,0.06
20260610T013349-0400,2026-06-10T05:33:49.767965+00:00,2026-06-10T01:33:49.767965-04:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10T05:25:33.990314Z,v0.5.1 HGBC feature-based ML model,90,0.21926767287431834,,72.0,88.0,,88.0,90.2,,0.002213267731001744,0.0005,0.9995,0.001713267731001744,,0.001,0.001,0.0025548821677207315,0.0005,0.9995,0.0020548821677207315,,0.001,0.001,0.004022360366455889,0.0005,0.9995,0.003522360366455889,,0.001,0.001,0.015901887706547324,0.001,0.999,0.014901887706547323,,0.002,0.001,0.05804189779613375,0.003,0.997,0.05504189779613375,0.001,0.005,0.002,0.1337040732063044,0.069,0.931,0.06470407320630439,0.068,0.07,0.04,0.23596360961651136,0.08,0.92,0.15596360961651135,0.07,0.09,0.13,0.41769981487737984,0.3,0.7,0.11769981487737985,0.28,0.32,0.31,0.09173046505401419,0.385,0.615,-0.29326953494598584,0.38,0.39,0.42,0.031126771920239497,0.147,0.853,-0.1158732280797605,0.125,0.169,0.216,0.007040969557691252,0.065,0.935,-0.057959030442308754,0.06,0.07,0.08
20260610T014400-0400,2026-06-10T05:44:00.093624+00:00,2026-06-10T01:44:00.093624-04:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10T05:32:38.685205Z,v0.5.1 HGBC feature-based ML model,90,0.23693241239163282,,71.0,88.0,,88.0,90.2,,0.0024919219257894944,0.0005,0.9995,0.0019919219257894943,,0.001,0.001,0.0029511006011053364,0.0005,0.9995,0.0024511006011053364,,0.001,0.001,0.004224410245416674,0.0005,0.9995,0.0037244102454166736,,0.001,0.001,0.01625563225818702,0.0005,0.9995,0.01575563225818702,,0.001,0.001,0.05961413627583679,0.003,0.997,0.056614136275836786,0.001,0.005,0.002,0.13807823631614471,0.078,0.922,0.060078236316144715,0.067,0.089,0.069,0.25213630426144545,0.095,0.905,0.15713630426144545,0.07,0.12,0.13,0.3945132163404279,0.3,0.7,0.09451321634042792,0.28,0.32,0.31,0.09153963621109767,0.365,0.635,-0.2734603637889023,0.36,0.37,0.39,0.03114819343809713,0.147,0.853,-0.11585180656190286,0.125,0.169,0.216,0.007047212126451917,0.055,0.945,-0.047952787873548085,0.04,0.07,0.08
20260610T015410-0400,2026-06-10T05:54:10.439746+00:00,2026-06-10T01:54:10.439746-04:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10T05:40:45.570923Z,v0.5.1 HGBC feature-based ML model,90,0.26392261204372497,,71.0,88.0,,88.0,90.2,,0.0032070802013265554,0.0005,0.9995,0.0027070802013265554,,0.001,0.001,0.0019354415404289954,0.0005,0.9995,0.0014354415404289954,,0.001,0.001,0.0038213047669216843,0.0005,0.9995,0.0033213047669216843,,0.001,0.001,0.015810445049455956,0.0005,0.9995,0.015310445049455956,,0.001,0.001,0.057637835126771494,0.003,0.997,0.05463783512677149,0.001,0.005,0.002,0.13439696050242067,0.079,0.921,0.05539696050242067,0.069,0.089,0.069,0.24746815281751106,0.095,0.905,0.15246815281751105,0.07,0.12,0.13,0.41048420447753764,0.3,0.7,0.11048420447753765,0.28,0.32,0.32,0.08717944550362244,0.37,0.63,-0.28282055449637755,0.36,0.38,0.38,0.03103186284403305,0.1465,0.8535,-0.11546813715596695,0.125,0.168,0.216,0.007027267169970413,0.055,0.945,-0.04797273283002959,0.04,0.07,0.08
20260610T020429-0400,2026-06-10T06:04:29.126786+00:00,2026-06-10T02:04:29.126786-04:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10T05:59:58.626405Z,v0.5.1 HGBC feature-based ML model,90,0.23356541748527967,69.0,70.0,88.0,,90.0,91.6,,0.005112453486660872,0.0005,0.9995,0.004612453486660872,,0.001,0.001,0.0028533010898869923,0.0005,0.9995,0.0023533010898869923,,0.001,0.001,0.003129676036989466,0.0005,0.9995,0.002629676036989466,,0.001,0.001,0.005388168593209205,0.0005,0.9995,0.004888168593209206,,0.001,0.001,0.020330209698331343,0.003,0.997,0.017330209698331343,0.001,0.005,0.002,0.08615507582023053,0.079,0.921,0.007155075820230533,0.069,0.089,0.069,0.2125626330226263,0.1,0.9,0.11256263302262629,0.07,0.13,0.11,0.38727387598003743,0.295,0.705,0.09227387598003745,0.28,0.31,0.32,0.17561305947315636,0.43,0.57,-0.25438694052684363,0.4,0.46,0.38,0.0738390523888785,0.1465,0.8535,-0.07266094761112149,0.125,0.168,0.216,0.027742494409992977,0.055,0.945,-0.027257505590007024,0.04,0.07,0.08
20260610T021447-0400,2026-06-10T06:14:47.809735+00:00,2026-06-10T02:14:47.809735-04:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10T06:10:02.737298Z,v0.5.1 HGBC feature-based ML model,90,0.22913531161177098,69.0,69.0,88.0,,90.0,91.6,,0.0058014147414910695,0.0005,0.9995,0.005301414741491069,,0.001,0.001,0.002829464785356073,0.0005,0.9995,0.002329464785356073,,0.001,0.001,0.0032711072589622497,0.0005,0.9995,0.0027711072589622497,,0.001,0.001,0.0068045902078488225,0.0005,0.9995,0.006304590207848822,,0.001,0.001,0.020805598834337306,0.003,0.997,0.017805598834337306,0.001,0.005,0.002,0.0927562715805896,0.079,0.921,0.013756271580589605,0.069,0.089,0.069,0.20978694762542643,0.095,0.905,0.11478694762542643,0.07,0.12,0.11,0.38131316017730493,0.295,0.705,0.08631316017730495,0.28,0.31,0.32,0.1751318683684442,0.425,0.575,-0.2498681316315558,0.41,0.44,0.38,0.07377981174515401,0.1465,0.8535,-0.07272018825484598,0.125,0.168,0.216,0.027719764675085457,0.055,0.945,-0.027280235324914543,0.04,0.07,0.08
20260610T022459-0400,2026-06-10T06:24:59.193790+00:00,2026-06-10T02:24:59.193790-04:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10T06:19:44.789591Z,v0.5.1 HGBC feature-based ML model,90,0.20080048400284792,69.0,69.0,88.0,,90.0,91.6,,0.005116088847522714,0.0005,0.9995,0.004616088847522714,,0.001,0.001,0.002901627868135962,0.0005,0.9995,0.002401627868135962,,0.001,0.001,0.002403891754999412,0.0005,0.9995,0.001903891754999412,,0.001,0.001,0.005971292812161954,0.0005,0.9995,0.005471292812161953,,0.001,0.001,0.01964169594835235,0.003,0.997,0.01664169594835235,0.001,0.005,0.002,0.08562951595742774,0.079,0.921,0.006629515957427737,0.069,0.089,0.069,0.19290273284975384,0.095,0.905,0.09790273284975384,0.07,0.12,0.11,0.34304301368164214,0.295,0.705,0.048043013681642155,0.28,0.31,0.32,0.24002216379225344,0.405,0.595,-0.1649778362077466,0.39,0.42,0.42,0.07460767761485534,0.1465,0.8535,-0.07189232238514465,0.125,0.168,0.216,0.027760298872895172,0.055,0.945,-0.027239701127104828,0.04,0.07,0.08
20260610T093736-0400,2026-06-10T13:37:36.997197+00:00,2026-06-10T09:37:36.997197-04:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10T13:31:17.881785Z,v0.5.5 HGBC feature-based ML model,91,0.2224012922053807,80.0,82.0,82.0,,90.0,93.1,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0014587002619184945,0.0005,0.9995,0.0009587002619184945,,0.001,0.001,0.005434949242887168,0.0005,0.9995,0.004934949242887168,,0.001,0.001,0.016101275034690266,0.002,0.998,0.014101275034690266,0.001,0.003,0.001,0.053388621206708606,0.02,0.98,0.0333886212067086,0.011,0.029,0.089,0.16290448311939312,0.095,0.905,0.06790448311939312,0.08,0.11,0.12,0.3463645777264825,0.365,0.635,-0.0186354222735175,0.36,0.37,0.36,0.22784399747806422,0.43,0.57,-0.20215600252193577,0.42,0.44,0.43,0.12346407444066276,0.103,0.897,0.02046407444066277,0.077,0.129,0.139,0.06303932148919306,0.045,0.955,0.018039321489193058,0.03,0.06,0.08
