snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260606T200454-0400,2026-06-07T00:04:54.062080+00:00,2026-06-06T19:04:53.829243-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T201519-0400,2026-06-07T00:15:19.290827+00:00,2026-06-06T19:15:19.163714-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T202542-0400,2026-06-07T00:25:42.593437+00:00,2026-06-06T19:25:42.511329-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T203600-0400,2026-06-07T00:36:00.295492+00:00,2026-06-06T19:35:59.571156-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T204629-0400,2026-06-07T00:46:29.524326+00:00,2026-06-06T19:46:28.689216-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T205654-0400,2026-06-07T00:56:54.027109+00:00,2026-06-06T19:56:52.934860-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T210727-0400,2026-06-07T01:07:27.090583+00:00,2026-06-06T20:07:26.996635-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T211739-0400,2026-06-07T01:17:39.874940+00:00,2026-06-06T20:17:39.771410-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T212751-0400,2026-06-07T01:27:51.860621+00:00,2026-06-06T20:27:51.732973-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T213804-0400,2026-06-07T01:38:04.930028+00:00,2026-06-06T20:38:04.821256-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T214818-0400,2026-06-07T01:48:18.652939+00:00,2026-06-06T20:48:18.558563-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T215841-0400,2026-06-07T01:58:41.634677+00:00,2026-06-06T20:58:41.538387-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T220855-0400,2026-06-07T02:08:55.033483+00:00,2026-06-06T21:08:54.932913-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T221907-0400,2026-06-07T02:19:07.021027+00:00,2026-06-06T21:19:06.909887-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T222918-0400,2026-06-07T02:29:18.203519+00:00,2026-06-06T21:29:18.013359-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T223932-0400,2026-06-07T02:39:32.932544+00:00,2026-06-06T21:39:32.777983-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T224943-0400,2026-06-07T02:49:43.035191+00:00,2026-06-06T21:49:42.929210-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,88.0,87.0,13.0,70.0,57.0,29.24,-0.060000000000002274,8.0,85.2,-2.799999999999997,S-SW,Mostly cloudy/overcast
20260606T225953-0400,2026-06-07T02:59:53.109624+00:00,2026-06-06T21:59:53.017720-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,88.0,72.0,-2.0,70.0,93.0,29.29,0.05000000000000071,8.0,85.2,-2.799999999999997,N-NE,Precip
20260606T231015-0400,2026-06-07T03:10:15.697090+00:00,2026-06-06T22:10:15.611917-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,88.0,72.0,-2.0,70.0,93.0,29.29,0.05000000000000071,8.0,85.2,-2.799999999999997,N-NE,Precip
20260606T232026-0400,2026-06-07T03:20:26.074979+00:00,2026-06-06T22:20:25.984618-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,88.0,72.0,-2.0,70.0,93.0,29.29,0.05000000000000071,8.0,85.2,-2.799999999999997,N-NE,Precip
20260606T233036-0400,2026-06-07T03:30:36.549925+00:00,2026-06-06T22:30:36.416295-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,88.0,72.0,-2.0,70.0,93.0,29.29,0.05000000000000071,8.0,85.2,-2.799999999999997,N-NE,Precip
20260606T234046-0400,2026-06-07T03:40:46.355421+00:00,2026-06-06T22:40:46.217119-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,88.0,72.0,-2.0,70.0,93.0,29.29,0.05000000000000071,8.0,85.2,-2.799999999999997,N-NE,Precip
20260606T235056-0400,2026-06-07T03:50:56.263708+00:00,2026-06-06T22:50:56.152008-05:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,20,88.0,72.0,-2.0,70.0,93.0,29.29,0.05000000000000071,8.0,85.2,-2.799999999999997,N-NE,Precip
