snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_75c,market_yes_lte_75c,market_no_lte_75c,edge_lte_75c,best_bid_lte_75c,best_ask_lte_75c,last_lte_75c,model_eq_76c,market_yes_eq_76c,market_no_eq_76c,edge_eq_76c,best_bid_eq_76c,best_ask_eq_76c,last_eq_76c,model_eq_78c,market_yes_eq_78c,market_no_eq_78c,edge_eq_78c,best_bid_eq_78c,best_ask_eq_78c,last_eq_78c,model_eq_80c,market_yes_eq_80c,market_no_eq_80c,edge_eq_80c,best_bid_eq_80c,best_ask_eq_80c,last_eq_80c,model_eq_82c,market_yes_eq_82c,market_no_eq_82c,edge_eq_82c,best_bid_eq_82c,best_ask_eq_82c,last_eq_82c,model_eq_84c,market_yes_eq_84c,market_no_eq_84c,edge_eq_84c,best_bid_eq_84c,best_ask_eq_84c,last_eq_84c,model_eq_86c,market_yes_eq_86c,market_no_eq_86c,edge_eq_86c,best_bid_eq_86c,best_ask_eq_86c,last_eq_86c,model_eq_88c,market_yes_eq_88c,market_no_eq_88c,edge_eq_88c,best_bid_eq_88c,best_ask_eq_88c,last_eq_88c,model_eq_90c,market_yes_eq_90c,market_no_eq_90c,edge_eq_90c,best_bid_eq_90c,best_ask_eq_90c,last_eq_90c,model_eq_92c,market_yes_eq_92c,market_no_eq_92c,edge_eq_92c,best_bid_eq_92c,best_ask_eq_92c,last_eq_92c,model_gte_94c,market_yes_gte_94c,market_no_gte_94c,edge_gte_94c,best_bid_gte_94c,best_ask_gte_94c,last_gte_94c
20260606T200454-0400,2026-06-07T00:04:54.062080+00:00,2026-06-06T20:04:54.062080-04:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-06T23:56:16.290019Z,v0.5.0 HGBC feature-based ML model,88,0.7599511267039698,88.0,72.0,89.0,,77.0,73.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.005,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.976196213486191,0.9985,0.0015,-0.022303786513809043,0.998,0.999,0.998,0.023339339332763522,0.0025,0.9975,0.020839339332763523,0.001,0.004,0.018,0.0004519147977756023,0.0015,0.9985,-0.0010480852022243976,0.001,0.002,0.001,1.2532383269741058e-05,0.0005,0.9995,-0.00048746761673025893,,0.001,0.005
20260606T201519-0400,2026-06-07T00:15:19.290827+00:00,2026-06-06T20:15:19.290827-04:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-07T00:05:49.208116Z,v0.5.0 HGBC feature-based ML model,88,0.7599511267039698,88.0,72.0,89.0,,79.0,73.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.005,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.976196213486191,0.9985,0.0015,-0.022303786513809043,0.998,0.999,0.998,0.023339339332763522,0.003,0.997,0.020339339332763523,0.001,0.005,0.018,0.0004519147977756023,0.0015,0.9985,-0.0010480852022243976,0.001,0.002,0.001,1.2532383269741058e-05,0.0005,0.9995,-0.00048746761673025893,,0.001,0.005
20260606T202542-0400,2026-06-07T00:25:42.593437+00:00,2026-06-06T20:25:42.593437-04:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-07T00:14:16.624241Z,v0.5.0 HGBC feature-based ML model,88,0.7599511267039698,88.0,75.0,89.0,,79.0,73.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.005,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.976196213486191,0.9995,0.0005,-0.023303786513809044,0.999,1.0,0.999,0.023339339332763522,0.0005,0.9995,0.022839339332763522,,0.001,0.018,0.0004519147977756023,0.0015,0.9985,-0.0010480852022243976,0.001,0.002,0.001,1.2532383269741058e-05,0.0005,0.9995,-0.00048746761673025893,,0.001,0.005
20260606T203600-0400,2026-06-07T00:36:00.295492+00:00,2026-06-06T20:36:00.295492-04:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-07T00:25:43.015488Z,v0.5.0 HGBC feature-based ML model,88,0.7599511267039698,88.0,76.0,89.0,,78.0,73.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.005,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.976196213486191,0.9995,0.0005,-0.023303786513809044,0.999,1.0,0.999,0.023339339332763522,0.0005,0.9995,0.022839339332763522,,0.001,0.018,0.0004519147977756023,0.0005,0.9995,-4.808520222439772e-05,,0.001,0.001,1.2532383269741058e-05,0.0005,0.9995,-0.00048746761673025893,,0.001,0.005
20260606T204629-0400,2026-06-07T00:46:29.524326+00:00,2026-06-06T20:46:29.524326-04:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-07T00:41:14.672885Z,v0.5.0 HGBC feature-based ML model,88,0.7599511267039698,88.0,73.0,89.0,,78.0,73.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.005,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.976196213486191,0.9995,0.0005,-0.023303786513809044,0.999,1.0,0.999,0.023339339332763522,0.0005,0.9995,0.022839339332763522,,0.001,0.018,0.0004519147977756023,0.0005,0.9995,-4.808520222439772e-05,,0.001,0.001,1.2532383269741058e-05,0.0005,0.9995,-0.00048746761673025893,,0.001,0.005
20260606T205654-0400,2026-06-07T00:56:54.027109+00:00,2026-06-06T20:56:54.027109-04:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-07T00:52:03.625175Z,v0.5.0 HGBC feature-based ML model,88,0.7599511267039698,88.0,73.0,89.0,,78.0,76.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.005,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.976196213486191,0.9995,0.0005,-0.023303786513809044,0.999,1.0,0.999,0.023339339332763522,0.0005,0.9995,0.022839339332763522,,0.001,0.018,0.0004519147977756023,0.0005,0.9995,-4.808520222439772e-05,,0.001,0.001,1.2532383269741058e-05,0.0005,0.9995,-0.00048746761673025893,,0.001,0.005
20260606T210727-0400,2026-06-07T01:07:27.090583+00:00,2026-06-06T21:07:27.090583-04:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-07T00:53:59.088229Z,v0.5.0 HGBC feature-based ML model,88,0.8611667667919727,88.0,73.0,89.0,,74.0,76.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.005,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.997303505411069,0.9995,0.0005,-0.0021964945889310084,0.999,1.0,0.999,0.002694914903061821,0.0005,0.9995,0.002194914903061821,,0.001,0.018,1.5786514248132533e-06,0.0005,0.9995,-0.0004984213485751867,,0.001,0.001,1.0344445562108104e-09,0.0005,0.9995,-0.0004999989655554438,,0.001,0.005
20260606T211739-0400,2026-06-07T01:17:39.874940+00:00,2026-06-06T21:17:39.874940-04:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-07T01:04:43.72597Z,v0.5.0 HGBC feature-based ML model,88,0.8611667667919727,88.0,72.0,89.0,,73.0,76.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.005,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.997303505411069,0.9995,0.0005,-0.0021964945889310084,0.999,1.0,0.999,0.002694914903061821,0.0005,0.9995,0.002194914903061821,,0.001,0.018,1.5786514248132533e-06,0.0005,0.9995,-0.0004984213485751867,,0.001,0.001,1.0344445562108104e-09,0.0005,0.9995,-0.0004999989655554438,,0.001,0.005
20260606T212751-0400,2026-06-07T01:27:51.860621+00:00,2026-06-06T21:27:51.860621-04:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-07T01:24:38.824787Z,v0.5.0 HGBC feature-based ML model,88,0.8611667667919727,88.0,71.0,89.0,,73.0,76.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.005,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.997303505411069,0.9995,0.0005,-0.0021964945889310084,0.999,1.0,0.999,0.002694914903061821,0.0005,0.9995,0.002194914903061821,,0.001,0.018,1.5786514248132533e-06,0.0005,0.9995,-0.0004984213485751867,,0.001,0.001,1.0344445562108104e-09,0.0005,0.9995,-0.0004999989655554438,,0.001,0.005
20260606T213804-0400,2026-06-07T01:38:04.930028+00:00,2026-06-06T21:38:04.930028-04:00,highest-temperature-in-dallas-on-june-6-2026,2026-06-07T01:34:38.922763Z,v0.5.0 HGBC feature-based ML model,88,0.8611667667919727,88.0,71.0,89.0,,74.0,76.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.005,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.997303505411069,0.9995,0.0005,-0.0021964945889310084,0.999,1.0,0.999,0.002694914903061821,0.0005,0.9995,0.002194914903061821,,0.001,0.018,1.5786514248132533e-06,0.0005,0.9995,-0.0004984213485751867,,0.001,0.001,1.0344445562108104e-09,0.0005,0.9995,-0.0004999989655554438,,0.001,0.005
