snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T18:04:54.738231-06:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,16,92.0,92.0,27.0,30.0,11.0,24.19,-0.029999999999997584,21.0,90.4,-1.5999999999999943,E-SE/onshore-ish,Mostly cloudy/overcast
20260606T201520-0400,2026-06-07T00:15:20.131620+00:00,2026-06-06T18:15:19.974731-06:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,16,92.0,92.0,27.0,30.0,11.0,24.19,-0.029999999999997584,21.0,90.4,-1.5999999999999943,E-SE/onshore-ish,Mostly cloudy/overcast
20260606T202543-0400,2026-06-07T00:25:43.330632+00:00,2026-06-06T18:25:43.247690-06:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,16,92.0,92.0,27.0,30.0,11.0,24.19,-0.029999999999997584,21.0,90.4,-1.5999999999999943,E-SE/onshore-ish,Mostly cloudy/overcast
20260606T203603-0400,2026-06-07T00:36:03.395224+00:00,2026-06-06T18:36:02.586098-06:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,17,92.0,91.0,26.0,27.0,10.0,24.18,-0.05000000000000071,16.0,90.4,-1.5999999999999943,SSE,Mostly cloudy/overcast
20260606T204631-0400,2026-06-07T00:46:31.451196+00:00,2026-06-06T18:46:30.325695-06:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,17,92.0,91.0,26.0,27.0,10.0,24.18,-0.05000000000000071,16.0,90.4,-1.5999999999999943,SSE,Mostly cloudy/overcast
20260606T205657-0400,2026-06-07T00:56:57.520399+00:00,2026-06-06T18:56:56.054568-06:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,17,92.0,91.0,26.0,27.0,10.0,24.18,-0.05000000000000071,16.0,90.4,-1.5999999999999943,SSE,Mostly cloudy/overcast
20260606T210727-0400,2026-06-07T01:07:27.853359+00:00,2026-06-06T19:07:27.738814-06:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,17,92.0,91.0,26.0,27.0,10.0,24.18,-0.05000000000000071,16.0,90.4,-1.5999999999999943,SSE,Mostly cloudy/overcast
20260606T211740-0400,2026-06-07T01:17:40.670541+00:00,2026-06-06T19:17:40.569330-06:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,17,92.0,91.0,26.0,27.0,10.0,24.18,-0.05000000000000071,16.0,90.4,-1.5999999999999943,SSE,Mostly cloudy/overcast
20260606T212752-0400,2026-06-07T01:27:52.732433+00:00,2026-06-06T19:27:52.638401-06:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,92.0,89.0,24.0,32.0,13.0,24.17,-0.04999999999999716,21.0,90.4,-1.5999999999999943,S-SW,Mostly cloudy/overcast
20260606T213805-0400,2026-06-07T01:38:05.812052+00:00,2026-06-06T19:38:05.680677-06:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,18,92.0,89.0,24.0,32.0,13.0,24.17,-0.04999999999999716,21.0,90.4,-1.5999999999999943,S-SW,Mostly cloudy/overcast
