snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_79c,market_yes_lte_79c,market_no_lte_79c,edge_lte_79c,best_bid_lte_79c,best_ask_lte_79c,last_lte_79c,model_eq_80c,market_yes_eq_80c,market_no_eq_80c,edge_eq_80c,best_bid_eq_80c,best_ask_eq_80c,last_eq_80c,model_eq_82c,market_yes_eq_82c,market_no_eq_82c,edge_eq_82c,best_bid_eq_82c,best_ask_eq_82c,last_eq_82c,model_eq_84c,market_yes_eq_84c,market_no_eq_84c,edge_eq_84c,best_bid_eq_84c,best_ask_eq_84c,last_eq_84c,model_eq_86c,market_yes_eq_86c,market_no_eq_86c,edge_eq_86c,best_bid_eq_86c,best_ask_eq_86c,last_eq_86c,model_eq_88c,market_yes_eq_88c,market_no_eq_88c,edge_eq_88c,best_bid_eq_88c,best_ask_eq_88c,last_eq_88c,model_eq_90c,market_yes_eq_90c,market_no_eq_90c,edge_eq_90c,best_bid_eq_90c,best_ask_eq_90c,last_eq_90c,model_eq_92c,market_yes_eq_92c,market_no_eq_92c,edge_eq_92c,best_bid_eq_92c,best_ask_eq_92c,last_eq_92c,model_eq_94c,market_yes_eq_94c,market_no_eq_94c,edge_eq_94c,best_bid_eq_94c,best_ask_eq_94c,last_eq_94c,model_eq_96c,market_yes_eq_96c,market_no_eq_96c,edge_eq_96c,best_bid_eq_96c,best_ask_eq_96c,last_eq_96c,model_gte_98c,market_yes_gte_98c,market_no_gte_98c,edge_gte_98c,best_bid_gte_98c,best_ask_gte_98c,last_gte_98c
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,2026-06-06T23:56:18.070123Z,v0.5.0 HGBC feature-based ML model,92,0.4822243755074322,92.0,87.0,91.0,,84.0,85.8,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,0.9572289662010909,0.98,0.02,-0.0227710337989091,0.97,0.99,0.99,0.04187585665105866,0.0285,0.9715,0.01337585665105866,0.01,0.047,0.084,0.0008612050098426444,0.0035,0.9965,-0.0026387949901573557,0.001,0.006,0.012,3.39721380075744e-05,0.0015,0.9985,-0.0014660278619924255,,0.003,0.003
20260606T201520-0400,2026-06-07T00:15:20.131620+00:00,2026-06-06T20:15:20.131620-04:00,highest-temperature-in-denver-on-june-6-2026,2026-06-07T00:05:54.985946Z,v0.5.0 HGBC feature-based ML model,92,0.4822243755074322,92.0,87.0,91.0,,84.0,85.8,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,0.9572289662010909,0.9825,0.0175,-0.02527103379890916,0.975,0.99,0.99,0.04187585665105866,0.0095,0.9905,0.03237585665105866,0.001,0.018,0.002,0.0008612050098426444,0.0035,0.9965,-0.0026387949901573557,0.001,0.006,0.002,3.39721380075744e-05,0.0015,0.9985,-0.0014660278619924255,,0.003,0.003
20260606T202543-0400,2026-06-07T00:25:43.330632+00:00,2026-06-06T20:25:43.330632-04:00,highest-temperature-in-denver-on-june-6-2026,2026-06-07T00:19:54.256719Z,v0.5.0 HGBC feature-based ML model,92,0.4822243755074322,92.0,87.0,91.0,,85.0,85.8,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,0.9572289662010909,0.9975,0.0025,-0.04027103379890917,0.996,0.999,0.99,0.04187585665105866,0.0095,0.9905,0.03237585665105866,0.001,0.018,0.002,0.0008612050098426444,0.0035,0.9965,-0.0026387949901573557,0.001,0.006,0.002,3.39721380075744e-05,0.0015,0.9985,-0.0014660278619924255,,0.003,0.003
20260606T203603-0400,2026-06-07T00:36:03.395224+00:00,2026-06-06T20:36:03.395224-04:00,highest-temperature-in-denver-on-june-6-2026,2026-06-07T00:24:43.250468Z,v0.5.0 HGBC feature-based ML model,92,0.6584432104063382,92.0,86.0,91.0,,85.0,85.8,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,0.9679086398493018,0.998,0.002,-0.030091360150698243,0.997,0.999,0.999,0.031208548282922022,0.0025,0.9975,0.028708548282922023,0.001,0.004,0.002,0.0008493089944302502,0.0025,0.9975,-0.0016506910055697499,0.001,0.004,0.002,3.350287334618568e-05,0.0015,0.9985,-0.0014664971266538144,,0.003,0.003
20260606T204631-0400,2026-06-07T00:46:31.451196+00:00,2026-06-06T20:46:31.451196-04:00,highest-temperature-in-denver-on-june-6-2026,2026-06-07T00:34:43.800014Z,v0.5.0 HGBC feature-based ML model,92,0.6584432104063382,92.0,86.0,91.0,,85.0,85.8,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,0.9679086398493018,0.998,0.002,-0.030091360150698243,0.997,0.999,0.999,0.031208548282922022,0.0025,0.9975,0.028708548282922023,0.001,0.004,0.002,0.0008493089944302502,0.0025,0.9975,-0.0016506910055697499,0.001,0.004,0.002,3.350287334618568e-05,0.0015,0.9985,-0.0014664971266538144,,0.003,0.003
20260606T205657-0400,2026-06-07T00:56:57.520399+00:00,2026-06-06T20:56:57.520399-04:00,highest-temperature-in-denver-on-june-6-2026,2026-06-07T00:44:25.119844Z,v0.5.0 HGBC feature-based ML model,92,0.6584432049417864,92.0,86.0,91.0,,85.0,79.6,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,0.9679086393348091,0.998,0.002,-0.030091360665190914,0.997,0.999,0.999,0.031208548783260962,0.0025,0.9975,0.028708548783260963,0.001,0.004,0.002,0.0008493090080464841,0.002,0.998,-0.001150690991953516,0.001,0.003,0.002,3.3502873883308163e-05,0.0015,0.9985,-0.001466497126116692,,0.003,0.003
20260606T210727-0400,2026-06-07T01:07:27.853359+00:00,2026-06-06T21:07:27.853359-04:00,highest-temperature-in-denver-on-june-6-2026,2026-06-07T00:57:46.607246Z,v0.5.0 HGBC feature-based ML model,92,0.7399826766539648,92.0,85.0,91.0,,81.0,78.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,0.9807594208186,0.9985,0.0015,-0.01774057918140004,0.998,0.999,0.999,0.01874371070658711,0.0025,0.9975,0.01624371070658711,0.001,0.004,0.002,0.00047804188825355384,0.0015,0.9985,-0.0010219581117464462,,0.003,0.002,1.882658655940738e-05,0.0015,0.9985,-0.0014811734134405927,,0.003,0.003
20260606T211740-0400,2026-06-07T01:17:40.670541+00:00,2026-06-06T21:17:40.670541-04:00,highest-temperature-in-denver-on-june-6-2026,2026-06-07T01:05:03.659029Z,v0.5.0 HGBC feature-based ML model,92,0.7399826766539648,92.0,85.0,91.0,,81.0,78.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,0.9807594208186,0.9985,0.0015,-0.01774057918140004,0.998,0.999,0.999,0.01874371070658711,0.0005,0.9995,0.018243710706587108,,0.001,0.001,0.00047804188825355384,0.0015,0.9985,-0.0010219581117464462,,0.003,0.002,1.882658655940738e-05,0.0015,0.9985,-0.0014811734134405927,,0.003,0.003
20260606T212752-0400,2026-06-07T01:27:52.732433+00:00,2026-06-06T21:27:52.732433-04:00,highest-temperature-in-denver-on-june-6-2026,2026-06-07T01:24:43.642753Z,v0.5.0 HGBC feature-based ML model,92,0.731596812113932,92.0,84.0,91.0,,82.0,78.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,0.9814667351315678,0.9985,0.0015,-0.017033264868432263,0.998,0.999,0.999,0.01825262230937922,0.0005,0.9995,0.01775262230937922,,0.001,0.001,0.0002700088769055271,0.0015,0.9985,-0.001229991123094473,,0.003,0.002,1.0633682147481743e-05,0.0015,0.9985,-0.0014893663178525184,,0.003,0.003
20260606T213805-0400,2026-06-07T01:38:05.812052+00:00,2026-06-06T21:38:05.812052-04:00,highest-temperature-in-denver-on-june-6-2026,2026-06-07T01:34:40.869687Z,v0.5.0 HGBC feature-based ML model,92,0.7315968121139319,92.0,83.0,91.0,,81.0,78.2,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,0.9814667351315676,0.9985,0.0015,-0.017033264868432485,0.998,0.999,0.998,0.01825262230937922,0.0005,0.9995,0.01775262230937922,,0.001,0.001,0.000270008876905527,0.0015,0.9985,-0.0012299911230944731,,0.003,0.002,1.0633682147481742e-05,0.0015,0.9985,-0.0014893663178525184,,0.003,0.003
