snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,warming_rate_2h,hours_at_peak,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260610T010313-0400,2026-06-10T05:03:13.317574+00:00,2026-06-10T00:03:13.087962-05:00,highest-temperature-in-houston-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,17.0,17.0,0.0,0.0,0.0,10.0,60.0,,0.0,15.0,90.4,73.4,SSE,Partly cloudy
20260610T011327-0400,2026-06-10T05:13:27.611842+00:00,2026-06-10T00:13:27.501005-05:00,highest-temperature-in-houston-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,0.0,76.0,85.0,,0.0,9.0,90.4,9.400000000000006,SSE,Fair/clear
20260610T012341-0400,2026-06-10T05:23:41.860284+00:00,2026-06-10T00:23:41.782574-05:00,highest-temperature-in-houston-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,0.0,76.0,85.0,,0.0,9.0,90.4,9.400000000000006,SSE,Fair/clear
20260610T013352-0400,2026-06-10T05:33:52.288643+00:00,2026-06-10T00:33:52.201820-05:00,highest-temperature-in-houston-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,0.0,76.0,86.0,,0.0,9.0,90.4,9.400000000000006,SSE,Fair/clear
20260610T014402-0400,2026-06-10T05:44:02.627502+00:00,2026-06-10T00:44:02.515503-05:00,highest-temperature-in-houston-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,0.0,76.0,86.0,,0.0,9.0,90.3,9.299999999999997,SSE,Fair/clear
20260610T015421-0400,2026-06-10T05:54:21.278338+00:00,2026-06-10T00:54:21.155335-05:00,highest-temperature-in-houston-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,0.0,76.0,86.0,,0.0,9.0,90.3,9.299999999999997,SSE,Partly cloudy
20260610T020440-0400,2026-06-10T06:04:40.070336+00:00,2026-06-10T01:04:39.993334-05:00,highest-temperature-in-houston-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,6.116666666666666,76.0,86.0,29.93,0.0,,90.3,9.299999999999997,SSE,Partly cloudy
20260610T021450-0400,2026-06-10T06:14:50.405298+00:00,2026-06-10T01:14:50.325794-05:00,highest-temperature-in-houston-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,6.116666666666666,77.0,88.0,29.93,0.0,,90.3,9.299999999999997,E-SE/onshore-ish,Partly cloudy
20260610T022501-0400,2026-06-10T06:25:01.787590+00:00,2026-06-10T01:25:01.673651-05:00,highest-temperature-in-houston-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,6.116666666666666,77.0,88.0,29.93,0.0,,90.3,9.299999999999997,E-SE/onshore-ish,Partly cloudy
20260610T093740-0400,2026-06-10T13:37:40.438787+00:00,2026-06-10T08:37:40.176616-05:00,highest-temperature-in-houston-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,79.0,0.0,-1.0,6.116666666666666,77.0,94.0,29.9,0.00999999999999801,5.0,89.65,8.650000000000006,SSE,Fair/clear
