snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260607T010229-0400,2026-06-07T05:02:29.858953+00:00,2026-06-07T00:02:29.586929-05:00,highest-temperature-in-houston-on-june-7-2026,2026-06-07,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,17.0,17.0,0.0,10.0,60.0,,0.0,15.0,86.8,69.8,SSE,Mostly cloudy/overcast
20260607T011240-0400,2026-06-07T05:12:40.347654+00:00,2026-06-07T00:12:40.237813-05:00,highest-temperature-in-houston-on-june-7-2026,2026-06-07,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,78.0,91.0,,0.0,10.0,86.8,5.799999999999997,SSE,Fair/clear
20260607T012251-0400,2026-06-07T05:22:51.486772+00:00,2026-06-07T00:22:51.374609-05:00,highest-temperature-in-houston-on-june-7-2026,2026-06-07,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,78.0,91.0,,0.0,10.0,86.8,5.799999999999997,SSE,Fair/clear
20260607T013304-0400,2026-06-07T05:33:04.833288+00:00,2026-06-07T00:33:04.736780-05:00,highest-temperature-in-houston-on-june-7-2026,2026-06-07,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,78.0,91.0,,0.0,10.0,86.8,5.799999999999997,SSE,Partly cloudy
20260607T014314-0400,2026-06-07T05:43:14.135384+00:00,2026-06-07T00:43:14.049870-05:00,highest-temperature-in-houston-on-june-7-2026,2026-06-07,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,78.0,91.0,,0.0,10.0,85.9,4.900000000000006,SSE,Partly cloudy
20260607T015334-0400,2026-06-07T05:53:34.479106+00:00,2026-06-07T00:53:34.392914-05:00,highest-temperature-in-houston-on-june-7-2026,2026-06-07,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,78.0,91.0,,0.0,10.0,85.9,4.900000000000006,SSE,Partly cloudy
20260607T020350-0400,2026-06-07T06:03:50.859660+00:00,2026-06-07T01:03:50.778150-05:00,highest-temperature-in-houston-on-june-7-2026,2026-06-07,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,77.0,90.0,29.79,0.0,9.0,85.9,5.900000000000006,SSE,Mostly cloudy/overcast
20260607T021402-0400,2026-06-07T06:14:02.763271+00:00,2026-06-07T01:14:02.643883-05:00,highest-temperature-in-houston-on-june-7-2026,2026-06-07,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,77.0,90.0,29.79,0.0,9.0,85.9,5.900000000000006,SSE,Mostly cloudy/overcast
20260607T022412-0400,2026-06-07T06:24:12.099623+00:00,2026-06-07T01:24:12.012111-05:00,highest-temperature-in-houston-on-june-7-2026,2026-06-07,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,77.0,90.0,29.79,0.0,9.0,85.9,5.900000000000006,SSE,Mostly cloudy/overcast
20260607T023429-0400,2026-06-07T06:34:29.646015+00:00,2026-06-07T01:34:29.555503-05:00,highest-temperature-in-houston-on-june-7-2026,2026-06-07,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,77.0,90.0,29.79,0.0,9.0,85.9,5.900000000000006,SSE,Mostly cloudy/overcast
