snapshot_id,captured_at_utc,captured_at_local,event_slug,model_version,component_schema_version,cutoff_hour,active_model_kind,component_name,range_label,bin_kind,bin_value_c,component_probability,market_yes
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,77°F or below,lte,77,0.015732546705998055,0.0005
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,78-79°F,eq,78,0.0004916420845624394,0.001
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,80-81°F,eq,80,0.017877893984088705,0.001
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,82-83°F,eq,82,0.0004916420845624394,0.014
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,84-85°F,eq,84,0.02979648997348118,0.1185
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,86-87°F,eq,86,0.02979648997348118,0.41
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,88-89°F,eq,88,0.041715085962873655,0.385
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,90-91°F,eq,90,0.07151157593635482,0.095
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,92-93°F,eq,92,0.13110455588331718,0.0145
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,94-95°F,eq,94,0.08343017192574731,0.007
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,climatology_prior,96°F or higher,gte,96,0.07747087393105107,0.0025
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,77°F or below,lte,77,2.3199474996048328e-11,0.0005
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,78-79°F,eq,78,5.134773396539948e-10,0.001
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,80-81°F,eq,80,1.6199469329517359e-06,0.001
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,82-83°F,eq,82,0.009193336258119644,0.014
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,84-85°F,eq,84,0.08162580710097589,0.1185
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,86-87°F,eq,86,0.20902546021205554,0.41
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,88-89°F,eq,88,0.010517527732444047,0.385
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,90-91°F,eq,90,0.0014313625603137637,0.095
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,92-93°F,eq,92,0.00020738560043717256,0.0145
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,94-95°F,eq,94,8.59698881865019e-06,0.007
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,current_observed_floor,96°F or higher,gte,96,3.1193085095069096e-07,0.0025
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,feature_blend,77°F or below,lte,77,0.15706762641165514,0.0005
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,feature_blend,78-79°F,eq,78,0.005233437002134918,0.001
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,feature_blend,80-81°F,eq,80,0.013171804165654196,0.001
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,feature_blend,82-83°F,eq,82,0.02952031740696823,0.014
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,feature_blend,84-85°F,eq,84,0.1353822337696676,0.1185
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,feature_blend,86-87°F,eq,86,0.015931808330954752,0.41
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,feature_blend,88-89°F,eq,88,0.019795987835160556,0.385
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,feature_blend,90-91°F,eq,90,0.03497405865601644,0.095
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,feature_blend,92-93°F,eq,92,0.06463407025636028,0.0145
20260608T010238-0400,2026-06-08T05:02:38.173532+00:00,2026-06-08T01:02:38.173532-04:00,highest-temperature-in-houston-on-june-8-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,9,hgb,feature_blend,94-95°F,eq,94,0.034175368555468315,0.007
