snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_79c,market_yes_lte_79c,market_no_lte_79c,edge_lte_79c,best_bid_lte_79c,best_ask_lte_79c,last_lte_79c,model_eq_80c,market_yes_eq_80c,market_no_eq_80c,edge_eq_80c,best_bid_eq_80c,best_ask_eq_80c,last_eq_80c,model_eq_82c,market_yes_eq_82c,market_no_eq_82c,edge_eq_82c,best_bid_eq_82c,best_ask_eq_82c,last_eq_82c,model_eq_84c,market_yes_eq_84c,market_no_eq_84c,edge_eq_84c,best_bid_eq_84c,best_ask_eq_84c,last_eq_84c,model_eq_86c,market_yes_eq_86c,market_no_eq_86c,edge_eq_86c,best_bid_eq_86c,best_ask_eq_86c,last_eq_86c,model_eq_88c,market_yes_eq_88c,market_no_eq_88c,edge_eq_88c,best_bid_eq_88c,best_ask_eq_88c,last_eq_88c,model_eq_90c,market_yes_eq_90c,market_no_eq_90c,edge_eq_90c,best_bid_eq_90c,best_ask_eq_90c,last_eq_90c,model_eq_92c,market_yes_eq_92c,market_no_eq_92c,edge_eq_92c,best_bid_eq_92c,best_ask_eq_92c,last_eq_92c,model_eq_94c,market_yes_eq_94c,market_no_eq_94c,edge_eq_94c,best_bid_eq_94c,best_ask_eq_94c,last_eq_94c,model_eq_96c,market_yes_eq_96c,market_no_eq_96c,edge_eq_96c,best_bid_eq_96c,best_ask_eq_96c,last_eq_96c,model_gte_98c,market_yes_gte_98c,market_no_gte_98c,edge_gte_98c,best_bid_gte_98c,best_ask_gte_98c,last_gte_98c
20260609T010434-0400,2026-06-09T05:04:34.642880+00:00,2026-06-09T01:04:34.642880-04:00,highest-temperature-in-houston-on-june-9-2026,2026-06-09T04:56:29.452034Z,v0.5.0 HGBC feature-based ML model,90,0.521036796145437,,80.0,89.0,,87.0,89.2,,9.502470477215532e-07,0.0015,0.9985,-0.0014990497529522786,,0.003,0.002,0.0037146066383002673,0.003,0.997,0.0007146066383002673,0.002,0.004,0.004,0.008267040272889381,0.0015,0.9985,0.0067670402728893814,0.001,0.002,0.005,0.012595494550366355,0.009,0.991,0.003595494550366356,0.003,0.015,0.019,0.029121961997035428,0.115,0.885,-0.08587803800296458,0.09,0.14,0.12,0.20068107934759705,0.305,0.695,-0.10431892065240295,0.3,0.31,0.31,0.733848186699467,0.395,0.605,0.33884818669946704,0.39,0.4,0.4,0.011374388749766208,0.15,0.85,-0.1386256112502338,0.13,0.17,0.15,0.00038889182984360024,0.022,0.978,-0.0216111081701564,0.017,0.027,0.019,6.998238353233143e-06,0.014,0.986,-0.013993001761646768,0.01,0.018,0.009,4.014293337354745e-07,0.003,0.997,-0.0029995985706662647,0.002,0.004,
20260609T011448-0400,2026-06-09T05:14:48.078478+00:00,2026-06-09T01:14:48.078478-04:00,highest-temperature-in-houston-on-june-9-2026,2026-06-09T05:06:07.483915Z,v0.5.0 HGBC feature-based ML model,90,0.5247166686180332,,80.0,89.0,,87.0,89.2,,9.225243357351784e-07,0.0015,0.9985,-0.0014990774756642648,,0.003,0.002,0.002581932124541513,0.003,0.997,-0.0004180678754584872,0.002,0.004,0.004,0.0077752779745441395,0.0015,0.9985,0.006275277974544139,0.001,0.002,0.005,0.012683582319937308,0.01,0.99,0.002683582319937308,0.003,0.017,0.019,0.027829303243364502,0.12,0.88,-0.0921706967566355,0.09,0.15,0.12,0.19369195519986449,0.305,0.695,-0.11130804480013551,0.3,0.31,0.31,0.7438694453011063,0.365,0.635,0.37886944530110633,0.35,0.38,0.4,0.011295175831291287,0.15,0.85,-0.13870482416870872,0.12,0.18,0.15,0.00026555650353264046,0.021,0.979,-0.020734443496467362,0.015,0.027,0.019,6.451559015695064e-06,0.014,0.986,-0.013993548440984304,0.01,0.018,0.009,3.974184662855229e-07,0.003,0.997,-0.0029996025815337145,0.002,0.004,
20260609T012500-0400,2026-06-09T05:25:00.812065+00:00,2026-06-09T01:25:00.812065-04:00,highest-temperature-in-houston-on-june-9-2026,2026-06-09T05:18:30.221002Z,v0.5.0 HGBC feature-based ML model,90,0.5569993432167849,,79.0,89.0,,87.0,89.2,,0.0006581077084749704,0.0015,0.9985,-0.0008418922915250296,,0.003,0.002,0.0023354772792642925,0.003,0.997,-0.0006645227207357075,0.002,0.004,0.004,0.007114866068686996,0.0015,0.9985,0.005614866068686997,0.001,0.002,0.005,0.011655427476358227,0.0105,0.9895,0.001155427476358226,0.003,0.018,0.019,0.024182072487379483,0.085,0.915,-0.06081792751262052,0.07,0.1,0.12,0.19461884723573325,0.305,0.695,-0.11038115276426674,0.3,0.31,0.31,0.7492135410784108,0.39,0.61,0.35921354107841075,0.35,0.43,0.4,0.010004201823355329,0.155,0.845,-0.14499579817664468,0.13,0.18,0.15,0.0002115167234536156,0.021,0.979,-0.020788483276546386,0.015,0.027,0.019,5.687298520630618e-06,0.008,0.992,-0.00799431270147937,0.006,0.01,0.009,2.5482036241229275e-07,0.003,0.997,-0.0029997451796375876,0.002,0.004,
20260609T013516-0400,2026-06-09T05:35:16.687783+00:00,2026-06-09T01:35:16.687783-04:00,highest-temperature-in-houston-on-june-9-2026,2026-06-09T05:25:55.622674Z,v0.5.0 HGBC feature-based ML model,90,0.5569988172604826,,79.0,89.0,,87.0,89.2,,0.0006581075974229224,0.0015,0.9985,-0.0008418924025770776,,0.003,0.002,0.002335478769570535,0.003,0.997,-0.000664521230429465,0.002,0.004,0.004,0.007114864446483553,0.0015,0.9985,0.005614864446483552,0.001,0.002,0.005,0.011655493273552878,0.003,0.997,0.008655493273552878,0.002,0.004,0.019,0.02418210552986271,0.065,0.935,-0.04081789447013729,0.06,0.07,0.12,0.19461946091420107,0.305,0.695,-0.11038053908579892,0.3,0.31,0.31,0.7492128238782735,0.395,0.605,0.35421282387827346,0.36,0.43,0.4,0.010004200622297118,0.155,0.845,-0.14499579937770288,0.13,0.18,0.15,0.00021152268867533772,0.021,0.979,-0.020788477311324664,0.015,0.027,0.019,5.687458871351465e-06,0.0075,0.9925,-0.007494312541128648,0.005,0.01,0.009,2.548207891193725e-07,0.003,0.997,-0.002999745179210881,0.002,0.004,
20260609T014529-0400,2026-06-09T05:45:29.399786+00:00,2026-06-09T01:45:29.399786-04:00,highest-temperature-in-houston-on-june-9-2026,2026-06-09T05:40:28.666347Z,v0.5.0 HGBC feature-based ML model,90,0.5582699310670358,,79.0,89.0,,87.0,89.2,,0.0006580607826056611,0.0015,0.9985,-0.000841939217394339,,0.003,0.002,0.0021050682121611162,0.003,0.997,-0.0008949317878388838,0.002,0.004,0.004,0.005760361323049937,0.0015,0.9985,0.0042603613230499365,0.001,0.002,0.005,0.011285766412470515,0.003,0.997,0.008285766412470516,0.002,0.004,0.019,0.0237624044753385,0.065,0.935,-0.041237595524661504,0.06,0.07,0.12,0.1951170813200182,0.305,0.695,-0.10988291867998179,0.3,0.31,0.31,0.7509216089770387,0.395,0.605,0.35592160897703873,0.36,0.43,0.4,0.01016705142702909,0.155,0.845,-0.1448329485729709,0.13,0.18,0.15,0.00021663684591403815,0.021,0.979,-0.020783363154085962,0.015,0.027,0.019,5.704629059647602e-06,0.007,0.993,-0.006994295370940352,0.005,0.009,0.009,2.555953146301141e-07,0.003,0.997,-0.00299974440468537,0.002,0.004,
20260609T015548-0400,2026-06-09T05:55:48.349685+00:00,2026-06-09T01:55:48.349685-04:00,highest-temperature-in-houston-on-june-9-2026,2026-06-09T05:49:15.930537Z,v0.5.0 HGBC feature-based ML model,90,0.6115506985087821,,79.0,89.0,,87.0,88.6,,0.0005137793636810335,0.0015,0.9985,-0.0009862206363189666,,0.003,0.002,0.0018462770915896446,0.003,0.997,-0.0011537229084103554,0.002,0.004,0.004,0.006912431529649945,0.0015,0.9985,0.005412431529649944,0.001,0.002,0.005,0.011205845614974605,0.003,0.997,0.008205845614974606,0.002,0.004,0.019,0.02342956202383708,0.11,0.89,-0.08657043797616293,0.07,0.15,0.08,0.20298294218464782,0.305,0.695,-0.10201705781535217,0.3,0.31,0.31,0.7452096512008897,0.425,0.575,0.3202096512008897,0.35,0.5,0.43,0.007691865484549168,0.155,0.845,-0.14730813451545083,0.13,0.18,0.15,0.00020231525760664354,0.021,0.979,-0.02079768474239336,0.015,0.027,0.019,5.104949934803905e-06,0.007,0.993,-0.006994895050065196,0.005,0.009,0.009,2.2529863969992005e-07,0.003,0.997,-0.0029997747013603003,0.002,0.004,
20260609T020603-0400,2026-06-09T06:06:03.693432+00:00,2026-06-09T02:06:03.693432-04:00,highest-temperature-in-houston-on-june-9-2026,2026-06-09T05:56:26.083464Z,v0.5.0 HGBC feature-based ML model,90,0.5599762658487407,79.0,79.0,89.0,,88.0,89.7,,0.0002337144984957205,0.0015,0.9985,-0.0012662855015042795,,0.003,0.002,0.000681564843412262,0.003,0.997,-0.002318435156587738,0.002,0.004,0.004,0.0016192273792889605,0.0015,0.9985,0.00011922737928896044,0.001,0.002,0.005,0.0037132502870376406,0.003,0.997,0.0007132502870376405,0.002,0.004,0.019,0.01249020313312114,0.115,0.885,-0.10250979686687886,0.08,0.15,0.08,0.0928902117539385,0.305,0.695,-0.2121097882460615,0.3,0.31,0.31,0.8731772502673237,0.435,0.565,0.43817725026732374,0.35,0.52,0.43,0.014819120277681586,0.14,0.86,-0.12518087972231842,0.11,0.17,0.15,0.00036564879734924267,0.021,0.979,-0.02063435120265076,0.015,0.027,0.019,9.391187809028116e-06,0.007,0.993,-0.006990608812190972,0.005,0.009,0.009,4.1757454233366185e-07,0.003,0.997,-0.0029995824254576663,0.002,0.004,
20260609T021616-0400,2026-06-09T06:16:16.767975+00:00,2026-06-09T02:16:16.767975-04:00,highest-temperature-in-houston-on-june-9-2026,2026-06-09T06:14:37.217122Z,v0.5.0 HGBC feature-based ML model,90,0.5599762658487407,79.0,79.0,89.0,,88.0,89.7,,0.0002337144984957205,0.0015,0.9985,-0.0012662855015042795,,0.003,0.002,0.000681564843412262,0.003,0.997,-0.002318435156587738,0.002,0.004,0.004,0.0016192273792889605,0.0015,0.9985,0.00011922737928896044,0.001,0.002,0.005,0.0037132502870376406,0.003,0.997,0.0007132502870376405,0.002,0.004,0.019,0.01249020313312114,0.115,0.885,-0.10250979686687886,0.08,0.15,0.08,0.0928902117539385,0.3,0.7,-0.2071097882460615,0.29,0.31,0.29,0.8731772502673237,0.405,0.595,0.4681772502673237,0.35,0.46,0.43,0.014819120277681586,0.165,0.835,-0.15018087972231842,0.15,0.18,0.15,0.00036564879734924267,0.021,0.979,-0.02063435120265076,0.015,0.027,0.019,9.391187809028116e-06,0.007,0.993,-0.006990608812190972,0.005,0.009,0.009,4.1757454233366185e-07,0.003,0.997,-0.0029995824254576663,0.002,0.004,
20260609T083450-0400,2026-06-09T12:34:50.449770+00:00,2026-06-09T08:34:50.449770-04:00,highest-temperature-in-houston-on-june-9-2026,2026-06-09T12:26:29.555664Z,v0.5.0 HGBC feature-based ML model,90,0.4605881485509301,79.0,80.0,80.0,,89.0,90.0,,6.974568758364127e-08,0.0015,0.9985,-0.0014999302543124164,,0.003,0.002,0.0003606072517147004,0.0025,0.9975,-0.0021393927482852996,0.001,0.004,0.004,0.0007456295482987271,0.0015,0.9985,-0.0007543704517012729,0.001,0.002,0.005,0.0019928628093541893,0.0045,0.9955,-0.0025071371906458103,0.002,0.007,0.019,0.02061797493615504,0.0355,0.9645,-0.014882025063844957,0.021,0.05,0.05,0.12904922461781151,0.265,0.735,-0.1359507753821885,0.25,0.28,0.28,0.8282750259744989,0.46,0.54,0.36827502597449885,0.44,0.48,0.47,0.018358560588034898,0.2,0.8,-0.18164143941196512,0.18,0.22,0.17,0.0005868973696552814,0.0115,0.9885,-0.010913102630344718,0.01,0.013,0.027,1.22920399629541e-05,0.007,0.993,-0.006987707960037046,0.005,0.009,0.01,8.551188260386396e-07,0.0025,0.9975,-0.0024991448811739615,0.001,0.004,
20260609T084512-0400,2026-06-09T12:45:12.155072+00:00,2026-06-09T08:45:12.155072-04:00,highest-temperature-in-houston-on-june-9-2026,2026-06-09T12:38:54.833357Z,v0.5.0 HGBC feature-based ML model,90,0.4605881485509301,79.0,80.0,80.0,,89.0,90.0,,6.974568758364127e-08,0.0015,0.9985,-0.0014999302543124164,,0.003,0.002,0.0003606072517147004,0.0025,0.9975,-0.0021393927482852996,0.001,0.004,0.004,0.0007456295482987271,0.0015,0.9985,-0.0007543704517012729,0.001,0.002,0.005,0.0019928628093541893,0.0045,0.9955,-0.0025071371906458103,0.002,0.007,0.019,0.02061797493615504,0.0355,0.9645,-0.014882025063844957,0.021,0.05,0.05,0.12904922461781151,0.265,0.735,-0.1359507753821885,0.25,0.28,0.28,0.8282750259744989,0.46,0.54,0.36827502597449885,0.44,0.48,0.47,0.018358560588034898,0.2,0.8,-0.18164143941196512,0.18,0.22,0.17,0.0005868973696552814,0.0115,0.9885,-0.010913102630344718,0.01,0.013,0.027,1.22920399629541e-05,0.007,0.993,-0.006987707960037046,0.005,0.009,0.01,8.551188260386396e-07,0.0025,0.9975,-0.0024991448811739615,0.001,0.004,
