snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,range_label,bin_kind,bin_value_c,model_probability,market_yes,market_no,edge,best_bid,best_ask,last_trade_price,volume,liquidity,market_status,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c
20260606T200456-0400,2026-06-07T00:04:56.791353+00:00,2026-06-06T20:04:56.791353-04:00,highest-temperature-in-los-angeles-on-june-6-2026,2026-06-06T23:59:06.375525Z,v0.5.0 HGBC feature-based ML model,71,0.6285164245264626,61°F or below,lte,61,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,4436.766665,21313.10687,active,71.0,69.0,71.0,,68.0,66.9,
20260606T200456-0400,2026-06-07T00:04:56.791353+00:00,2026-06-06T20:04:56.791353-04:00,highest-temperature-in-los-angeles-on-june-6-2026,2026-06-06T23:59:06.375525Z,v0.5.0 HGBC feature-based ML model,71,0.6285164245264626,62-63°F,eq,62,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,872.394446,25679.08636,active,71.0,69.0,71.0,,68.0,66.9,
20260606T200456-0400,2026-06-07T00:04:56.791353+00:00,2026-06-06T20:04:56.791353-04:00,highest-temperature-in-los-angeles-on-june-6-2026,2026-06-06T23:59:06.375525Z,v0.5.0 HGBC feature-based ML model,71,0.6285164245264626,64-65°F,eq,64,0.0,0.0005,0.9995,-0.0005,,0.001,0.01,1093.907088,10200.99558,active,71.0,69.0,71.0,,68.0,66.9,
20260606T200456-0400,2026-06-07T00:04:56.791353+00:00,2026-06-06T20:04:56.791353-04:00,highest-temperature-in-los-angeles-on-june-6-2026,2026-06-06T23:59:06.375525Z,v0.5.0 HGBC feature-based ML model,71,0.6285164245264626,66-67°F,eq,66,0.0,0.0005,0.9995,-0.0005,,0.001,0.007,2193.730579999999,9300.93386,active,71.0,69.0,71.0,,68.0,66.9,
20260606T200456-0400,2026-06-07T00:04:56.791353+00:00,2026-06-06T20:04:56.791353-04:00,highest-temperature-in-los-angeles-on-june-6-2026,2026-06-06T23:59:06.375525Z,v0.5.0 HGBC feature-based ML model,71,0.6285164245264626,68-69°F,eq,68,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,10747.935370999998,5745.40704,active,71.0,69.0,71.0,,68.0,66.9,
20260606T200456-0400,2026-06-07T00:04:56.791353+00:00,2026-06-06T20:04:56.791353-04:00,highest-temperature-in-los-angeles-on-june-6-2026,2026-06-06T23:59:06.375525Z,v0.5.0 HGBC feature-based ML model,71,0.6285164245264626,70-71°F,eq,70,0.6285164245264626,0.959,0.041,-0.33048357547353735,0.943,0.975,0.974,11188.253411999995,326.39056,active,71.0,69.0,71.0,,68.0,66.9,
20260606T200456-0400,2026-06-07T00:04:56.791353+00:00,2026-06-06T20:04:56.791353-04:00,highest-temperature-in-los-angeles-on-june-6-2026,2026-06-06T23:59:06.375525Z,v0.5.0 HGBC feature-based ML model,71,0.6285164245264626,72-73°F,eq,72,0.33349883540816777,0.045,0.955,0.2884988354081678,0.03,0.06,0.15,6596.429189999998,416.5896,active,71.0,69.0,71.0,,68.0,66.9,
20260606T200456-0400,2026-06-07T00:04:56.791353+00:00,2026-06-06T20:04:56.791353-04:00,highest-temperature-in-los-angeles-on-june-6-2026,2026-06-06T23:59:06.375525Z,v0.5.0 HGBC feature-based ML model,71,0.6285164245264626,74-75°F,eq,74,0.037187413874927,0.001,0.999,0.036187413874927,,0.002,0.002,6641.745647999999,1497.05971,active,71.0,69.0,71.0,,68.0,66.9,
20260606T200456-0400,2026-06-07T00:04:56.791353+00:00,2026-06-06T20:04:56.791353-04:00,highest-temperature-in-los-angeles-on-june-6-2026,2026-06-06T23:59:06.375525Z,v0.5.0 HGBC feature-based ML model,71,0.6285164245264626,76-77°F,eq,76,0.0007402681146423775,0.001,0.999,-0.0002597318853576225,,0.002,0.002,2833.997926,1674.60174,active,71.0,69.0,71.0,,68.0,66.9,
20260606T200456-0400,2026-06-07T00:04:56.791353+00:00,2026-06-06T20:04:56.791353-04:00,highest-temperature-in-los-angeles-on-june-6-2026,2026-06-06T23:59:06.375525Z,v0.5.0 HGBC feature-based ML model,71,0.6285164245264626,78-79°F,eq,78,5.2386656960291814e-05,0.0005,0.9995,-0.0004476133430397082,,0.001,0.001,1440.3327279999999,2346.76312,active,71.0,69.0,71.0,,68.0,66.9,
