snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260608T030554-0400,2026-06-08T07:05:54.202616+00:00,2026-06-08T00:05:53.786013-07:00,highest-temperature-in-los-angeles-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,17.0,17.0,0.0,10.0,60.0,,0.0,15.0,69.2,52.2,S-SW,Mostly cloudy/overcast
20260608T031607-0400,2026-06-08T07:16:07.475213+00:00,2026-06-08T00:16:07.162988-07:00,highest-temperature-in-los-angeles-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,61.0,61.0,44.0,55.0,79.0,,0.0,0.0,69.2,8.200000000000003,S-SW,Mostly cloudy/overcast
20260608T032620-0400,2026-06-08T07:26:20.480617+00:00,2026-06-08T00:26:20.141992-07:00,highest-temperature-in-los-angeles-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,61.0,61.0,44.0,55.0,79.0,,0.0,1.0,69.2,8.200000000000003,S-SW,Mostly cloudy/overcast
20260608T033633-0400,2026-06-08T07:36:33.997449+00:00,2026-06-08T00:36:33.725669-07:00,highest-temperature-in-los-angeles-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,62.0,62.0,45.0,55.0,79.0,,0.0,1.0,69.2,7.200000000000003,S-SW,Mostly cloudy/overcast
20260608T034647-0400,2026-06-08T07:46:47.327691+00:00,2026-06-08T00:46:46.966068-07:00,highest-temperature-in-los-angeles-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,62.0,62.0,45.0,55.0,79.0,,0.0,1.0,69.2,7.200000000000003,S-SW,Mostly cloudy/overcast
20260608T035700-0400,2026-06-08T07:57:00.465085+00:00,2026-06-08T00:57:00.044469-07:00,highest-temperature-in-los-angeles-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,63.0,63.0,46.0,55.0,75.0,29.72,0.0,5.0,69.2,6.200000000000003,N-NE,Mostly cloudy/overcast
20260608T040714-0400,2026-06-08T08:07:14.359979+00:00,2026-06-08T01:07:13.917587-07:00,highest-temperature-in-los-angeles-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,63.0,63.0,46.0,55.0,75.0,29.72,0.0,5.0,69.2,6.200000000000003,N-NE,Mostly cloudy/overcast
20260608T041735-0400,2026-06-08T08:17:35.065141+00:00,2026-06-08T01:17:34.743930-07:00,highest-temperature-in-los-angeles-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,63.0,63.0,46.0,55.0,75.0,29.72,0.0,5.0,70.3,7.299999999999997,N-NE,Mostly cloudy/overcast
20260608T042751-0400,2026-06-08T08:27:51.785247+00:00,2026-06-08T01:27:51.543941-07:00,highest-temperature-in-los-angeles-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,63.0,63.0,46.0,55.0,75.0,29.72,0.0,5.0,70.3,7.299999999999997,N-NE,Mostly cloudy/overcast
20260608T043804-0400,2026-06-08T08:38:04.732594+00:00,2026-06-08T01:38:04.506736-07:00,highest-temperature-in-los-angeles-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,63.0,63.0,46.0,55.0,75.0,29.72,0.0,5.0,70.3,7.299999999999997,N-NE,Mostly cloudy/overcast
