snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_65c,market_yes_lte_65c,market_no_lte_65c,edge_lte_65c,best_bid_lte_65c,best_ask_lte_65c,last_lte_65c,model_eq_66c,market_yes_eq_66c,market_no_eq_66c,edge_eq_66c,best_bid_eq_66c,best_ask_eq_66c,last_eq_66c,model_eq_68c,market_yes_eq_68c,market_no_eq_68c,edge_eq_68c,best_bid_eq_68c,best_ask_eq_68c,last_eq_68c,model_eq_70c,market_yes_eq_70c,market_no_eq_70c,edge_eq_70c,best_bid_eq_70c,best_ask_eq_70c,last_eq_70c,model_eq_72c,market_yes_eq_72c,market_no_eq_72c,edge_eq_72c,best_bid_eq_72c,best_ask_eq_72c,last_eq_72c,model_eq_74c,market_yes_eq_74c,market_no_eq_74c,edge_eq_74c,best_bid_eq_74c,best_ask_eq_74c,last_eq_74c,model_eq_76c,market_yes_eq_76c,market_no_eq_76c,edge_eq_76c,best_bid_eq_76c,best_ask_eq_76c,last_eq_76c,model_eq_78c,market_yes_eq_78c,market_no_eq_78c,edge_eq_78c,best_bid_eq_78c,best_ask_eq_78c,last_eq_78c,model_eq_80c,market_yes_eq_80c,market_no_eq_80c,edge_eq_80c,best_bid_eq_80c,best_ask_eq_80c,last_eq_80c,model_eq_82c,market_yes_eq_82c,market_no_eq_82c,edge_eq_82c,best_bid_eq_82c,best_ask_eq_82c,last_eq_82c,model_gte_84c,market_yes_gte_84c,market_no_gte_84c,edge_gte_84c,best_bid_gte_84c,best_ask_gte_84c,last_gte_84c
20260609T083451-0400,2026-06-09T12:34:51.535500+00:00,2026-06-09T08:34:51.535500-04:00,highest-temperature-in-los-angeles-on-june-9-2026,2026-06-09T12:27:51.639526Z,v0.5.0 HGBC feature-based ML model,72,0.7326140359500258,63.0,60.0,70.0,,72.0,72.4,,0.0005228386996749721,0.0005,0.9995,2.2838699674972108e-05,,0.001,,0.004815243866057892,0.0005,0.9995,0.004315243866057892,,0.001,,0.03468047240299123,0.0015,0.9985,0.033180472402991226,0.001,0.002,0.001,0.11247909482703519,0.14,0.86,-0.02752090517296482,0.13,0.15,0.14,0.8371438557455917,0.645,0.355,0.19214385574559167,0.63,0.66,0.66,0.010265022567675454,0.22,0.78,-0.20973497743232455,0.21,0.23,0.25,7.933149388253735e-05,0.012,0.988,-0.011920668506117463,0.005,0.019,0.005,1.4085114084891716e-05,0.003,0.997,-0.0029859148859151083,0.001,0.005,0.001,5.026728251508438e-08,0.003,0.997,-0.002999949732717485,,0.006,0.005,4.8063309059062e-09,0.0005,0.9995,-0.0004999951936690941,,0.001,0.003,2.0939271354341134e-10,0.0005,0.9995,-0.0004999997906072864,,0.001,0.003
20260609T084513-0400,2026-06-09T12:45:13.045356+00:00,2026-06-09T08:45:13.045356-04:00,highest-temperature-in-los-angeles-on-june-9-2026,2026-06-09T12:41:38.786293Z,v0.5.0 HGBC feature-based ML model,72,0.7326140359500258,63.0,60.0,70.0,,72.0,72.4,,0.0005228386996749721,0.0005,0.9995,2.2838699674972108e-05,,0.001,,0.004815243866057892,0.0005,0.9995,0.004315243866057892,,0.001,,0.03468047240299123,0.0015,0.9985,0.033180472402991226,0.001,0.002,0.002,0.11247909482703519,0.13,0.87,-0.017520905172964812,0.12,0.14,0.15,0.8371438557455917,0.65,0.35,0.18714385574559167,0.64,0.66,0.65,0.010265022567675454,0.145,0.855,-0.13473497743232454,0.13,0.16,0.14,7.933149388253735e-05,0.013,0.987,-0.012920668506117462,0.007,0.019,0.019,1.4085114084891716e-05,0.003,0.997,-0.0029859148859151083,0.001,0.005,0.005,5.026728251508438e-08,0.003,0.997,-0.002999949732717485,,0.006,0.005,4.8063309059062e-09,0.0005,0.9995,-0.0004999951936690941,,0.001,0.003,2.0939271354341134e-10,0.0005,0.9995,-0.0004999997906072864,,0.001,0.003
20260609T085549-0400,2026-06-09T12:55:49.484200+00:00,2026-06-09T08:55:49.484200-04:00,highest-temperature-in-los-angeles-on-june-9-2026,2026-06-09T12:49:52.705914Z,v0.5.0 HGBC feature-based ML model,72,0.7326140359500258,63.0,60.0,70.0,,72.0,72.4,,0.0005228386996749721,0.0005,0.9995,2.2838699674972108e-05,,0.001,,0.004815243866057892,0.0005,0.9995,0.004315243866057892,,0.001,,0.03468047240299123,0.0015,0.9985,0.033180472402991226,0.001,0.002,0.002,0.11247909482703519,0.15,0.85,-0.0375209051729648,0.14,0.16,0.16,0.8371438557455917,0.65,0.35,0.18714385574559167,0.64,0.66,0.65,0.010265022567675454,0.165,0.835,-0.15473497743232456,0.15,0.18,0.15,7.933149388253735e-05,0.013,0.987,-0.012920668506117462,0.007,0.019,0.019,1.4085114084891716e-05,0.003,0.997,-0.0029859148859151083,0.001,0.005,0.005,5.026728251508438e-08,0.002,0.998,-0.0019999497327174848,,0.004,0.005,4.8063309059062e-09,0.0005,0.9995,-0.0004999951936690941,,0.001,0.003,2.0939271354341134e-10,0.0005,0.9995,-0.0004999997906072864,,0.001,0.003
20260609T090607-0400,2026-06-09T13:06:07.916721+00:00,2026-06-09T09:06:07.916721-04:00,highest-temperature-in-los-angeles-on-june-9-2026,2026-06-09T13:02:14.469582Z,v0.5.0 HGBC feature-based ML model,72,0.7329085930142385,63.0,60.0,70.0,,72.0,72.4,,0.00052557813263485,0.0005,0.9995,2.5578132634849994e-05,,0.001,,0.004821287638782257,0.0005,0.9995,0.004321287638782256,,0.001,,0.034357757885108337,0.0015,0.9985,0.032857757885108335,0.001,0.002,0.002,0.11277618004048694,0.15,0.85,-0.03722381995951306,0.14,0.16,0.16,0.8373784465799818,0.65,0.35,0.18737844657998182,0.64,0.66,0.65,0.010053730135727874,0.165,0.835,-0.15494626986427212,0.15,0.18,0.15,7.290994628255556e-05,0.0135,0.9865,-0.013427090053717445,0.008,0.019,0.019,1.4054556567283598e-05,0.003,0.997,-0.0029859454434327166,0.001,0.005,0.005,5.0083317349153106e-08,0.003,0.997,-0.002999949916682651,,0.006,0.005,4.792275763401713e-09,0.0005,0.9995,-0.0004999952077242366,,0.001,0.003,2.0883508466465516e-10,0.0005,0.9995,-0.0004999997911649154,,0.001,0.003
20260609T091627-0400,2026-06-09T13:16:27.596817+00:00,2026-06-09T09:16:27.596817-04:00,highest-temperature-in-los-angeles-on-june-9-2026,2026-06-09T13:05:08.188793Z,v0.5.0 HGBC feature-based ML model,72,0.7358990226269969,63.0,60.0,70.0,,72.0,72.1,,0.0004180344222314603,0.0005,0.9995,-8.19655777685397e-05,,0.001,,0.004584803448207739,0.0005,0.9995,0.00408480344820774,,0.001,,0.0335288318849591,0.0015,0.9985,0.0320288318849591,0.001,0.002,0.002,0.11207816852517982,0.15,0.85,-0.03792183147482017,0.14,0.16,0.16,0.8402821632094868,0.655,0.345,0.18528216320948676,0.64,0.67,0.66,0.009058233069292699,0.155,0.845,-0.1459417669307073,0.14,0.17,0.17,4.151714887907288e-05,0.0135,0.9865,-0.013458482851120926,0.008,0.019,0.019,8.195237331854216e-06,0.003,0.997,-0.002991804762668146,0.001,0.005,0.005,4.9051932729173044e-08,0.002,0.998,-0.001999950948067271,,0.004,0.005,3.834631450225463e-09,0.0005,0.9995,-0.0004999961653685497,,0.001,0.003,1.6786729819821245e-10,0.0005,0.9995,-0.0004999998321327018,,0.001,0.003
20260609T092640-0400,2026-06-09T13:26:40.387241+00:00,2026-06-09T09:26:40.387241-04:00,highest-temperature-in-los-angeles-on-june-9-2026,2026-06-09T13:21:06.495533Z,v0.5.0 HGBC feature-based ML model,72,0.734565270425097,63.0,61.0,70.0,,71.0,72.1,,0.0006101093883222092,0.0005,0.9995,0.00011010938832220919,,0.001,,0.004612954813122686,0.0005,0.9995,0.004112954813122686,,0.001,,0.03090053444881166,0.0015,0.9985,0.029400534448811657,0.001,0.002,0.002,0.12091988394864399,0.15,0.85,-0.029080116051356006,0.14,0.16,0.16,0.835299673005736,0.655,0.345,0.18029967300573602,0.64,0.67,0.67,0.007613058515995993,0.155,0.845,-0.147386941484004,0.14,0.17,0.17,3.6125004343864336e-05,0.0135,0.9865,-0.013463874995656136,0.008,0.019,0.019,7.612079594618912e-06,0.003,0.997,-0.0029923879204053812,0.001,0.005,0.005,4.5114791126097385e-08,0.003,0.997,-0.002999954885208874,,0.006,0.005,3.5282643140892773e-09,0.0005,0.9995,-0.0004999964717356859,,0.001,0.003,1.5237330933337093e-10,0.0005,0.9995,-0.0004999998476266907,,0.001,0.003
20260609T093653-0400,2026-06-09T13:36:53.303923+00:00,2026-06-09T09:36:53.303923-04:00,highest-temperature-in-los-angeles-on-june-9-2026,2026-06-09T13:29:16.046959Z,v0.5.0 HGBC feature-based ML model,72,0.7428786689690998,63.0,61.0,70.0,,71.0,72.1,,0.000523389086005949,0.0005,0.9995,2.338908600594896e-05,,0.001,,0.004381220454154927,0.0005,0.9995,0.003881220454154927,,0.001,,0.03040603281561927,0.0015,0.9985,0.028906032815619268,0.001,0.002,0.002,0.11976273921756829,0.15,0.85,-0.030237260782431705,0.14,0.16,0.16,0.8400439694621975,0.675,0.325,0.16504396946219746,0.66,0.69,0.67,0.004847179594761079,0.18,0.82,-0.1751528204052389,0.16,0.2,0.18,2.8721106172930248e-05,0.0135,0.9865,-0.01347127889382707,0.008,0.019,0.019,6.705722106192043e-06,0.003,0.997,-0.002993294277893808,0.001,0.005,0.005,3.934792426770175e-08,0.0015,0.9985,-0.0014999606520757324,,0.003,0.005,3.078916556443167e-09,0.0005,0.9995,-0.0004999969210834435,,0.001,0.003,1.1457307820299566e-10,0.0005,0.9995,-0.0004999998854269218,,0.001,0.003
20260609T094708-0400,2026-06-09T13:47:08.591173+00:00,2026-06-09T09:47:08.591173-04:00,highest-temperature-in-los-angeles-on-june-9-2026,2026-06-09T13:40:50.504815Z,v0.5.0 HGBC feature-based ML model,72,0.7428786689690998,63.0,61.0,70.0,,71.0,72.1,,0.000523389086005949,0.0005,0.9995,2.338908600594896e-05,,0.001,,0.004381220454154927,0.0005,0.9995,0.003881220454154927,,0.001,,0.03040603281561927,0.0005,0.9995,0.02990603281561927,,0.001,0.002,0.11976273921756829,0.155,0.845,-0.03523726078243171,0.15,0.16,0.15,0.8400439694621975,0.68,0.32,0.16004396946219746,0.67,0.69,0.67,0.004847179594761079,0.18,0.82,-0.1751528204052389,0.17,0.19,0.18,2.8721106172930248e-05,0.013,0.987,-0.012971278893827069,0.008,0.018,0.019,6.705722106192043e-06,0.003,0.997,-0.002993294277893808,0.001,0.005,0.005,3.934792426770175e-08,0.0015,0.9985,-0.0014999606520757324,,0.003,0.005,3.078916556443167e-09,0.0005,0.9995,-0.0004999969210834435,,0.001,0.003,1.1457307820299566e-10,0.0005,0.9995,-0.0004999998854269218,,0.001,0.003
20260609T095725-0400,2026-06-09T13:57:25.133860+00:00,2026-06-09T09:57:25.133860-04:00,highest-temperature-in-los-angeles-on-june-9-2026,2026-06-09T13:48:33.384834Z,v0.5.0 HGBC feature-based ML model,72,0.7464222568945351,63.0,61.0,70.0,,71.0,72.1,,0.000419627587944226,0.0005,0.9995,-8.037241205577399e-05,,0.001,,0.0043629437397000315,0.0005,0.9995,0.0038629437397000315,,0.001,,0.031070224547796135,0.0005,0.9995,0.030570224547796135,,0.001,0.002,0.1179233044097572,0.155,0.845,-0.037076695590242806,0.15,0.16,0.15,0.8419644236097588,0.67,0.33,0.17196442360975872,0.66,0.68,0.67,0.004228089219133251,0.18,0.82,-0.17577191078086674,0.17,0.19,0.18,2.510364759556024e-05,0.0135,0.9865,-0.013474896352404439,0.008,0.019,0.019,6.2194313636852205e-06,0.002,0.998,-0.001993780568636315,0.001,0.003,0.005,6.084083810965972e-08,0.0015,0.9985,-0.0014999391591618903,,0.003,0.005,2.85872579324146e-09,0.0005,0.9995,-0.0004999971412742068,,0.001,0.003,1.0738736398314229e-10,0.0005,0.9995,-0.000499999892612636,,0.001,0.003
20260609T100747-0400,2026-06-09T14:07:47.044598+00:00,2026-06-09T10:07:47.044598-04:00,highest-temperature-in-los-angeles-on-june-9-2026,2026-06-09T14:06:43.946606Z,v0.5.0 HGBC feature-based ML model,72,0.7451001238619726,63.0,62.0,62.0,,71.0,72.1,,0.00040769375576579065,0.0005,0.9995,-9.230624423420936e-05,,0.001,,0.004128701078120422,0.0005,0.9995,0.003628701078120422,,0.001,,0.03039064091048998,0.0005,0.9995,0.029890640910489978,,0.001,0.002,0.11923139315615694,0.15,0.85,-0.030768606843843055,0.14,0.16,0.15,0.8410027292030461,0.675,0.325,0.16600272920304604,0.66,0.69,0.67,0.004806743819366948,0.21,0.79,-0.20519325618063305,0.2,0.22,0.21,2.5747833523430967e-05,0.0135,0.9865,-0.01347425216647657,0.008,0.019,0.019,6.286124784881202e-06,0.002,0.998,-0.001993713875215119,0.001,0.003,0.005,6.112229811965177e-08,0.0015,0.9985,-0.0014999388777018803,,0.003,0.005,2.887857921875056e-09,0.0005,0.9995,-0.0004999971121420781,,0.001,0.003,1.0858955686116078e-10,0.0005,0.9995,-0.0004999998914104432,,0.001,0.003
