snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_79c,market_yes_lte_79c,market_no_lte_79c,edge_lte_79c,best_bid_lte_79c,best_ask_lte_79c,last_lte_79c,model_eq_80c,market_yes_eq_80c,market_no_eq_80c,edge_eq_80c,best_bid_eq_80c,best_ask_eq_80c,last_eq_80c,model_eq_82c,market_yes_eq_82c,market_no_eq_82c,edge_eq_82c,best_bid_eq_82c,best_ask_eq_82c,last_eq_82c,model_eq_84c,market_yes_eq_84c,market_no_eq_84c,edge_eq_84c,best_bid_eq_84c,best_ask_eq_84c,last_eq_84c,model_eq_86c,market_yes_eq_86c,market_no_eq_86c,edge_eq_86c,best_bid_eq_86c,best_ask_eq_86c,last_eq_86c,model_eq_88c,market_yes_eq_88c,market_no_eq_88c,edge_eq_88c,best_bid_eq_88c,best_ask_eq_88c,last_eq_88c,model_eq_90c,market_yes_eq_90c,market_no_eq_90c,edge_eq_90c,best_bid_eq_90c,best_ask_eq_90c,last_eq_90c,model_eq_92c,market_yes_eq_92c,market_no_eq_92c,edge_eq_92c,best_bid_eq_92c,best_ask_eq_92c,last_eq_92c,model_eq_94c,market_yes_eq_94c,market_no_eq_94c,edge_eq_94c,best_bid_eq_94c,best_ask_eq_94c,last_eq_94c,model_eq_96c,market_yes_eq_96c,market_no_eq_96c,edge_eq_96c,best_bid_eq_96c,best_ask_eq_96c,last_eq_96c,model_gte_98c,market_yes_gte_98c,market_no_gte_98c,edge_gte_98c,best_bid_gte_98c,best_ask_gte_98c,last_gte_98c
20260607T000111-0400,2026-06-07T04:01:11.128526+00:00,2026-06-07T00:01:11.128526-04:00,highest-temperature-in-miami-on-june-7-2026,2026-06-07T03:54:54.512092Z,v0.5.0 HGBC feature-based ML model,84,0.37094504348310703,,81.0,86.0,,85.0,83.7,,2.5307762147927764e-07,0.002,0.998,-0.001999746922378521,0.001,0.003,0.001,0.0115308584010277,0.0025,0.9975,0.0090308584010277,0.001,0.004,0.001,0.14292129230471565,0.0075,0.9925,0.13542129230471564,0.007,0.008,0.003,0.5967177466952847,0.075,0.925,0.5217177466952847,0.06,0.09,0.06,0.23865189357036695,0.41,0.59,-0.17134810642963302,0.4,0.42,0.42,0.009585568996755878,0.455,0.545,-0.4454144310032441,0.45,0.46,0.47,0.0005678172445576444,0.07,0.93,-0.06943218275544236,0.055,0.085,0.084,2.3405861379152973e-05,0.0035,0.9965,-0.003476594138620847,0.002,0.005,0.002,1.1638482909696116e-06,0.0045,0.9955,-0.00449883615170903,0.002,0.007,0.002,0,0.003,0.997,-0.003,,0.006,0.001,0,0.002,0.998,-0.002,0.001,0.003,0.001
20260607T001122-0400,2026-06-07T04:11:22.922712+00:00,2026-06-07T00:11:22.922712-04:00,highest-temperature-in-miami-on-june-7-2026,2026-06-07T04:05:03.70807Z,v0.5.0 HGBC feature-based ML model,84,0.37094504348310703,,81.0,86.0,,85.0,83.7,,2.5307762147927764e-07,0.002,0.998,-0.001999746922378521,0.001,0.003,0.001,0.0115308584010277,0.0025,0.9975,0.0090308584010277,0.001,0.004,0.001,0.14292129230471565,0.0075,0.9925,0.13542129230471564,0.007,0.008,0.003,0.5967177466952847,0.075,0.925,0.5217177466952847,0.06,0.09,0.06,0.23865189357036695,0.43,0.57,-0.19134810642963304,0.42,0.44,0.42,0.009585568996755878,0.455,0.545,-0.4454144310032441,0.45,0.46,0.46,0.0005678172445576444,0.07,0.93,-0.06943218275544236,0.055,0.085,0.084,2.3405861379152973e-05,0.0035,0.9965,-0.003476594138620847,0.002,0.005,0.002,1.1638482909696116e-06,0.004,0.996,-0.00399883615170903,0.002,0.006,0.002,0,0.003,0.997,-0.003,,0.006,0.001,0,0.002,0.998,-0.002,0.001,0.003,0.001
20260607T002133-0400,2026-06-07T04:21:33.474788+00:00,2026-06-07T00:21:33.474788-04:00,highest-temperature-in-miami-on-june-7-2026,2026-06-07T04:15:02.776518Z,v0.5.0 HGBC feature-based ML model,84,0.4242571358308664,,80.0,86.0,,85.0,83.7,,4.994594659604574e-06,0.002,0.998,-0.0019950054053403956,0.001,0.003,0.001,0.026859093412962554,0.002,0.998,0.024859093412962552,0.001,0.003,0.001,0.14539063136376598,0.0075,0.9925,0.13789063136376598,0.007,0.008,0.003,0.6697595360091898,0.076,0.924,0.5937595360091898,0.06,0.092,0.09,0.14642011278991646,0.455,0.545,-0.30857988721008356,0.44,0.47,0.49,0.010888589499230852,0.435,0.565,-0.42411141050076917,0.42,0.45,0.45,0.0006489036430790164,0.074,0.926,-0.07335109635692098,0.055,0.093,0.092,2.68056235514796e-05,0.0035,0.9965,-0.0034731943764485206,0.002,0.005,0.002,1.333063644196062e-06,0.005,0.995,-0.004998666936355804,0.003,0.007,0.002,0,0.0005,0.9995,-0.0005,,0.001,0.001,0,0.0015,0.9985,-0.0015,,0.003,0.001
20260607T003148-0400,2026-06-07T04:31:48.135955+00:00,2026-06-07T00:31:48.135955-04:00,highest-temperature-in-miami-on-june-7-2026,2026-06-07T04:24:08.344695Z,v0.5.0 HGBC feature-based ML model,84,0.4242571358308664,,80.0,86.0,,85.0,83.7,,4.994594659604574e-06,0.002,0.998,-0.0019950054053403956,0.001,0.003,0.003,0.026859093412962554,0.002,0.998,0.024859093412962552,0.001,0.003,0.001,0.14539063136376598,0.0075,0.9925,0.13789063136376598,0.007,0.008,0.003,0.6697595360091898,0.0775,0.9225,0.5922595360091898,0.06,0.095,0.09,0.14642011278991646,0.455,0.545,-0.30857988721008356,0.44,0.47,0.47,0.010888589499230852,0.425,0.575,-0.41411141050076916,0.41,0.44,0.45,0.0006489036430790164,0.078,0.922,-0.07735109635692099,0.062,0.094,0.093,2.68056235514796e-05,0.0035,0.9965,-0.0034731943764485206,0.002,0.005,0.002,1.333063644196062e-06,0.005,0.995,-0.004998666936355804,0.003,0.007,0.002,0,0.0005,0.9995,-0.0005,,0.001,0.001,0,0.0015,0.9985,-0.0015,,0.003,0.001
20260607T004159-0400,2026-06-07T04:41:59.015270+00:00,2026-06-07T00:41:59.015270-04:00,highest-temperature-in-miami-on-june-7-2026,2026-06-07T04:34:14.400072Z,v0.5.0 HGBC feature-based ML model,85,0.5102193485117097,,80.0,86.0,,85.0,84.7,,1.519200126047445e-06,0.002,0.998,-0.0019984807998739526,0.001,0.003,0.003,0.010861199933746842,0.002,0.998,0.008861199933746842,0.001,0.003,0.001,0.09510864785114598,0.0075,0.9925,0.08760864785114597,0.007,0.008,0.003,0.5659375907483202,0.0745,0.9255,0.49143759074832016,0.06,0.089,0.09,0.30405789828981844,0.445,0.555,-0.14094210171018157,0.43,0.46,0.48,0.022625673823985375,0.42,0.58,-0.3973743261760146,0.41,0.43,0.45,0.001348475951024605,0.0655,0.9345,-0.0641515240489754,0.065,0.066,0.093,5.591370504783944e-05,0.0035,0.9965,-0.0034440862949521606,0.002,0.005,0.002,3.080496784770952e-06,0.005,0.995,-0.004996919503215229,0.003,0.007,0.002,0,0.0005,0.9995,-0.0005,,0.001,0.001,0,0.0015,0.9985,-0.0015,,0.003,0.001
20260607T005209-0400,2026-06-07T04:52:09.034253+00:00,2026-06-07T00:52:09.034253-04:00,highest-temperature-in-miami-on-june-7-2026,2026-06-07T04:47:00.544596Z,v0.5.0 HGBC feature-based ML model,85,0.5102193485117097,,80.0,86.0,,85.0,84.7,,1.519200126047445e-06,0.002,0.998,-0.0019984807998739526,0.001,0.003,0.003,0.010861199933746842,0.002,0.998,0.008861199933746842,0.001,0.003,0.001,0.09510864785114598,0.0075,0.9925,0.08760864785114597,0.007,0.008,0.003,0.5659375907483202,0.0825,0.9175,0.48343759074832016,0.06,0.105,0.09,0.30405789828981844,0.445,0.555,-0.14094210171018157,0.43,0.46,0.48,0.022625673823985375,0.39,0.61,-0.3673743261760146,0.38,0.4,0.45,0.001348475951024605,0.0655,0.9345,-0.0641515240489754,0.065,0.066,0.093,5.591370504783944e-05,0.0035,0.9965,-0.0034440862949521606,0.002,0.005,0.002,3.080496784770952e-06,0.0055,0.9945,-0.0054969195032152285,0.003,0.008,0.002,0,0.0005,0.9995,-0.0005,,0.001,0.001,0,0.0015,0.9985,-0.0015,,0.003,0.001
20260607T010231-0400,2026-06-07T05:02:31.378521+00:00,2026-06-07T01:02:31.378521-04:00,highest-temperature-in-miami-on-june-7-2026,2026-06-07T04:54:15.831745Z,v0.5.0 HGBC feature-based ML model,86,0.4761228706669419,79.0,81.0,86.0,,86.0,86.3,,4.259769324136292e-08,0.002,0.998,-0.0019999574023067588,0.001,0.003,0.003,0.0033614641242710485,0.002,0.998,0.0013614641242710485,0.001,0.003,0.001,0.10138125585141546,0.0075,0.9925,0.09388125585141546,0.007,0.008,0.003,0.061424405251769426,0.0825,0.9175,-0.021075594748230578,0.06,0.105,0.09,0.6743865428952732,0.44,0.56,0.23438654289527322,0.42,0.46,0.48,0.14461396137303945,0.395,0.605,-0.25038603862696057,0.39,0.4,0.45,0.014301133574343601,0.0785,0.9215,-0.06419886642565639,0.064,0.093,0.093,0.000511995501210331,0.0035,0.9965,-0.002988004498789669,0.002,0.005,0.002,1.919883098430157e-05,0.0055,0.9945,-0.005480801169015698,0.003,0.008,0.002,0,0.0005,0.9995,-0.0005,,0.001,0.001,0,0.0015,0.9985,-0.0015,,0.003,0.001
20260607T011242-0400,2026-06-07T05:12:42.510637+00:00,2026-06-07T01:12:42.510637-04:00,highest-temperature-in-miami-on-june-7-2026,2026-06-07T05:04:14.929229Z,v0.5.0 HGBC feature-based ML model,86,0.4761228706669419,79.0,81.0,86.0,,86.0,86.3,,4.259769324136292e-08,0.002,0.998,-0.0019999574023067588,0.001,0.003,0.003,0.0033614641242710485,0.002,0.998,0.0013614641242710485,0.001,0.003,0.001,0.10138125585141546,0.009,0.991,0.09238125585141546,0.008,0.01,0.009,0.061424405251769426,0.0825,0.9175,-0.021075594748230578,0.06,0.105,0.09,0.6743865428952732,0.45,0.55,0.2243865428952732,0.42,0.48,0.48,0.14461396137303945,0.395,0.605,-0.25038603862696057,0.39,0.4,0.45,0.014301133574343601,0.0785,0.9215,-0.06419886642565639,0.065,0.092,0.093,0.000511995501210331,0.0035,0.9965,-0.002988004498789669,0.002,0.005,0.002,1.919883098430157e-05,0.0055,0.9945,-0.005480801169015698,0.003,0.008,0.002,0,0.0005,0.9995,-0.0005,,0.001,0.001,0,0.0015,0.9985,-0.0015,,0.003,0.001
20260607T012254-0400,2026-06-07T05:22:54.677854+00:00,2026-06-07T01:22:54.677854-04:00,highest-temperature-in-miami-on-june-7-2026,2026-06-07T05:14:34.852199Z,v0.5.0 HGBC feature-based ML model,86,0.4747728298263422,79.0,80.0,86.0,,86.0,86.3,,8.495381595908927e-07,0.002,0.998,-0.001999150461840409,0.001,0.003,0.003,0.006186613994815085,0.002,0.998,0.004186613994815085,0.001,0.003,0.001,0.10109379048416903,0.009,0.991,0.09209379048416903,0.008,0.01,0.009,0.061250237067864984,0.0735,0.9265,-0.012249762932135012,0.05,0.097,0.09,0.6724743277269825,0.44,0.56,0.23247432772698245,0.43,0.45,0.48,0.1442039101740684,0.395,0.605,-0.2507960898259316,0.39,0.4,0.45,0.014260582877072558,0.0795,0.9205,-0.06523941712292744,0.065,0.094,0.093,0.0005105437439446717,0.0035,0.9965,-0.0029894562560553286,0.002,0.005,0.002,1.9144392923209755e-05,0.0055,0.9945,-0.00548085560707679,0.003,0.008,0.002,0,0.0005,0.9995,-0.0005,,0.001,0.001,0,0.0015,0.9985,-0.0015,,0.003,0.001
20260607T013306-0400,2026-06-07T05:33:06.343518+00:00,2026-06-07T01:33:06.343518-04:00,highest-temperature-in-miami-on-june-7-2026,2026-06-07T05:32:37.904631Z,v0.5.0 HGBC feature-based ML model,86,0.4743702372036818,79.0,79.0,86.0,,86.0,86.3,,0.0008488177776013739,0.002,0.998,-0.0011511822223986262,0.001,0.003,0.003,0.006181367938181071,0.002,0.998,0.004181367938181071,0.001,0.003,0.001,0.1010080660878075,0.008,0.992,0.09300806608780751,0.007,0.009,0.009,0.06119829876804958,0.082,0.918,-0.020801701231950423,0.06,0.104,0.1,0.6719040903707917,0.455,0.545,0.21690409037079167,0.44,0.47,0.45,0.14408162973435557,0.4,0.6,-0.25591837026564446,0.39,0.41,0.42,0.014248490345443806,0.0785,0.9215,-0.0642515096545562,0.065,0.092,0.093,0.0005101108186971744,0.0035,0.9965,-0.0029898891813028255,0.002,0.005,0.002,1.9128159072256202e-05,0.005,0.995,-0.004980871840927744,0.003,0.007,0.002,0,0.0005,0.9995,-0.0005,,0.001,0.001,0,0.0015,0.9985,-0.0015,,0.003,0.001
