snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260608T000103-0400,2026-06-08T04:01:03.884591+00:00,2026-06-08T00:01:03.361967-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,17.0,17.0,0.0,10.0,60.0,,0.0,15.0,88.4,71.4,E-SE/onshore-ish,Partly cloudy
20260608T001120-0400,2026-06-08T04:11:20.211507+00:00,2026-06-08T00:11:19.830408-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,73.0,77.0,,0.0,10.0,88.4,7.400000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T002139-0400,2026-06-08T04:21:39.148051+00:00,2026-06-08T00:21:38.778809-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,73.0,81.0,,0.0,10.0,88.4,8.400000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T003155-0400,2026-06-08T04:31:55.478722+00:00,2026-06-08T00:31:55.154000-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,74.0,81.0,,0.0,8.0,88.4,8.400000000000006,E-SE/onshore-ish,Partly cloudy
20260608T004210-0400,2026-06-08T04:42:10.112261+00:00,2026-06-08T00:42:09.803409-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,74.0,81.0,,0.0,8.0,88.4,8.400000000000006,E-SE/onshore-ish,Partly cloudy
20260608T005223-0400,2026-06-08T04:52:23.651905+00:00,2026-06-08T00:52:23.338205-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,80.0,80.0,63.0,74.0,81.0,,0.0,8.0,88.1,8.099999999999994,E-SE/onshore-ish,Partly cloudy
20260608T010240-0400,2026-06-08T05:02:40.758734+00:00,2026-06-08T01:02:40.493607-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T011254-0400,2026-06-08T05:12:54.417200+00:00,2026-06-08T01:12:54.107130-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T012308-0400,2026-06-08T05:23:08.752888+00:00,2026-06-08T01:23:08.496968-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T013321-0400,2026-06-08T05:33:21.134276+00:00,2026-06-08T01:33:20.873006-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T014340-0400,2026-06-08T05:43:40.387340+00:00,2026-06-08T01:43:40.127354-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,87.2,6.200000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T015354-0400,2026-06-08T05:53:54.813430+00:00,2026-06-08T01:53:54.516981-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,87.2,6.200000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T020409-0400,2026-06-08T06:04:09.189435+00:00,2026-06-08T02:04:08.933625-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,87.2,6.200000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T021430-0400,2026-06-08T06:14:30.605197+00:00,2026-06-08T02:14:30.354932-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,87.2,6.200000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T022444-0400,2026-06-08T06:24:44.350654+00:00,2026-06-08T02:24:44.094342-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,87.2,6.200000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T023458-0400,2026-06-08T06:34:58.352270+00:00,2026-06-08T02:34:58.043175-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,87.2,6.200000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T024514-0400,2026-06-08T06:45:14.759581+00:00,2026-06-08T02:45:14.525363-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,74.0,79.0,30.0,0.0,9.0,87.2,6.200000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T025538-0400,2026-06-08T06:55:38.098143+00:00,2026-06-08T02:55:37.773620-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,75.0,82.0,29.99,0.0,7.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T030555-0400,2026-06-08T07:05:55.159374+00:00,2026-06-08T03:05:54.901879-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,75.0,82.0,29.99,0.0,7.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T031608-0400,2026-06-08T07:16:08.520167+00:00,2026-06-08T03:16:08.201862-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,75.0,82.0,29.99,0.0,7.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T032621-0400,2026-06-08T07:26:21.601127+00:00,2026-06-08T03:26:21.237199-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,75.0,82.0,29.99,0.0,7.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T033635-0400,2026-06-08T07:36:35.080509+00:00,2026-06-08T03:36:34.717806-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,75.0,82.0,29.99,0.0,7.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T034648-0400,2026-06-08T07:46:48.376054+00:00,2026-06-08T03:46:48.065215-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,75.0,82.0,29.99,0.0,7.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T035701-0400,2026-06-08T07:57:01.509383+00:00,2026-06-08T03:57:01.187998-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,75.0,82.0,29.99,0.0,7.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T040715-0400,2026-06-08T08:07:15.398613+00:00,2026-06-08T04:07:15.085123-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,75.0,82.0,29.99,0.0,7.0,88.1,7.099999999999994,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T041738-0400,2026-06-08T08:17:38.008596+00:00,2026-06-08T04:17:37.740826-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,75.0,82.0,29.99,0.0,7.0,86.7,5.700000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T042752-0400,2026-06-08T08:27:52.899918+00:00,2026-06-08T04:27:52.538304-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,81.0,64.0,75.0,82.0,29.99,0.0,7.0,86.7,5.700000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T043805-0400,2026-06-08T08:38:05.693413+00:00,2026-06-08T04:38:05.472573-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,75.0,85.0,29.99,0.0,7.0,86.7,5.700000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T044820-0400,2026-06-08T08:48:20.209466+00:00,2026-06-08T04:48:19.899294-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,75.0,85.0,29.99,0.0,7.0,88.0,7.0,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T045839-0400,2026-06-08T08:58:39.775636+00:00,2026-06-08T04:58:39.521978-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,75.0,85.0,29.99,0.0,7.0,88.0,7.0,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T050855-0400,2026-06-08T09:08:55.827043+00:00,2026-06-08T05:08:55.543762-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,75.0,85.0,29.99,0.0,7.0,88.0,7.0,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T051910-0400,2026-06-08T09:19:10.373611+00:00,2026-06-08T05:19:10.089040-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,75.0,85.0,29.99,0.0,7.0,88.0,7.0,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T052938-0400,2026-06-08T09:29:38.488569+00:00,2026-06-08T05:29:38.173287-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,75.0,85.0,29.99,0.0,7.0,88.0,7.0,E-SE/onshore-ish,Mostly cloudy/overcast
20260608T053952-0400,2026-06-08T09:39:52.689534+00:00,2026-06-08T05:39:52.316051-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,76.0,87.0,30.0,0.0,7.0,88.0,7.0,E-SE/onshore-ish,Partly cloudy
20260608T055018-0400,2026-06-08T09:50:18.133196+00:00,2026-06-08T05:50:17.818689-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,76.0,87.0,30.0,0.0,7.0,88.4,7.400000000000006,E-SE/onshore-ish,Partly cloudy
20260608T060044-0400,2026-06-08T10:00:44.734232+00:00,2026-06-08T06:00:44.448160-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,76.0,87.0,30.0,0.0,7.0,88.4,7.400000000000006,E-SE/onshore-ish,Partly cloudy
20260608T061059-0400,2026-06-08T10:10:59.543306+00:00,2026-06-08T06:10:59.303329-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,76.0,87.0,30.0,0.0,7.0,88.4,7.400000000000006,E-SE/onshore-ish,Partly cloudy
20260608T062120-0400,2026-06-08T10:21:20.251960+00:00,2026-06-08T06:21:19.921995-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,76.0,87.0,30.0,0.0,7.0,88.4,7.400000000000006,E-SE/onshore-ish,Partly cloudy
20260608T063141-0400,2026-06-08T10:31:41.701691+00:00,2026-06-08T06:31:41.368806-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,75.0,85.0,30.02,0.0,5.0,88.4,7.400000000000006,E-SE/onshore-ish,Partly cloudy
20260608T064156-0400,2026-06-08T10:41:56.025256+00:00,2026-06-08T06:41:55.695833-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,75.0,85.0,30.02,0.0,5.0,88.4,7.400000000000006,E-SE/onshore-ish,Partly cloudy
20260608T065211-0400,2026-06-08T10:52:11.497226+00:00,2026-06-08T06:52:11.206682-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,75.0,85.0,30.02,0.0,5.0,90.1,9.099999999999994,E-SE/onshore-ish,Partly cloudy
20260608T070224-0400,2026-06-08T11:02:24.551038+00:00,2026-06-08T07:02:24.308514-04:00,highest-temperature-in-miami-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,81.0,80.0,63.0,75.0,85.0,30.02,0.0,5.0,90.1,9.099999999999994,E-SE/onshore-ish,Partly cloudy
