snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,warming_rate_2h,hours_at_peak,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260609T000259-0400,2026-06-09T04:02:59.645740+00:00,2026-06-09T00:02:59.280773-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,17.0,17.0,0.0,0.0,0.0,10.0,60.0,,0.0,15.0,87.7,70.7,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T001312-0400,2026-06-09T04:13:12.570960+00:00,2026-06-09T00:13:12.389213-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,82.0,82.0,65.0,0.0,0.0,74.0,78.0,,0.0,8.0,87.7,5.700000000000003,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T002333-0400,2026-06-09T04:23:33.575100+00:00,2026-06-09T00:23:33.436312-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,0.0,74.0,79.0,,0.0,7.0,87.7,6.700000000000003,E-SE/onshore-ish,Partly cloudy
20260609T003346-0400,2026-06-09T04:33:46.362619+00:00,2026-06-09T00:33:46.232291-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,0.0,74.0,79.0,,0.0,7.0,87.7,6.700000000000003,E-SE/onshore-ish,Partly cloudy
20260609T004407-0400,2026-06-09T04:44:07.960851+00:00,2026-06-09T00:44:07.816870-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,0.0,74.0,79.0,,0.0,7.0,87.7,6.700000000000003,E-SE/onshore-ish,Partly cloudy
20260609T005420-0400,2026-06-09T04:54:20.683933+00:00,2026-06-09T00:54:20.510630-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,81.0,81.0,64.0,0.0,0.0,74.0,79.0,,0.0,7.0,87.5,6.5,E-SE/onshore-ish,Partly cloudy
20260609T010436-0400,2026-06-09T05:04:36.576823+00:00,2026-06-09T01:04:36.399997-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,82.0,81.0,64.0,0.0,6.116666666666666,74.0,79.0,30.1,0.0,,87.5,5.5,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T011449-0400,2026-06-09T05:14:49.957823+00:00,2026-06-09T01:14:49.786854-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,82.0,81.0,64.0,0.0,6.116666666666666,74.0,79.0,30.1,0.0,,87.5,5.5,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T012502-0400,2026-06-09T05:25:02.638055+00:00,2026-06-09T01:25:02.509777-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,82.0,81.0,64.0,0.0,6.116666666666666,74.0,80.0,30.1,0.0,,87.5,5.5,E-SE/onshore-ish,Partly cloudy
20260609T013518-0400,2026-06-09T05:35:18.613002+00:00,2026-06-09T01:35:18.472011-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,82.0,81.0,64.0,0.0,6.116666666666666,74.0,80.0,30.1,0.0,,87.5,5.5,E-SE/onshore-ish,Partly cloudy
20260609T014531-0400,2026-06-09T05:45:31.391276+00:00,2026-06-09T01:45:31.201897-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,82.0,81.0,64.0,0.0,6.116666666666666,74.0,80.0,30.1,0.0,,87.5,5.5,E-SE/onshore-ish,Partly cloudy
20260609T015550-0400,2026-06-09T05:55:50.226190+00:00,2026-06-09T01:55:50.093845-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,82.0,81.0,64.0,0.0,6.116666666666666,74.0,80.0,30.1,0.0,,88.3,6.299999999999997,E-SE/onshore-ish,Partly cloudy
20260609T020605-0400,2026-06-09T06:06:05.866803+00:00,2026-06-09T02:06:05.711518-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,82.0,81.0,64.0,0.0,6.116666666666666,74.0,80.0,30.1,0.0,,88.3,6.299999999999997,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T021618-0400,2026-06-09T06:16:18.625202+00:00,2026-06-09T02:16:18.475509-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,82.0,81.0,64.0,0.0,6.116666666666666,74.0,80.0,30.1,0.0,,88.3,6.299999999999997,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T083452-0400,2026-06-09T12:34:52.495036+00:00,2026-06-09T08:34:52.310461-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,82.0,82.0,2.0,3.0,7.116666666666666,75.0,81.0,30.08,0.029999999999997584,,89.4,7.400000000000006,N-NE,Partly cloudy
20260609T084513-0400,2026-06-09T12:45:13.906335+00:00,2026-06-09T08:45:13.779751-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,82.0,82.0,2.0,3.0,7.116666666666666,75.0,80.0,30.08,0.029999999999997584,,89.4,7.400000000000006,N-NE,Partly cloudy
20260609T085550-0400,2026-06-09T12:55:50.981436+00:00,2026-06-09T08:55:50.781424-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,83.0,83.0,3.0,4.0,0.0,75.0,78.0,30.08,0.029999999999997584,,89.4,6.400000000000006,E-SE/onshore-ish,Partly cloudy
20260609T090608-0400,2026-06-09T13:06:08.886046+00:00,2026-06-09T09:06:08.696916-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,8,84.0,84.0,4.0,5.0,0.0,76.0,77.0,30.08,0.029999999999997584,,89.4,5.400000000000006,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T091628-0400,2026-06-09T13:16:28.490933+00:00,2026-06-09T09:16:28.357494-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,9,84.0,84.0,4.0,4.0,0.11666666666666667,75.0,76.0,30.09,0.019999999999999574,,89.8,5.799999999999997,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T092641-0400,2026-06-09T13:26:41.329520+00:00,2026-06-09T09:26:41.190552-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,9,84.0,84.0,4.0,4.0,0.11666666666666667,75.0,76.0,30.09,0.019999999999999574,,89.8,5.799999999999997,E-SE/onshore-ish,Mostly cloudy/overcast
20260609T093654-0400,2026-06-09T13:36:54.171914+00:00,2026-06-09T09:36:54.047048-04:00,highest-temperature-in-miami-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,9,84.0,84.0,4.0,4.0,0.11666666666666667,75.0,76.0,30.09,0.019999999999999574,,89.8,5.799999999999997,E-SE/onshore-ish,Mostly cloudy/overcast
