snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260605T000757-0400,2026-06-05T04:07:57.847360+00:00,2026-06-05T00:07:57.421105-04:00,highest-temperature-in-nyc-on-june-5-2026,2026-06-05,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,17.0,17.0,0.0,10.0,60.0,,0.0,15.0,33.5,16.5,S-SW,Partly cloudy
20260605T001759-0400,2026-06-05T04:17:59.936398+00:00,2026-06-05T00:17:59.756118-04:00,highest-temperature-in-nyc-on-june-5-2026,2026-06-05,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,22.0,22.0,5.0,13.0,57.0,,0.0,8.0,33.5,11.5,S-SW,Partly cloudy
20260605T002802-0400,2026-06-05T04:28:02.105278+00:00,2026-06-05T00:28:01.891650-04:00,highest-temperature-in-nyc-on-june-5-2026,2026-06-05,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,22.0,22.0,5.0,13.0,58.0,,0.0,8.0,33.5,11.5,S-SW,Partly cloudy
20260605T003804-0400,2026-06-05T04:38:04.277924+00:00,2026-06-05T00:38:04.100142-04:00,highest-temperature-in-nyc-on-june-5-2026,2026-06-05,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,22.0,22.0,5.0,13.0,58.0,,0.0,6.0,33.5,11.5,S-SW,Partly cloudy
20260605T004806-0400,2026-06-05T04:48:06.484497+00:00,2026-06-05T00:48:06.301530-04:00,highest-temperature-in-nyc-on-june-5-2026,2026-06-05,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,22.0,22.0,5.0,13.0,58.0,,0.0,6.0,33.8,11.799999999999997,S-SW,Partly cloudy
20260605T005808-0400,2026-06-05T04:58:08.709726+00:00,2026-06-05T00:58:08.507310-04:00,highest-temperature-in-nyc-on-june-5-2026,2026-06-05,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,23.0,23.0,6.0,13.0,52.0,1015.53,0.0,0.0,33.8,10.799999999999997,Other/variable,Partly cloudy
20260605T010810-0400,2026-06-05T05:08:10.902407+00:00,2026-06-05T01:08:10.691725-04:00,highest-temperature-in-nyc-on-june-5-2026,2026-06-05,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,23.0,23.0,6.0,13.0,52.0,1015.53,0.0,0.0,33.8,10.799999999999997,Other/variable,Partly cloudy
20260605T011812-0400,2026-06-05T05:18:12.893860+00:00,2026-06-05T01:18:12.733647-04:00,highest-temperature-in-nyc-on-june-5-2026,2026-06-05,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,23.0,23.0,6.0,13.0,52.0,1015.53,0.0,0.0,33.8,10.799999999999997,Other/variable,Partly cloudy
20260605T012815-0400,2026-06-05T05:28:15.040103+00:00,2026-06-05T01:28:14.855974-04:00,highest-temperature-in-nyc-on-june-5-2026,2026-06-05,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,23.0,23.0,6.0,13.0,52.0,1015.53,0.0,0.0,33.8,10.799999999999997,Other/variable,Partly cloudy
20260605T013817-0400,2026-06-05T05:38:17.169452+00:00,2026-06-05T01:38:16.996355-04:00,highest-temperature-in-nyc-on-june-5-2026,2026-06-05,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,23.0,23.0,6.0,13.0,52.0,1015.53,0.0,0.0,33.8,10.799999999999997,Other/variable,Partly cloudy
