snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,warming_rate_2h,hours_at_peak,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260609T000250-0400,2026-06-09T04:02:50.801169+00:00,2026-06-09T00:02:50.218285-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,17.0,17.0,0.0,0.0,0.0,10.0,60.0,,0.0,15.0,78.3,61.3,S-SW,Fair/clear
20260609T001304-0400,2026-06-09T04:13:04.185428+00:00,2026-06-09T00:13:03.788614-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,67.0,67.0,50.0,0.0,0.0,45.0,45.0,,0.0,9.0,78.3,11.299999999999997,S-SW,Fair/clear
20260609T002325-0400,2026-06-09T04:23:25.313702+00:00,2026-06-09T00:23:24.978332-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,66.0,66.0,49.0,0.0,0.0,44.0,45.0,,0.0,9.0,78.3,12.299999999999997,S-SW,Fair/clear
20260609T003338-0400,2026-06-09T04:33:38.155843+00:00,2026-06-09T00:33:37.797647-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,66.0,66.0,49.0,0.0,0.0,44.0,45.0,,0.0,9.0,78.3,12.299999999999997,S-SW,Fair/clear
20260609T004353-0400,2026-06-09T04:43:53.308628+00:00,2026-06-09T00:43:52.945260-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,66.0,66.0,49.0,0.0,0.0,44.0,45.0,,0.0,9.0,78.3,12.299999999999997,S-SW,Fair/clear
20260609T005412-0400,2026-06-09T04:54:12.533875+00:00,2026-06-09T00:54:12.221306-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,66.0,66.0,49.0,0.0,0.0,44.0,45.0,,0.0,9.0,79.6,13.599999999999994,S-SW,Fair/clear
20260609T010425-0400,2026-06-09T05:04:25.161764+00:00,2026-06-09T01:04:24.813768-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,67.0,66.0,49.0,0.0,6.15,43.0,43.0,30.25,0.0,,79.6,12.599999999999994,S-SW,Fair/clear
20260609T011441-0400,2026-06-09T05:14:41.008092+00:00,2026-06-09T01:14:40.684545-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,67.0,66.0,49.0,0.0,6.15,43.0,43.0,30.25,0.0,,79.6,12.599999999999994,S-SW,Fair/clear
20260609T012454-0400,2026-06-09T05:24:54.416919+00:00,2026-06-09T01:24:54.076671-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,67.0,66.0,49.0,0.0,6.15,42.0,43.0,30.25,0.0,,79.6,12.599999999999994,S-SW,Fair/clear
20260609T013508-0400,2026-06-09T05:35:08.704346+00:00,2026-06-09T01:35:08.324773-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,67.0,66.0,49.0,0.0,6.15,42.0,43.0,30.25,0.0,,79.6,12.599999999999994,S-SW,Fair/clear
20260609T014523-0400,2026-06-09T05:45:23.091265+00:00,2026-06-09T01:45:22.789732-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,67.0,65.0,48.0,0.0,6.15,42.0,43.0,30.25,0.0,,79.6,12.599999999999994,S-SW,Fair/clear
20260609T015538-0400,2026-06-09T05:55:38.433469+00:00,2026-06-09T01:55:38.083487-04:00,highest-temperature-in-nyc-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,67.0,65.0,48.0,0.0,6.15,43.0,45.0,30.25,0.0,,80.3,13.299999999999997,S-SW,Fair/clear
