snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,warming_rate_2h,hours_at_peak,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T06:37:44.465614-07:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,55.0,38.0,1.0,6.066666666666666,49.0,80.0,29.92,0.0,8.0,75.85,20.849999999999994,W-NW,Fair/clear
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T06:48:00.131697-07:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,55.0,38.0,1.0,6.066666666666666,49.0,80.0,29.92,0.0,8.0,75.85,20.849999999999994,W-NW,Fair/clear
20260610T095812-0400,2026-06-10T13:58:12.010802+00:00,2026-06-10T06:58:11.889569-07:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,55.0,38.0,1.0,6.066666666666666,49.0,80.0,29.92,0.0,8.0,75.85,20.849999999999994,W-NW,Fair/clear
20260610T100833-0400,2026-06-10T14:08:33.603737+00:00,2026-06-10T07:08:33.454218-07:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,55.0,38.0,1.0,6.066666666666666,49.0,80.0,29.92,0.0,8.0,75.95,20.950000000000003,W-NW,Fair/clear
20260610T101848-0400,2026-06-10T14:18:48.195719+00:00,2026-06-10T07:18:48.044214-07:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,55.0,38.0,1.0,6.066666666666666,49.0,80.0,29.92,0.0,8.0,75.95,20.950000000000003,W-NW,Fair/clear
20260610T102859-0400,2026-06-10T14:28:59.090232+00:00,2026-06-10T07:28:58.946688-07:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,57.0,57.0,0.0,3.0,0.06666666666666667,50.0,77.0,29.94,0.019999999999999574,5.0,75.95,18.950000000000003,W-NW,Fair/clear
20260610T103910-0400,2026-06-10T14:39:10.451630+00:00,2026-06-10T07:39:10.319006-07:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,57.0,57.0,0.0,3.0,0.06666666666666667,50.0,77.0,29.94,0.019999999999999574,5.0,75.95,18.950000000000003,W-NW,Fair/clear
20260610T104929-0400,2026-06-10T14:49:29.598878+00:00,2026-06-10T07:49:29.485447-07:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,57.0,57.0,0.0,3.0,0.06666666666666667,50.0,77.0,29.94,0.019999999999999574,5.0,76.6,19.599999999999994,W-NW,Fair/clear
20260610T105940-0400,2026-06-10T14:59:40.412631+00:00,2026-06-10T07:59:40.251897-07:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,57.0,57.0,0.0,3.0,0.06666666666666667,50.0,77.0,29.94,0.019999999999999574,5.0,76.6,19.599999999999994,W-NW,Fair/clear
20260610T111008-0400,2026-06-10T15:10:08.695254+00:00,2026-06-10T08:10:08.534835-07:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,8,57.0,57.0,0.0,2.0,1.0666666666666667,50.0,77.0,29.94,0.030000000000001137,5.0,76.6,19.599999999999994,W-NW,Fair/clear
