snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260608T030556-0400,2026-06-08T07:05:56.350931+00:00,2026-06-08T00:05:55.918181-07:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,17.0,17.0,0.0,10.0,60.0,,0.0,15.0,64.1,47.099999999999994,W-NW,Partly cloudy
20260608T031609-0400,2026-06-08T07:16:09.503807+00:00,2026-06-08T00:16:09.274125-07:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,53.0,53.0,36.0,47.0,81.0,,0.0,15.0,64.1,11.099999999999994,W-NW,Partly cloudy
20260608T032622-0400,2026-06-08T07:26:22.800207+00:00,2026-06-08T00:26:22.356061-07:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,53.0,53.0,36.0,47.0,81.0,,0.0,14.0,64.1,11.099999999999994,W-NW,Partly cloudy
20260608T033636-0400,2026-06-08T07:36:36.096990+00:00,2026-06-08T00:36:35.846820-07:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,53.0,53.0,36.0,47.0,81.0,,0.0,14.0,64.1,11.099999999999994,W-NW,Partly cloudy
20260608T034649-0400,2026-06-08T07:46:49.480366+00:00,2026-06-08T00:46:49.136039-07:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,53.0,53.0,36.0,47.0,81.0,,0.0,13.0,64.1,11.099999999999994,W-NW,Partly cloudy
20260608T035702-0400,2026-06-08T07:57:02.674051+00:00,2026-06-08T00:57:02.275613-07:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,53.0,53.0,36.0,47.0,81.0,,0.0,13.0,64.1,11.099999999999994,W-NW,Partly cloudy
20260608T040717-0400,2026-06-08T08:07:17.813141+00:00,2026-06-08T01:07:17.502251-07:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,53.0,53.0,36.0,47.0,80.0,29.86,0.0,14.0,64.1,11.099999999999994,W-NW,Mostly cloudy/overcast
20260608T041740-0400,2026-06-08T08:17:40.010997+00:00,2026-06-08T01:17:39.727947-07:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,53.0,53.0,36.0,47.0,80.0,29.86,0.0,14.0,65.6,12.599999999999994,W-NW,Mostly cloudy/overcast
20260608T042753-0400,2026-06-08T08:27:53.882601+00:00,2026-06-08T01:27:53.650298-07:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,53.0,53.0,36.0,47.0,80.0,29.86,0.0,14.0,65.6,12.599999999999994,W-NW,Mostly cloudy/overcast
20260608T043806-0400,2026-06-08T08:38:06.711337+00:00,2026-06-08T01:38:06.424105-07:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,53.0,53.0,36.0,47.0,80.0,29.86,0.0,14.0,65.6,12.599999999999994,W-NW,Mostly cloudy/overcast
