snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_55c,market_yes_lte_55c,market_no_lte_55c,edge_lte_55c,best_bid_lte_55c,best_ask_lte_55c,last_lte_55c,model_eq_56c,market_yes_eq_56c,market_no_eq_56c,edge_eq_56c,best_bid_eq_56c,best_ask_eq_56c,last_eq_56c,model_eq_58c,market_yes_eq_58c,market_no_eq_58c,edge_eq_58c,best_bid_eq_58c,best_ask_eq_58c,last_eq_58c,model_eq_60c,market_yes_eq_60c,market_no_eq_60c,edge_eq_60c,best_bid_eq_60c,best_ask_eq_60c,last_eq_60c,model_eq_62c,market_yes_eq_62c,market_no_eq_62c,edge_eq_62c,best_bid_eq_62c,best_ask_eq_62c,last_eq_62c,model_eq_64c,market_yes_eq_64c,market_no_eq_64c,edge_eq_64c,best_bid_eq_64c,best_ask_eq_64c,last_eq_64c,model_eq_66c,market_yes_eq_66c,market_no_eq_66c,edge_eq_66c,best_bid_eq_66c,best_ask_eq_66c,last_eq_66c,model_eq_68c,market_yes_eq_68c,market_no_eq_68c,edge_eq_68c,best_bid_eq_68c,best_ask_eq_68c,last_eq_68c,model_eq_70c,market_yes_eq_70c,market_no_eq_70c,edge_eq_70c,best_bid_eq_70c,best_ask_eq_70c,last_eq_70c,model_eq_72c,market_yes_eq_72c,market_no_eq_72c,edge_eq_72c,best_bid_eq_72c,best_ask_eq_72c,last_eq_72c,model_gte_74c,market_yes_gte_74c,market_no_gte_74c,edge_gte_74c,best_bid_gte_74c,best_ask_gte_74c,last_gte_74c
20260608T030556-0400,2026-06-08T07:05:56.350931+00:00,2026-06-08T03:05:56.350931-04:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08T07:02:11.510209Z,v0.5.0 HGBC feature-based ML model,64,0.4105204670839343,,,,,62.0,62.7,,0.000466904815329984,0.0005,0.9995,-3.309518467001601e-05,,0.001,,0.0011744555665339086,0.0015,0.9985,-0.00032554443346609146,0.001,0.002,0.003,0.02291646062982493,0.0015,0.9985,0.02141646062982493,0.001,0.002,0.01,0.05419396747208839,0.018,0.982,0.03619396747208839,0.013,0.023,0.011,0.32232632646007003,0.185,0.815,0.13732632646007004,0.17,0.2,0.14,0.49852911627877394,0.375,0.625,0.12352911627877394,0.37,0.38,0.35,0.09021710373650234,0.32,0.68,-0.22978289626349768,0.3,0.34,0.37,0.009707601104239122,0.095,0.905,-0.08529239889576087,0.09,0.1,0.14,0.00044066413600925443,0.0045,0.9955,-0.004059335863990745,0.003,0.006,0.01,2.6715372459688845e-05,0.0015,0.9985,-0.0014732846275403112,0.001,0.002,0.005,6.84428168473486e-07,0.002,0.998,-0.0019993155718315263,0.001,0.003,0.003
20260608T031609-0400,2026-06-08T07:16:09.503807+00:00,2026-06-08T03:16:09.503807-04:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08T07:10:03.852261Z,v0.5.0 HGBC feature-based ML model,64,0.3852119010471813,,53.0,68.0,,62.0,62.7,,0.000636402408827112,0.0005,0.9995,0.00013640240882711202,,0.001,,0.0016004985901863448,0.0015,0.9985,0.00010049859018634475,0.001,0.002,0.003,0.03121382819385727,0.0015,0.9985,0.029713828193857268,0.001,0.002,0.01,0.06110330101212641,0.015,0.985,0.04610330101212641,0.011,0.019,0.011,0.1760488015535685,0.145,0.855,0.03104880155356851,0.11,0.18,0.14,0.4855510610095479,0.385,0.615,0.10055106100954792,0.37,0.4,0.42,0.22506220766727422,0.31,0.69,-0.08493779233272578,0.3,0.32,0.37,0.017945937480510526,0.085,0.915,-0.06705406251948948,0.07,0.1,0.14,0.0008139550925612695,0.0045,0.9955,-0.0036860449074387304,0.003,0.006,0.01,2.2842671726731665e-05,0.0015,0.9985,-0.0014771573282732684,0.001,0.002,0.005,1.1643198139142605e-06,0.002,0.998,-0.001998835680186086,0.001,0.003,0.003
20260608T032622-0400,2026-06-08T07:26:22.800207+00:00,2026-06-08T03:26:22.800207-04:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08T07:19:28.643887Z,v0.5.0 HGBC feature-based ML model,64,0.3852119010471813,,53.0,68.0,,62.0,62.7,,0.000636402408827112,0.0005,0.9995,0.00013640240882711202,,0.001,,0.0016004985901863448,0.0015,0.9985,0.00010049859018634475,0.001,0.002,0.003,0.03121382819385727,0.0015,0.9985,0.029713828193857268,0.001,0.002,0.01,0.06110330101212641,0.0145,0.9855,0.04660330101212641,0.01,0.019,0.011,0.1760488015535685,0.135,0.865,0.04104880155356849,0.11,0.16,0.14,0.4855510610095479,0.41,0.59,0.07555106100954795,0.39,0.43,0.43,0.22506220766727422,0.305,0.695,-0.07993779233272577,0.29,0.32,0.37,0.017945937480510526,0.065,0.935,-0.04705406251948947,0.06,0.07,0.14,0.0008139550925612695,0.0025,0.9975,-0.0016860449074387305,0.002,0.003,0.01,2.2842671726731665e-05,0.0015,0.9985,-0.0014771573282732684,0.001,0.002,0.005,1.1643198139142605e-06,0.002,0.998,-0.001998835680186086,0.001,0.003,0.003
20260608T033636-0400,2026-06-08T07:36:36.096990+00:00,2026-06-08T03:36:36.096990-04:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08T07:28:48.728166Z,v0.5.0 HGBC feature-based ML model,64,0.3852119010471813,,53.0,68.0,,62.0,62.7,,0.000636402408827112,0.0005,0.9995,0.00013640240882711202,,0.001,,0.0016004985901863448,0.0015,0.9985,0.00010049859018634475,0.001,0.002,0.003,0.03121382819385727,0.0015,0.9985,0.029713828193857268,0.001,0.002,0.01,0.06110330101212641,0.0145,0.9855,0.04660330101212641,0.01,0.019,0.011,0.1760488015535685,0.18,0.82,-0.003951198446431492,0.13,0.23,0.14,0.4855510610095479,0.375,0.625,0.11055106100954792,0.33,0.42,0.37,0.22506220766727422,0.285,0.715,-0.05993779233272575,0.27,0.3,0.37,0.017945937480510526,0.045,0.955,-0.027054062519489473,0.03,0.06,0.14,0.0008139550925612695,0.0025,0.9975,-0.0016860449074387305,0.002,0.003,0.01,2.2842671726731665e-05,0.0015,0.9985,-0.0014771573282732684,0.001,0.002,0.005,1.1643198139142605e-06,0.002,0.998,-0.001998835680186086,0.001,0.003,0.003
20260608T034649-0400,2026-06-08T07:46:49.480366+00:00,2026-06-08T03:46:49.480366-04:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08T07:37:34.958297Z,v0.5.0 HGBC feature-based ML model,64,0.3852119010471813,,53.0,68.0,,62.0,62.7,,0.000636402408827112,0.0005,0.9995,0.00013640240882711202,,0.001,,0.0016004985901863448,0.0015,0.9985,0.00010049859018634475,0.001,0.002,0.003,0.03121382819385727,0.0015,0.9985,0.029713828193857268,0.001,0.002,0.01,0.06110330101212641,0.0135,0.9865,0.04760330101212641,0.01,0.017,0.011,0.1760488015535685,0.175,0.825,0.0010488015535685125,0.15,0.2,0.14,0.4855510610095479,0.4,0.6,0.0855510610095479,0.38,0.42,0.37,0.22506220766727422,0.285,0.715,-0.05993779233272575,0.27,0.3,0.37,0.017945937480510526,0.045,0.955,-0.027054062519489473,0.03,0.06,0.14,0.0008139550925612695,0.0025,0.9975,-0.0016860449074387305,0.002,0.003,0.01,2.2842671726731665e-05,0.0015,0.9985,-0.0014771573282732684,0.001,0.002,0.005,1.1643198139142605e-06,0.002,0.998,-0.001998835680186086,0.001,0.003,0.003
20260608T035702-0400,2026-06-08T07:57:02.674051+00:00,2026-06-08T03:57:02.674051-04:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08T07:52:54.065929Z,v0.5.0 HGBC feature-based ML model,64,0.3852119010471813,,53.0,68.0,,62.0,62.7,,0.000636402408827112,0.0005,0.9995,0.00013640240882711202,,0.001,,0.0016004985901863448,0.0015,0.9985,0.00010049859018634475,0.001,0.002,0.003,0.03121382819385727,0.0015,0.9985,0.029713828193857268,0.001,0.002,0.01,0.06110330101212641,0.0135,0.9865,0.04760330101212641,0.01,0.017,0.017,0.1760488015535685,0.17,0.83,0.006048801553568489,0.14,0.2,0.18,0.4855510610095479,0.385,0.615,0.10055106100954792,0.35,0.42,0.41,0.22506220766727422,0.295,0.705,-0.06993779233272576,0.28,0.31,0.3,0.017945937480510526,0.05,0.95,-0.032054062519489473,0.03,0.07,0.06,0.0008139550925612695,0.0025,0.9975,-0.0016860449074387305,0.002,0.003,0.003,2.2842671726731665e-05,0.0015,0.9985,-0.0014771573282732684,0.001,0.002,0.002,1.1643198139142605e-06,0.002,0.998,-0.001998835680186086,0.001,0.003,0.003
20260608T040717-0400,2026-06-08T08:07:17.813141+00:00,2026-06-08T04:07:17.813141-04:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08T07:57:08.697375Z,v0.5.0 HGBC feature-based ML model,64,0.32632706221956076,53.0,52.0,68.0,,63.0,63.5,,0.00022814024719907414,0.0005,0.9995,-0.00027185975280092587,,0.001,,0.0003806475918705036,0.0015,0.9985,-0.0011193524081294965,0.001,0.002,0.002,0.01018500750572449,0.0015,0.9985,0.00868500750572449,0.001,0.002,0.002,0.026423590501572797,0.013,0.987,0.013423590501572798,0.01,0.016,0.016,0.07613077139025527,0.175,0.825,-0.09886922860974472,0.14,0.21,0.18,0.48129419108169236,0.365,0.635,0.11629419108169237,0.34,0.39,0.39,0.3781028610146651,0.29,0.71,0.08810286101466513,0.27,0.31,0.3,0.026076817177601557,0.055,0.945,-0.028923182822398443,0.04,0.07,0.06,0.0011444391975438493,0.0025,0.9975,-0.0013555608024561508,0.002,0.003,0.003,3.19065379366044e-05,0.0015,0.9985,-0.0014680934620633955,0.001,0.002,0.002,1.6277539383804242e-06,0.002,0.998,-0.0019983722460616194,0.001,0.003,0.003
20260608T041740-0400,2026-06-08T08:17:40.010997+00:00,2026-06-08T04:17:40.010997-04:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08T08:06:26.378158Z,v0.5.0 HGBC feature-based ML model,66,0.37716382145441835,53.0,52.0,68.0,,63.0,65.6,,0.0003089417845777263,0.0005,0.9995,-0.0001910582154222737,,0.001,,0.00024158650870723802,0.0015,0.9985,-0.001258413491292762,0.001,0.002,0.002,0.0027832600973525363,0.0015,0.9985,0.0012832600973525362,0.001,0.002,0.002,0.010271651591651505,0.013,0.987,-0.002728348408348494,0.01,0.016,0.016,0.02981146751867414,0.175,0.825,-0.14518853248132585,0.14,0.21,0.18,0.17080804862506987,0.365,0.635,-0.19419195137493012,0.34,0.39,0.39,0.6627965159785237,0.285,0.715,0.37779651597852376,0.27,0.3,0.3,0.11727981376735296,0.05,0.95,0.06727981376735295,0.03,0.07,0.06,0.0054110857372441125,0.0025,0.9975,0.0029110857372441124,0.002,0.003,0.003,0.00028013940984446186,0.0015,0.9985,-0.0012198605901555383,0.001,0.002,0.002,7.4889810017816215e-06,0.002,0.998,-0.0019925110189982186,0.001,0.003,0.003
20260608T042753-0400,2026-06-08T08:27:53.882601+00:00,2026-06-08T04:27:53.882601-04:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08T08:16:32.87026Z,v0.5.0 HGBC feature-based ML model,66,0.37716382145441835,53.0,52.0,68.0,,63.0,65.6,,0.0003089417845777263,0.0005,0.9995,-0.0001910582154222737,,0.001,,0.00024158650870723802,0.0015,0.9985,-0.001258413491292762,0.001,0.002,0.002,0.0027832600973525363,0.0015,0.9985,0.0012832600973525362,0.001,0.002,0.002,0.010271651591651505,0.0165,0.9835,-0.0062283484083484955,0.016,0.017,0.016,0.02981146751867414,0.185,0.815,-0.15518853248132586,0.15,0.22,0.2,0.17080804862506987,0.38,0.62,-0.20919195137493013,0.35,0.41,0.39,0.6627965159785237,0.285,0.715,0.37779651597852376,0.27,0.3,0.3,0.11727981376735296,0.05,0.95,0.06727981376735295,0.03,0.07,0.07,0.0054110857372441125,0.0025,0.9975,0.0029110857372441124,0.002,0.003,0.003,0.00028013940984446186,0.0015,0.9985,-0.0012198605901555383,0.001,0.002,0.002,7.4889810017816215e-06,0.002,0.998,-0.0019925110189982186,0.001,0.003,0.003
20260608T043806-0400,2026-06-08T08:38:06.711337+00:00,2026-06-08T04:38:06.711337-04:00,highest-temperature-in-san-francisco-on-june-8-2026,2026-06-08T08:26:15.70779Z,v0.5.0 HGBC feature-based ML model,66,0.37716382145441835,53.0,52.0,68.0,,63.0,65.6,,0.0003089417845777263,0.0005,0.9995,-0.0001910582154222737,,0.001,,0.00024158650870723802,0.0015,0.9985,-0.001258413491292762,0.001,0.002,0.002,0.0027832600973525363,0.0065,0.9935,-0.0037167399026474634,0.001,0.012,0.002,0.010271651591651505,0.0165,0.9835,-0.0062283484083484955,0.016,0.017,0.016,0.02981146751867414,0.215,0.785,-0.18518853248132586,0.2,0.23,0.21,0.17080804862506987,0.38,0.62,-0.20919195137493013,0.34,0.42,0.41,0.6627965159785237,0.29,0.71,0.37279651597852376,0.28,0.3,0.31,0.11727981376735296,0.05,0.95,0.06727981376735295,0.03,0.07,0.07,0.0054110857372441125,0.0025,0.9975,0.0029110857372441124,0.002,0.003,0.003,0.00028013940984446186,0.0015,0.9985,-0.0012198605901555383,0.001,0.002,0.002,7.4889810017816215e-06,0.002,0.998,-0.0019925110189982186,0.001,0.003,0.003
