snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260608T030557-0400,2026-06-08T07:05:57.439067+00:00,2026-06-08T00:05:57.058265-07:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,55.0,55.0,38.0,41.0,59.0,,0.0,8.0,61.6,6.600000000000001,E-SE/onshore-ish,Partly cloudy
20260608T031610-0400,2026-06-08T07:16:10.521821+00:00,2026-06-08T00:16:10.253961-07:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,55.0,55.0,38.0,41.0,60.0,,0.0,8.0,61.6,6.600000000000001,E-SE/onshore-ish,Partly cloudy
20260608T032623-0400,2026-06-08T07:26:23.850679+00:00,2026-06-08T00:26:23.538683-07:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,55.0,55.0,38.0,41.0,61.0,,0.0,8.0,61.6,6.600000000000001,E-SE/onshore-ish,Partly cloudy
20260608T033637-0400,2026-06-08T07:36:37.073564+00:00,2026-06-08T00:36:36.834744-07:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,54.0,54.0,37.0,41.0,62.0,,0.0,8.0,61.6,7.600000000000001,E-SE/onshore-ish,Partly cloudy
20260608T034650-0400,2026-06-08T07:46:50.508014+00:00,2026-06-08T00:46:50.231815-07:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,54.0,54.0,37.0,41.0,62.0,,0.0,8.0,61.6,7.600000000000001,E-SE/onshore-ish,Partly cloudy
20260608T035704-0400,2026-06-08T07:57:04.413677+00:00,2026-06-08T00:57:04.091358-07:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,54.0,54.0,37.0,42.0,64.0,29.42,0.0,9.0,61.6,7.600000000000001,E-SE/onshore-ish,Partly cloudy
20260608T040719-0400,2026-06-08T08:07:19.005007+00:00,2026-06-08T01:07:18.567818-07:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,54.0,54.0,37.0,42.0,64.0,29.42,0.0,9.0,61.6,7.600000000000001,E-SE/onshore-ish,Partly cloudy
20260608T041741-0400,2026-06-08T08:17:41.867623+00:00,2026-06-08T01:17:41.525700-07:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,54.0,54.0,37.0,42.0,64.0,29.42,0.0,9.0,62.4,8.399999999999999,E-SE/onshore-ish,Partly cloudy
20260608T042754-0400,2026-06-08T08:27:54.915345+00:00,2026-06-08T01:27:54.626317-07:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,54.0,54.0,37.0,42.0,64.0,29.42,0.0,9.0,62.4,8.399999999999999,E-SE/onshore-ish,Partly cloudy
20260608T043807-0400,2026-06-08T08:38:07.666719+00:00,2026-06-08T01:38:07.445768-07:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,54.0,54.0,37.0,42.0,64.0,29.42,0.0,9.0,62.4,8.399999999999999,E-SE/onshore-ish,Partly cloudy
