snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_51c,market_yes_lte_51c,market_no_lte_51c,edge_lte_51c,best_bid_lte_51c,best_ask_lte_51c,last_lte_51c,model_eq_52c,market_yes_eq_52c,market_no_eq_52c,edge_eq_52c,best_bid_eq_52c,best_ask_eq_52c,last_eq_52c,model_eq_54c,market_yes_eq_54c,market_no_eq_54c,edge_eq_54c,best_bid_eq_54c,best_ask_eq_54c,last_eq_54c,model_eq_56c,market_yes_eq_56c,market_no_eq_56c,edge_eq_56c,best_bid_eq_56c,best_ask_eq_56c,last_eq_56c,model_eq_58c,market_yes_eq_58c,market_no_eq_58c,edge_eq_58c,best_bid_eq_58c,best_ask_eq_58c,last_eq_58c,model_eq_60c,market_yes_eq_60c,market_no_eq_60c,edge_eq_60c,best_bid_eq_60c,best_ask_eq_60c,last_eq_60c,model_eq_62c,market_yes_eq_62c,market_no_eq_62c,edge_eq_62c,best_bid_eq_62c,best_ask_eq_62c,last_eq_62c,model_eq_64c,market_yes_eq_64c,market_no_eq_64c,edge_eq_64c,best_bid_eq_64c,best_ask_eq_64c,last_eq_64c,model_eq_66c,market_yes_eq_66c,market_no_eq_66c,edge_eq_66c,best_bid_eq_66c,best_ask_eq_66c,last_eq_66c,model_eq_68c,market_yes_eq_68c,market_no_eq_68c,edge_eq_68c,best_bid_eq_68c,best_ask_eq_68c,last_eq_68c,model_gte_70c,market_yes_gte_70c,market_no_gte_70c,edge_gte_70c,best_bid_gte_70c,best_ask_gte_70c,last_gte_70c
20260608T030557-0400,2026-06-08T07:05:57.439067+00:00,2026-06-08T03:05:57.439067-04:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08T07:03:54.206048Z,v0.5.0 HGBC feature-based ML model,63,0.3120672735915384,,55.0,64.0,,58.0,61.6,,2.7504307806256918e-12,0.0005,0.9995,-0.0004999999972495693,,0.001,0.002,3.0421715770685807e-09,0.0005,0.9995,-0.000499996957828423,,0.001,0.002,1.036449488747622e-06,0.015,0.985,-0.014998963550511252,0.01,0.02,0.03,0.0267176140681806,0.06,0.94,-0.0332823859318194,0.05,0.07,0.06,0.11625427110611214,0.215,0.785,-0.09874572889388786,0.18,0.25,0.19,0.1784918676658425,0.395,0.605,-0.21650813233415753,0.38,0.41,0.39,0.46191966336957124,0.23,0.77,0.23191966336957123,0.22,0.24,0.3,0.19937225579527132,0.1025,0.8975,0.09687225579527133,0.082,0.123,0.124,0.014704096141581085,0.0035,0.9965,0.011204096141581086,0.003,0.004,0.01,0.0024607120758995747,0.0025,0.9975,-3.928792410042535e-05,0.001,0.004,0.004,7.848028313083881e-05,0.0005,0.9995,-0.00042151971686916123,,0.001,0.004
20260608T031610-0400,2026-06-08T07:16:10.521821+00:00,2026-06-08T03:16:10.521821-04:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08T07:10:00.449056Z,v0.5.0 HGBC feature-based ML model,63,0.31193041092443263,,55.0,64.0,,58.0,61.6,,2.748753134882975e-12,0.0005,0.9995,-0.0004999999972512469,,0.001,0.002,3.0574522711763174e-09,0.0005,0.9995,-0.0004999969425477288,,0.001,0.002,1.035817298661405e-06,0.0145,0.9855,-0.01449896418270134,0.01,0.019,0.03,0.026701317460459083,0.06,0.94,-0.033298682539540915,0.05,0.07,0.06,0.116183360947468,0.19,0.81,-0.073816639052532,0.15,0.23,0.19,0.17841358687470318,0.445,0.555,-0.26658641312529685,0.4,0.49,0.43,0.46171708026500613,0.275,0.725,0.1867170802650061,0.23,0.32,0.32,0.19965295357710164,0.0805,0.9195,0.11915295357710164,0.061,0.1,0.125,0.014771417699983814,0.002,0.998,0.012771417699983814,0.001,0.003,0.01,0.0024802459561695353,0.0015,0.9985,0.0009802459561695353,0.001,0.002,0.004,7.8998341608896e-05,0.0005,0.9995,-0.000421001658391104,,0.001,0.004
20260608T032623-0400,2026-06-08T07:26:23.850679+00:00,2026-06-08T03:26:23.850679-04:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08T07:19:26.798485Z,v0.5.0 HGBC feature-based ML model,63,0.31207740149221525,,55.0,64.0,,58.0,61.6,,2.7505550359307527e-12,0.0005,0.9995,-0.000499999997249445,,0.001,0.002,3.041039578093474e-09,0.0005,0.9995,-0.0004999969589604219,,0.001,0.002,1.0364963120846467e-06,0.02,0.98,-0.019998963503687916,0.01,0.03,0.03,0.026718821081027418,0.07,0.93,-0.04328117891897259,0.06,0.08,0.07,0.11625952308701001,0.16,0.84,-0.04374047691298999,0.13,0.19,0.19,0.17849766048059848,0.445,0.555,-0.2665023395194015,0.4,0.49,0.43,0.4619346546130216,0.285,0.715,0.1769346546130216,0.25,0.32,0.31,0.19935146024783648,0.079,0.921,0.12035146024783648,0.058,0.1,0.125,0.014699109550276,0.0025,0.9975,0.012199109550276,0.002,0.003,0.01,0.0024592677641442095,0.0015,0.9985,0.0009592677641442095,0.001,0.002,0.004,7.846363598376048e-05,0.0005,0.9995,-0.00042153636401623954,,0.001,0.004
20260608T033637-0400,2026-06-08T07:36:37.073564+00:00,2026-06-08T03:36:37.073564-04:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08T07:34:53.477859Z,v0.5.0 HGBC feature-based ML model,63,0.31377501348336445,,54.0,64.0,,58.0,61.6,,2.7712168620721434e-12,0.0005,0.9995,-0.0004999999972287832,,0.001,0.002,2.8536001050688588e-09,0.0005,0.9995,-0.000499997146399895,,0.001,0.002,1.044282343019032e-06,0.015,0.985,-0.01499895571765698,0.01,0.02,0.03,0.026919529530292214,0.075,0.925,-0.04808047046970779,0.07,0.08,0.07,0.11713285011443743,0.18,0.82,-0.06286714988556256,0.14,0.22,0.19,0.17946863680690422,0.435,0.565,-0.2555313631930958,0.4,0.47,0.43,0.4644474472889693,0.275,0.725,0.18944744728896928,0.24,0.31,0.31,0.19592851401134506,0.0785,0.9215,0.11742851401134506,0.058,0.099,0.125,0.013869993695311018,0.0025,0.9975,0.011369993695311017,0.002,0.003,0.01,0.0021542879989698916,0.0015,0.9985,0.0006542879989698915,0.001,0.002,0.004,7.769341505645931e-05,0.0005,0.9995,-0.0004223065849435407,,0.001,0.004
20260608T034650-0400,2026-06-08T07:46:50.508014+00:00,2026-06-08T03:46:50.508014-04:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08T07:44:46.563876Z,v0.5.0 HGBC feature-based ML model,63,0.31377501348336445,,54.0,64.0,,58.0,61.6,,2.7712168620721434e-12,0.0005,0.9995,-0.0004999999972287832,,0.001,0.002,2.8536001050688588e-09,0.0005,0.9995,-0.000499997146399895,,0.001,0.002,1.044282343019032e-06,0.015,0.985,-0.01499895571765698,0.01,0.02,0.03,0.026919529530292214,0.075,0.925,-0.04808047046970779,0.07,0.08,0.07,0.11713285011443743,0.22,0.78,-0.10286714988556257,0.18,0.26,0.19,0.17946863680690422,0.435,0.565,-0.2555313631930958,0.4,0.47,0.43,0.4644474472889693,0.275,0.725,0.18944744728896928,0.24,0.31,0.31,0.19592851401134506,0.0785,0.9215,0.11742851401134506,0.058,0.099,0.125,0.013869993695311018,0.0025,0.9975,0.011369993695311017,0.002,0.003,0.01,0.0021542879989698916,0.0015,0.9985,0.0006542879989698915,0.001,0.002,0.004,7.769341505645931e-05,0.0005,0.9995,-0.0004223065849435407,,0.001,0.004
20260608T035704-0400,2026-06-08T07:57:04.413677+00:00,2026-06-08T03:57:04.413677-04:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08T07:55:26.491401Z,v0.5.0 HGBC feature-based ML model,63,0.3003823644426983,54.0,54.0,64.0,,58.0,61.6,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.007727459201159798,0.0205,0.9795,-0.012772540798840203,0.011,0.03,0.03,0.027968375741531548,0.075,0.925,-0.04703162425846845,0.07,0.08,0.07,0.12169661286207184,0.225,0.775,-0.10330338713792817,0.18,0.27,0.19,0.17180849701476905,0.43,0.57,-0.25819150298523097,0.4,0.46,0.43,0.4446237475293189,0.29,0.71,0.1546237475293189,0.25,0.33,0.32,0.20950830311030055,0.0785,0.9215,0.13100830311030054,0.058,0.099,0.125,0.014256035110820593,0.0025,0.9975,0.011756035110820592,0.002,0.003,0.01,0.0023317540827626428,0.0015,0.9985,0.0008317540827626427,0.001,0.002,0.004,7.921534726560826e-05,0.0005,0.9995,-0.00042078465273439177,,0.001,0.004
20260608T040719-0400,2026-06-08T08:07:19.005007+00:00,2026-06-08T04:07:19.005007-04:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08T08:02:53.566838Z,v0.5.0 HGBC feature-based ML model,63,0.3003823644426983,54.0,53.0,64.0,,58.0,61.6,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.007727459201159798,0.015,0.985,-0.0072725407988402015,0.01,0.02,0.03,0.027968375741531548,0.075,0.925,-0.04703162425846845,0.07,0.08,0.07,0.12169661286207184,0.22,0.78,-0.09830338713792816,0.18,0.26,0.19,0.17180849701476905,0.415,0.585,-0.24319150298523093,0.37,0.46,0.37,0.4446237475293189,0.29,0.71,0.1546237475293189,0.25,0.33,0.32,0.20950830311030055,0.0785,0.9215,0.13100830311030054,0.058,0.099,0.125,0.014256035110820593,0.0025,0.9975,0.011756035110820592,0.002,0.003,0.01,0.0023317540827626428,0.0015,0.9985,0.0008317540827626427,0.001,0.002,0.004,7.921534726560826e-05,0.0005,0.9995,-0.00042078465273439177,,0.001,0.004
20260608T041741-0400,2026-06-08T08:17:41.867623+00:00,2026-06-08T04:17:41.867623-04:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08T08:06:32.870627Z,v0.5.0 HGBC feature-based ML model,63,0.29954450212767697,54.0,53.0,64.0,,58.0,62.4,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.008744500252763304,0.011,0.989,-0.0022554997472366955,0.002,0.02,0.03,0.02839051009140928,0.07,0.93,-0.04160948990859073,0.06,0.08,0.07,0.12233991068015226,0.225,0.775,-0.10266008931984774,0.18,0.27,0.29,0.17132926826471845,0.425,0.575,-0.25367073173528154,0.36,0.49,0.37,0.4433835499461168,0.29,0.71,0.1533835499461168,0.25,0.33,0.32,0.20919358261100485,0.0785,0.9215,0.13069358261100483,0.058,0.099,0.125,0.014214856241933433,0.0025,0.9975,0.011714856241933433,0.002,0.003,0.01,0.0023248396023789913,0.0015,0.9985,0.0008248396023789913,0.001,0.002,0.004,7.898230952273742e-05,0.0005,0.9995,-0.0004210176904772626,,0.001,0.004
20260608T042754-0400,2026-06-08T08:27:54.915345+00:00,2026-06-08T04:27:54.915345-04:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08T08:23:26.903662Z,v0.5.0 HGBC feature-based ML model,63,0.29954450212767697,54.0,53.0,64.0,,58.0,62.4,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.008744500252763304,0.011,0.989,-0.0022554997472366955,0.002,0.02,0.03,0.02839051009140928,0.07,0.93,-0.04160948990859073,0.06,0.08,0.07,0.12233991068015226,0.21,0.79,-0.08766008931984773,0.14,0.28,0.29,0.17132926826471845,0.39,0.61,-0.21867073173528156,0.35,0.43,0.42,0.4433835499461168,0.355,0.645,0.0883835499461168,0.25,0.46,0.33,0.20919358261100485,0.0785,0.9215,0.13069358261100483,0.058,0.099,0.125,0.014214856241933433,0.0025,0.9975,0.011714856241933433,0.002,0.003,0.01,0.0023248396023789913,0.001,0.999,0.0013248396023789913,,0.002,0.004,7.898230952273742e-05,0.0005,0.9995,-0.0004210176904772626,,0.001,0.004
20260608T043807-0400,2026-06-08T08:38:07.666719+00:00,2026-06-08T04:38:07.666719-04:00,highest-temperature-in-seattle-on-june-8-2026,2026-06-08T08:32:37.704892Z,v0.5.0 HGBC feature-based ML model,63,0.29954450212767697,54.0,52.0,64.0,,58.0,62.4,,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,0.008744500252763304,0.0155,0.9845,-0.006755499747236696,0.002,0.029,0.03,0.02839051009140928,0.07,0.93,-0.04160948990859073,0.06,0.08,0.07,0.12233991068015226,0.225,0.775,-0.10266008931984774,0.14,0.31,0.28,0.17132926826471845,0.415,0.585,-0.24367073173528153,0.36,0.47,0.42,0.4433835499461168,0.355,0.645,0.0883835499461168,0.29,0.42,0.42,0.20919358261100485,0.0785,0.9215,0.13069358261100483,0.058,0.099,0.125,0.014214856241933433,0.0025,0.9975,0.011714856241933433,0.002,0.003,0.01,0.0023248396023789913,0.001,0.999,0.0013248396023789913,,0.002,0.004,7.898230952273742e-05,0.0005,0.9995,-0.0004210176904772626,,0.001,0.004
