snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,range_label,bin_kind,bin_value_c,model_probability,market_yes,market_no,edge,best_bid,best_ask,last_trade_price,volume,liquidity,market_status,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c
20260604T000146-0400,2026-06-04T04:01:46.449727+00:00,2026-06-04T00:01:46.449727-04:00,highest-temperature-in-toronto-on-june-4-2026,2026-06-04T03:46:23.463023Z,v0.4.9 HGBC feature-based ML model,27,0.2588900168020624,20 C or below,lte,20,0.06440371233384688,0.002,0.998,0.06240371233384688,,0.004,0.002,673.998,9978.7358,active,,,,,27.0,27.9,
20260604T000146-0400,2026-06-04T04:01:46.449727+00:00,2026-06-04T00:01:46.449727-04:00,highest-temperature-in-toronto-on-june-4-2026,2026-06-04T03:46:23.463023Z,v0.4.9 HGBC feature-based ML model,27,0.2588900168020624,21 C,eq,21,0.023935897206164885,0.0015,0.9985,0.022435897206164884,,0.003,0.003,259.894,9544.72284,active,,,,,27.0,27.9,
20260604T000146-0400,2026-06-04T04:01:46.449727+00:00,2026-06-04T00:01:46.449727-04:00,highest-temperature-in-toronto-on-june-4-2026,2026-06-04T03:46:23.463023Z,v0.4.9 HGBC feature-based ML model,27,0.2588900168020624,22 C,eq,22,0.030551113893532007,0.0025,0.9975,0.028051113893532008,0.001,0.004,0.001,289.856333,9697.87221,active,,,,,27.0,27.9,
20260604T000146-0400,2026-06-04T04:01:46.449727+00:00,2026-06-04T00:01:46.449727-04:00,highest-temperature-in-toronto-on-june-4-2026,2026-06-04T03:46:23.463023Z,v0.4.9 HGBC feature-based ML model,27,0.2588900168020624,23 C,eq,23,0.07070647947302199,0.0025,0.9975,0.06820647947302198,0.001,0.004,0.001,368.82248699999997,8063.71987,active,,,,,27.0,27.9,
20260604T000146-0400,2026-06-04T04:01:46.449727+00:00,2026-06-04T00:01:46.449727-04:00,highest-temperature-in-toronto-on-june-4-2026,2026-06-04T03:46:23.463023Z,v0.4.9 HGBC feature-based ML model,27,0.2588900168020624,24 C,eq,24,0.11847511891427757,0.0015,0.9985,0.11697511891427757,0.001,0.002,0.004,1884.448777,7465.03943,active,,,,,27.0,27.9,
20260604T000146-0400,2026-06-04T04:01:46.449727+00:00,2026-06-04T00:01:46.449727-04:00,highest-temperature-in-toronto-on-june-4-2026,2026-06-04T03:46:23.463023Z,v0.4.9 HGBC feature-based ML model,27,0.2588900168020624,25 C,eq,25,0.07193133451474654,0.002,0.998,0.06993133451474653,0.001,0.003,0.01,1518.520424,5232.68398,active,,,,,27.0,27.9,
20260604T000146-0400,2026-06-04T04:01:46.449727+00:00,2026-06-04T00:01:46.449727-04:00,highest-temperature-in-toronto-on-june-4-2026,2026-06-04T03:46:23.463023Z,v0.4.9 HGBC feature-based ML model,27,0.2588900168020624,26 C,eq,26,0.06489285408423456,0.002,0.998,0.06289285408423456,,0.004,0.05,1868.9873900000002,4036.9007,active,,,,,27.0,27.9,
20260604T000146-0400,2026-06-04T04:01:46.449727+00:00,2026-06-04T00:01:46.449727-04:00,highest-temperature-in-toronto-on-june-4-2026,2026-06-04T03:46:23.463023Z,v0.4.9 HGBC feature-based ML model,27,0.2588900168020624,27 C,eq,27,0.2588900168020624,0.0105,0.9895,0.2483900168020624,0.01,0.011,0.011,1680.613462,2121.35219,active,,,,,27.0,27.9,
20260604T000146-0400,2026-06-04T04:01:46.449727+00:00,2026-06-04T00:01:46.449727-04:00,highest-temperature-in-toronto-on-june-4-2026,2026-06-04T03:46:23.463023Z,v0.4.9 HGBC feature-based ML model,27,0.2588900168020624,28 C,eq,28,0.23046686041315978,0.13,0.87,0.10046686041315978,0.12,0.14,0.11,1460.2725170000006,1465.8997,active,,,,,27.0,27.9,
20260604T000146-0400,2026-06-04T04:01:46.449727+00:00,2026-06-04T00:01:46.449727-04:00,highest-temperature-in-toronto-on-june-4-2026,2026-06-04T03:46:23.463023Z,v0.4.9 HGBC feature-based ML model,27,0.2588900168020624,29 C,eq,29,0.05114670506980854,0.355,0.645,-0.3038532949301914,0.34,0.37,0.4,985.6379889999997,1020.0559,active,,,,,27.0,27.9,
