snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_20c,market_yes_lte_20c,market_no_lte_20c,edge_lte_20c,best_bid_lte_20c,best_ask_lte_20c,last_lte_20c,model_eq_21c,market_yes_eq_21c,market_no_eq_21c,edge_eq_21c,best_bid_eq_21c,best_ask_eq_21c,last_eq_21c,model_eq_22c,market_yes_eq_22c,market_no_eq_22c,edge_eq_22c,best_bid_eq_22c,best_ask_eq_22c,last_eq_22c,model_eq_23c,market_yes_eq_23c,market_no_eq_23c,edge_eq_23c,best_bid_eq_23c,best_ask_eq_23c,last_eq_23c,model_eq_24c,market_yes_eq_24c,market_no_eq_24c,edge_eq_24c,best_bid_eq_24c,best_ask_eq_24c,last_eq_24c,model_eq_25c,market_yes_eq_25c,market_no_eq_25c,edge_eq_25c,best_bid_eq_25c,best_ask_eq_25c,last_eq_25c,model_eq_26c,market_yes_eq_26c,market_no_eq_26c,edge_eq_26c,best_bid_eq_26c,best_ask_eq_26c,last_eq_26c,model_eq_27c,market_yes_eq_27c,market_no_eq_27c,edge_eq_27c,best_bid_eq_27c,best_ask_eq_27c,last_eq_27c,model_eq_28c,market_yes_eq_28c,market_no_eq_28c,edge_eq_28c,best_bid_eq_28c,best_ask_eq_28c,last_eq_28c,model_eq_29c,market_yes_eq_29c,market_no_eq_29c,edge_eq_29c,best_bid_eq_29c,best_ask_eq_29c,last_eq_29c,model_gte_30c,market_yes_gte_30c,market_no_gte_30c,edge_gte_30c,best_bid_gte_30c,best_ask_gte_30c,last_gte_30c
20260605T000756-0400,2026-06-05T04:07:56.360509+00:00,2026-06-05T00:07:56.360509-04:00,highest-temperature-in-toronto-on-june-5-2026,2026-06-05T03:54:22.772613Z,v0.5.0 HGBC feature-based ML model,29,0.3758426806639917,23.0,,,23.4,29.0,29.3,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0015,0.9985,-0.0015,0.001,0.002,0.001,0.0,0.0025,0.9975,-0.0025,0.002,0.003,0.001,0.0030550569236078655,0.0015,0.9985,0.0015550569236078655,0.001,0.002,0.001,0.003655353965032504,0.0025,0.9975,0.001155353965032504,0.002,0.003,0.001,0.005434101675408307,0.0025,0.9975,0.0029341016754083067,0.001,0.004,0.001,0.010565670454230623,0.0045,0.9955,0.006065670454230623,0.002,0.007,0.003,0.0756973333784602,0.025,0.975,0.0506973333784602,0.02,0.03,0.02,0.24395808001522518,0.0725,0.9275,0.17145808001522517,0.071,0.074,0.07,0.3758426806639917,0.225,0.775,0.15084268066399167,0.19,0.26,0.26,0.2817917229240437,0.69,0.31,-0.40820827707595625,0.67,0.71,0.7
20260605T001758-0400,2026-06-05T04:17:58.985910+00:00,2026-06-05T00:17:58.985910-04:00,highest-temperature-in-toronto-on-june-5-2026,2026-06-05T04:14:29.748127Z,v0.5.0 HGBC feature-based ML model,29,0.23797518487139505,23.0,22.0,31.0,23.4,29.0,29.3,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.004520741251502817,0.0015,0.9985,0.003020741251502817,0.001,0.002,0.001,0.0054094069059916336,0.0025,0.9975,0.0029094069059916335,0.002,0.003,0.001,0.008038039072778355,0.0015,0.9985,0.006538039072778355,0.001,0.002,0.001,0.015409858947865859,0.004,0.996,0.011409858947865859,0.002,0.006,0.003,0.09520522693958246,0.0105,0.9895,0.08470522693958246,0.01,0.011,0.02,0.20823413464055354,0.0725,0.9275,0.13573413464055356,0.071,0.074,0.07,0.23797518487139505,0.21,0.79,0.027975184871395053,0.18,0.24,0.26,0.42520740737033014,0.73,0.27,-0.30479259262966985,0.7,0.76,0.76
20260605T002801-0400,2026-06-05T04:28:01.029740+00:00,2026-06-05T00:28:01.029740-04:00,highest-temperature-in-toronto-on-june-5-2026,2026-06-05T04:18:57.856111Z,v0.5.0 HGBC feature-based ML model,29,0.23797518487139505,23.0,22.0,31.0,23.4,29.0,29.3,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.004520741251502817,0.0015,0.9985,0.003020741251502817,0.001,0.002,0.001,0.0054094069059916336,0.0025,0.9975,0.0029094069059916335,0.002,0.003,0.001,0.008038039072778355,0.0015,0.9985,0.006538039072778355,0.001,0.002,0.001,0.015409858947865859,0.004,0.996,0.011409858947865859,0.002,0.006,0.003,0.09520522693958246,0.0105,0.9895,0.08470522693958246,0.01,0.011,0.02,0.20823413464055354,0.0805,0.9195,0.12773413464055355,0.071,0.09,0.085,0.23797518487139505,0.22,0.78,0.017975184871395045,0.19,0.25,0.26,0.42520740737033014,0.71,0.29,-0.2847925926296698,0.7,0.72,0.76
20260605T003803-0400,2026-06-05T04:38:03.234429+00:00,2026-06-05T00:38:03.234429-04:00,highest-temperature-in-toronto-on-june-5-2026,2026-06-05T04:32:29.82403Z,v0.5.0 HGBC feature-based ML model,29,0.23797518487139505,23.0,22.0,31.0,23.4,29.0,29.3,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.004520741251502817,0.0015,0.9985,0.003020741251502817,0.001,0.002,0.001,0.0054094069059916336,0.0025,0.9975,0.0029094069059916335,0.002,0.003,0.001,0.008038039072778355,0.0015,0.9985,0.006538039072778355,0.001,0.002,0.001,0.015409858947865859,0.004,0.996,0.011409858947865859,0.002,0.006,0.003,0.09520522693958246,0.0105,0.9895,0.08470522693958246,0.01,0.011,0.02,0.20823413464055354,0.081,0.919,0.12723413464055355,0.072,0.09,0.085,0.23797518487139505,0.22,0.78,0.017975184871395045,0.18,0.26,0.26,0.42520740737033014,0.695,0.305,-0.2697925926296698,0.67,0.72,0.76
20260605T004805-0400,2026-06-05T04:48:05.478404+00:00,2026-06-05T00:48:05.478404-04:00,highest-temperature-in-toronto-on-june-5-2026,2026-06-05T04:42:41.873375Z,v0.5.0 HGBC feature-based ML model,30,0.312151792521313,23.0,22.0,31.0,23.4,29.0,29.1,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.003447768793358675,0.0015,0.9985,0.001947768793358675,0.001,0.002,0.001,0.004624112342478148,0.0025,0.9975,0.002124112342478148,0.002,0.003,0.001,0.007471854598541774,0.0015,0.9985,0.005971854598541774,0.001,0.002,0.001,0.014814559481586753,0.004,0.996,0.010814559481586753,0.002,0.006,0.003,0.09284819706906008,0.0105,0.9895,0.08234819706906009,0.01,0.011,0.02,0.20281433502678337,0.081,0.919,0.12181433502678336,0.072,0.09,0.085,0.19900799476116124,0.225,0.775,-0.025992005238838767,0.18,0.27,0.26,0.4749711779270298,0.715,0.285,-0.24002882207297016,0.67,0.76,0.76
20260605T005807-0400,2026-06-05T04:58:07.707961+00:00,2026-06-05T00:58:07.707961-04:00,highest-temperature-in-toronto-on-june-5-2026,2026-06-05T04:47:28.616743Z,v0.5.0 HGBC feature-based ML model,30,0.312151792521313,23.0,22.0,31.0,23.4,29.0,29.1,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.003447768793358675,0.0015,0.9985,0.001947768793358675,0.001,0.002,0.001,0.004624112342478148,0.0025,0.9975,0.002124112342478148,0.002,0.003,0.001,0.007471854598541774,0.0015,0.9985,0.005971854598541774,0.001,0.002,0.001,0.014814559481586753,0.004,0.996,0.010814559481586753,0.002,0.006,0.003,0.09284819706906008,0.0105,0.9895,0.08234819706906009,0.01,0.011,0.02,0.20281433502678337,0.081,0.919,0.12181433502678336,0.072,0.09,0.085,0.19900799476116124,0.195,0.805,0.004007994761161232,0.14,0.25,0.26,0.4749711779270298,0.72,0.28,-0.24502882207297016,0.67,0.77,0.77
20260605T010809-0400,2026-06-05T05:08:09.896953+00:00,2026-06-05T01:08:09.896953-04:00,highest-temperature-in-toronto-on-june-5-2026,2026-06-05T05:04:21.494407Z,v0.5.0 HGBC feature-based ML model,31,0.23830958524419632,23.0,22.0,31.0,23.4,29.0,29.5,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.005699931197879704,0.0015,0.9985,0.0041999311978797044,0.001,0.002,0.001,0.006266236331517195,0.0025,0.9975,0.0037662363315171953,0.002,0.003,0.001,0.00875252577504447,0.0015,0.9985,0.0072525257750444706,0.001,0.002,0.001,0.015822656558123982,0.004,0.996,0.011822656558123982,0.002,0.006,0.003,0.09405412911096968,0.0105,0.9895,0.08355412911096968,0.01,0.011,0.02,0.20544853055117757,0.081,0.919,0.12444853055117756,0.072,0.09,0.085,0.13462372480038085,0.2,0.8,-0.06537627519961917,0.16,0.24,0.26,0.5293322656749065,0.72,0.28,-0.19066773432509343,0.67,0.77,0.77
20260605T011812-0400,2026-06-05T05:18:12.025263+00:00,2026-06-05T01:18:12.025263-04:00,highest-temperature-in-toronto-on-june-5-2026,2026-06-05T05:11:05.104518Z,v0.5.0 HGBC feature-based ML model,31,0.23830958524419632,23.0,20.0,31.0,23.4,29.0,29.5,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.005699931197879704,0.0015,0.9985,0.0041999311978797044,0.001,0.002,0.001,0.006266236331517195,0.0025,0.9975,0.0037662363315171953,0.002,0.003,0.001,0.00875252577504447,0.0015,0.9985,0.0072525257750444706,0.001,0.002,0.001,0.015822656558123982,0.0035,0.9965,0.012322656558123982,0.001,0.006,0.003,0.09405412911096968,0.0145,0.9855,0.07955412911096968,0.01,0.019,0.01,0.20544853055117757,0.065,0.935,0.14044853055117756,0.041,0.089,0.042,0.13462372480038085,0.195,0.805,-0.06037627519961916,0.15,0.24,0.15,0.5293322656749065,0.79,0.21,-0.2606677343250935,0.68,0.9,0.94
20260605T012814-0400,2026-06-05T05:28:14.089590+00:00,2026-06-05T01:28:14.089590-04:00,highest-temperature-in-toronto-on-june-5-2026,2026-06-05T05:18:04.563014Z,v0.5.0 HGBC feature-based ML model,31,0.23830958524419632,23.0,19.0,31.0,23.4,29.0,29.5,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.005699931197879704,0.0015,0.9985,0.0041999311978797044,0.001,0.002,0.001,0.006266236331517195,0.0025,0.9975,0.0037662363315171953,0.002,0.003,0.001,0.00875252577504447,0.0015,0.9985,0.0072525257750444706,0.001,0.002,0.001,0.015822656558123982,0.0035,0.9965,0.012322656558123982,0.001,0.006,0.003,0.09405412911096968,0.0145,0.9855,0.07955412911096968,0.01,0.019,0.01,0.20544853055117757,0.0645,0.9355,0.14094853055117756,0.04,0.089,0.042,0.13462372480038085,0.135,0.865,-0.0003762751996191638,0.13,0.14,0.14,0.5293322656749065,0.815,0.185,-0.2856677343250934,0.8,0.83,0.94
20260605T013816-0400,2026-06-05T05:38:16.239604+00:00,2026-06-05T01:38:16.239604-04:00,highest-temperature-in-toronto-on-june-5-2026,2026-06-05T05:32:03.561507Z,v0.5.0 HGBC feature-based ML model,31,0.23830958524419632,23.0,19.0,31.0,23.4,29.0,29.5,,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,0.005699931197879704,0.0015,0.9985,0.0041999311978797044,0.001,0.002,0.001,0.006266236331517195,0.002,0.998,0.004266236331517195,0.001,0.003,0.001,0.00875252577504447,0.0015,0.9985,0.0072525257750444706,0.001,0.002,0.001,0.015822656558123982,0.0035,0.9965,0.012322656558123982,0.001,0.006,0.003,0.09405412911096968,0.0145,0.9855,0.07955412911096968,0.01,0.019,0.01,0.20544853055117757,0.04,0.96,0.16544853055117756,0.03,0.05,0.04,0.13462372480038085,0.13,0.87,0.004623724800380841,0.12,0.14,0.14,0.5293322656749065,0.825,0.175,-0.2956677343250934,0.82,0.83,0.94
