snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260606T000654-0400,2026-06-06T04:06:54.013772+00:00,2026-06-06T00:06:51.847805-04:00,highest-temperature-in-toronto-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,21.0,21.0,4.0,18.0,82.0,,0.0,21.0,24.8,3.8000000000000007,S-SW,Precip
20260606T001656-0400,2026-06-06T04:16:56.800275+00:00,2026-06-06T00:16:56.400182-04:00,highest-temperature-in-toronto-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,21.0,21.0,4.0,17.0,78.0,989.93,0.0,4.0,24.8,3.8000000000000007,Other/variable,Precip
20260606T002659-0400,2026-06-06T04:26:59.425501+00:00,2026-06-06T00:26:58.712588-04:00,highest-temperature-in-toronto-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,21.0,21.0,4.0,17.0,78.0,989.93,0.0,4.0,24.8,3.8000000000000007,Other/variable,Precip
20260606T003702-0400,2026-06-06T04:37:02.375914+00:00,2026-06-06T00:37:02.101623-04:00,highest-temperature-in-toronto-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,21.0,21.0,4.0,17.0,78.0,989.93,0.0,4.0,24.8,3.8000000000000007,Other/variable,Precip
20260606T004706-0400,2026-06-06T04:47:06.814097+00:00,2026-06-06T00:47:06.462912-04:00,highest-temperature-in-toronto-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,21.0,21.0,4.0,17.0,78.0,989.93,0.0,4.0,24.8,3.8000000000000007,Other/variable,Precip
20260606T005709-0400,2026-06-06T04:57:09.179165+00:00,2026-06-06T00:57:08.681287-04:00,highest-temperature-in-toronto-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,21.0,21.0,4.0,17.0,78.0,989.93,0.0,4.0,24.8,3.8000000000000007,Other/variable,Precip
20260606T010711-0400,2026-06-06T05:07:11.414931+00:00,2026-06-06T01:07:11.111316-04:00,highest-temperature-in-toronto-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,21.0,21.0,4.0,17.0,78.0,989.93,0.0,4.0,24.8,3.8000000000000007,Other/variable,Precip
20260606T011721-0400,2026-06-06T05:17:21.974291+00:00,2026-06-06T01:17:21.737111-04:00,highest-temperature-in-toronto-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,21.0,21.0,4.0,17.0,78.0,989.93,0.0,4.0,24.8,3.8000000000000007,Other/variable,Precip
20260606T012724-0400,2026-06-06T05:27:24.191427+00:00,2026-06-06T01:27:23.963881-04:00,highest-temperature-in-toronto-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,21.0,21.0,4.0,17.0,78.0,989.93,0.0,4.0,24.8,3.8000000000000007,Other/variable,Precip
20260606T013726-0400,2026-06-06T05:37:26.383709+00:00,2026-06-06T01:37:26.089897-04:00,highest-temperature-in-toronto-on-june-6-2026,2026-06-06,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.1,9,21.0,21.0,4.0,17.0,78.0,989.93,0.0,4.0,24.8,3.8000000000000007,Other/variable,Precip
