snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_13c,market_yes_lte_13c,market_no_lte_13c,edge_lte_13c,best_bid_lte_13c,best_ask_lte_13c,last_lte_13c,model_eq_14c,market_yes_eq_14c,market_no_eq_14c,edge_eq_14c,best_bid_eq_14c,best_ask_eq_14c,last_eq_14c,model_eq_15c,market_yes_eq_15c,market_no_eq_15c,edge_eq_15c,best_bid_eq_15c,best_ask_eq_15c,last_eq_15c,model_eq_16c,market_yes_eq_16c,market_no_eq_16c,edge_eq_16c,best_bid_eq_16c,best_ask_eq_16c,last_eq_16c,model_eq_17c,market_yes_eq_17c,market_no_eq_17c,edge_eq_17c,best_bid_eq_17c,best_ask_eq_17c,last_eq_17c,model_eq_18c,market_yes_eq_18c,market_no_eq_18c,edge_eq_18c,best_bid_eq_18c,best_ask_eq_18c,last_eq_18c,model_eq_19c,market_yes_eq_19c,market_no_eq_19c,edge_eq_19c,best_bid_eq_19c,best_ask_eq_19c,last_eq_19c,model_eq_20c,market_yes_eq_20c,market_no_eq_20c,edge_eq_20c,best_bid_eq_20c,best_ask_eq_20c,last_eq_20c,model_eq_21c,market_yes_eq_21c,market_no_eq_21c,edge_eq_21c,best_bid_eq_21c,best_ask_eq_21c,last_eq_21c,model_eq_22c,market_yes_eq_22c,market_no_eq_22c,edge_eq_22c,best_bid_eq_22c,best_ask_eq_22c,last_eq_22c,model_gte_23c,market_yes_gte_23c,market_no_gte_23c,edge_gte_23c,best_bid_gte_23c,best_ask_gte_23c,last_gte_23c
20260530T104153-0400,2026-05-30T14:41:53.935163+00:00,2026-05-30T10:41:53.935163-04:00,highest-temperature-in-toronto-on-may-30-2026,2026-05-30T14:37:05.530447Z,v0.4.9 HGBC feature-based ML model,19,0.19666736592059347,13.0,16.0,16.0,14.9,20.0,19.8,21.0,0.007300225246126052,0.0005,0.9995,0.006800225246126052,,0.001,0.001,0.03087356197005891,0.0005,0.9995,0.03037356197005891,,0.001,0.001,0.17649200552618854,0.0005,0.9995,0.17599200552618854,,0.001,0.001,0.06409031697504815,0.0015,0.9985,0.06259031697504815,0.001,0.002,0.001,0.04861101771733533,0.0015,0.9985,0.04711101771733533,0.001,0.002,0.002,0.1101940702493044,0.0345,0.9655,0.0756940702493044,0.021,0.048,0.02,0.19666736592059347,0.17,0.83,0.02666736592059346,0.16,0.18,0.17,0.17999119672218217,0.365,0.635,-0.18500880327781782,0.34,0.39,0.39,0.13784970166088395,0.32,0.68,-0.18215029833911606,0.3,0.34,0.33,0.039373313671492105,0.08,0.92,-0.0406266863285079,0.079,0.081,0.082,0.008557224340786993,0.0105,0.9895,-0.0019427756592130078,0.01,0.011,0.011
20260530T105154-0400,2026-05-30T14:51:54.867681+00:00,2026-05-30T10:51:54.867681-04:00,highest-temperature-in-toronto-on-may-30-2026,2026-05-30T14:46:58.616009Z,v0.4.9 HGBC feature-based ML model,19,0.19666736592059347,13.0,16.0,16.0,14.9,20.0,19.8,21.0,0.007300225246126052,0.0005,0.9995,0.006800225246126052,,0.001,0.001,0.03087356197005891,0.0005,0.9995,0.03037356197005891,,0.001,0.001,0.17649200552618854,0.0005,0.9995,0.17599200552618854,,0.001,0.001,0.06409031697504815,0.0015,0.9985,0.06259031697504815,0.001,0.002,0.001,0.04861101771733533,0.0015,0.9985,0.04711101771733533,0.001,0.002,0.002,0.1101940702493044,0.0345,0.9655,0.0756940702493044,0.03,0.039,0.02,0.19666736592059347,0.17,0.83,0.02666736592059346,0.16,0.18,0.17,0.17999119672218217,0.35,0.65,-0.1700088032778178,0.32,0.38,0.39,0.13784970166088395,0.35,0.65,-0.21215029833911603,0.33,0.37,0.33,0.039373313671492105,0.08,0.92,-0.0406266863285079,0.079,0.081,0.082,0.008557224340786993,0.0105,0.9895,-0.0019427756592130078,0.01,0.011,0.011
20260530T110218-0400,2026-05-30T15:02:18.060988+00:00,2026-05-30T11:02:18.060988-04:00,highest-temperature-in-toronto-on-may-30-2026,2026-05-30T14:57:21.998488Z,v0.4.9 HGBC feature-based ML model,19,0.18687945806064787,13.0,17.0,17.0,16.1,20.0,19.8,22.0,0.007366785696908368,0.0005,0.9995,0.006866785696908368,,0.001,0.001,0.024931129231757696,0.0005,0.9995,0.024431129231757696,,0.001,0.001,0.14254067914019505,0.0005,0.9995,0.14204067914019505,,0.001,0.001,0.08662659617513697,0.0015,0.9985,0.08512659617513697,0.001,0.002,0.001,0.06559748685680146,0.0015,0.9985,0.06409748685680146,0.001,0.002,0.002,0.11687647543992381,0.0455,0.9545,0.07137647543992381,0.032,0.059,0.02,0.18687945806064787,0.185,0.815,0.0018794580606478761,0.16,0.21,0.17,0.15629081237644218,0.345,0.655,-0.1887091876235578,0.31,0.38,0.39,0.1299484627710954,0.355,0.645,-0.22505153722890459,0.34,0.37,0.33,0.04559803653316723,0.08,0.92,-0.034401963466832775,0.079,0.081,0.082,0.03734407771792388,0.0105,0.9895,0.02684407771792388,0.01,0.011,0.011
20260530T111318-0400,2026-05-30T15:13:18.097556+00:00,2026-05-30T11:13:18.097556-04:00,highest-temperature-in-toronto-on-may-30-2026,2026-05-30T15:08:08.55803Z,v0.4.9 HGBC feature-based ML model,20,0.40079212791410973,15.0,17.0,17.0,16.1,20.0,19.8,22.0,7.374145923522324e-12,0.0005,0.9995,-0.0004999999926258541,,0.001,0.001,6.500452575312566e-12,0.0005,0.9995,-0.0004999999934995474,,0.001,0.001,0.014466994310413971,0.0005,0.9995,0.01396699431041397,,0.001,0.001,0.051109148113669,0.0015,0.9985,0.049609148113669,0.001,0.002,0.001,0.05211012035698779,0.0015,0.9985,0.05061012035698779,0.001,0.002,0.002,0.09855214288733,0.0445,0.9555,0.05405214288733,0.03,0.059,0.02,0.18081715295101433,0.185,0.815,-0.004182847048985666,0.16,0.21,0.17,0.40079212791410973,0.385,0.615,0.01579212791410972,0.37,0.4,0.38,0.1381091668029699,0.33,0.67,-0.19189083319703013,0.31,0.35,0.34,0.03955035042386368,0.08,0.92,-0.04044964957613632,0.079,0.081,0.082,0.024492796225767176,0.0105,0.9895,0.013992796225767176,0.01,0.011,0.011
20260530T112342-0400,2026-05-30T15:23:42.060293+00:00,2026-05-30T11:23:42.060293-04:00,highest-temperature-in-toronto-on-may-30-2026,2026-05-30T15:20:27.030723Z,v0.4.9 HGBC feature-based ML model,20,0.4213522243769831,15.0,17.0,17.0,16.1,20.0,19.8,22.0,2.9247443089003846e-12,0.0005,0.9995,-0.0004999999970752557,,0.001,0.001,2.7762787971096985e-12,0.0005,0.9995,-0.0004999999972237212,,0.001,0.001,0.006780737855077279,0.0005,0.9995,0.00628073785507728,,0.001,0.001,0.02820876375937477,0.0015,0.9985,0.026708763759374768,0.001,0.002,0.001,0.03743525456321059,0.0015,0.9985,0.03593525456321059,0.001,0.002,0.002,0.10360773510899313,0.035,0.965,0.06860773510899312,0.03,0.04,0.02,0.19009282941243344,0.175,0.825,0.01509282941243345,0.16,0.19,0.19,0.4213522243769831,0.33,0.67,0.0913522243769831,0.32,0.34,0.37,0.145193981084763,0.355,0.645,-0.20980601891523698,0.35,0.36,0.35,0.041579230142851926,0.083,0.917,-0.04142076985714808,0.079,0.087,0.087,0.02574924369061157,0.0135,0.9865,0.01224924369061157,0.01,0.017,0.011
20260530T113346-0400,2026-05-30T15:33:46.064692+00:00,2026-05-30T11:33:46.064692-04:00,highest-temperature-in-toronto-on-may-30-2026,2026-05-30T15:30:45.215616Z,v0.4.9 HGBC feature-based ML model,20,0.4213522243769831,15.0,17.0,17.0,16.1,20.0,19.8,22.0,2.9247443089003846e-12,0.0005,0.9995,-0.0004999999970752557,,0.001,0.001,2.7762787971096985e-12,0.0005,0.9995,-0.0004999999972237212,,0.001,0.001,0.006780737855077279,0.0005,0.9995,0.00628073785507728,,0.001,0.001,0.02820876375937477,0.0015,0.9985,0.026708763759374768,0.001,0.002,0.001,0.03743525456321059,0.0015,0.9985,0.03593525456321059,0.001,0.002,0.002,0.10360773510899313,0.025,0.975,0.07860773510899313,0.021,0.029,0.02,0.19009282941243344,0.175,0.825,0.01509282941243345,0.16,0.19,0.2,0.4213522243769831,0.36,0.64,0.06135222437698312,0.33,0.39,0.37,0.145193981084763,0.36,0.64,-0.21480601891523698,0.35,0.37,0.35,0.041579230142851926,0.083,0.917,-0.04142076985714808,0.079,0.087,0.087,0.02574924369061157,0.014,0.986,0.01174924369061157,0.011,0.017,0.011
20260530T114447-0400,2026-05-30T15:44:47.644617+00:00,2026-05-30T11:44:47.644617-04:00,highest-temperature-in-toronto-on-may-30-2026,2026-05-30T15:39:04.640905Z,v0.4.9 HGBC feature-based ML model,20,0.40872795052047045,15.0,17.0,17.0,16.1,20.0,19.2,22.0,3.643678959071604e-12,0.0005,0.9995,-0.000499999996356321,,0.001,0.001,3.5355540171785684e-12,0.0005,0.9995,-0.000499999996464446,,0.001,0.001,0.008852067477663615,0.0005,0.9995,0.008352067477663615,,0.001,0.001,0.038222159729987146,0.0015,0.9985,0.036722159729987144,0.001,0.002,0.001,0.053141918744100285,0.0015,0.9985,0.05164191874410028,0.001,0.002,0.002,0.10050350936625987,0.025,0.975,0.07550350936625988,0.021,0.029,0.02,0.18439739505176228,0.18,0.82,0.004397395051762287,0.17,0.19,0.2,0.40872795052047045,0.335,0.665,0.07372795052047043,0.32,0.35,0.37,0.14084377602237935,0.34,0.66,-0.19915622397762067,0.29,0.39,0.35,0.0403334610269004,0.0925,0.9075,-0.0521665389730996,0.09,0.095,0.087,0.02497776205329731,0.0155,0.9845,0.009477762053297312,0.014,0.017,0.011
20260530T115546-0400,2026-05-30T15:55:46.292926+00:00,2026-05-30T11:55:46.292926-04:00,highest-temperature-in-toronto-on-may-30-2026,2026-05-30T15:51:11.448268Z,v0.4.9 HGBC feature-based ML model,20,0.4123783515107207,16.0,17.0,18.0,16.1,20.0,19.2,22.0,3.676221116424463e-12,0.0005,0.9995,-0.0004999999963237789,,0.001,0.001,3.5671304970081397e-12,0.0005,0.9995,-0.0004999999964328695,,0.001,0.001,8.931126411228294e-12,0.0005,0.9995,-0.0004999999910688736,,0.001,0.001,0.03856352666990445,0.0015,0.9985,0.03706352666990445,0.001,0.002,0.001,0.05361653593766445,0.0015,0.9985,0.05211653593766445,0.001,0.002,0.002,0.10140111891228441,0.023,0.977,0.0784011189122844,0.021,0.025,0.03,0.1860442714952239,0.185,0.815,0.001044271495223903,0.17,0.2,0.2,0.4123783515107207,0.335,0.665,0.0773783515107207,0.32,0.35,0.37,0.14210166958901205,0.315,0.685,-0.17289833041098795,0.28,0.35,0.35,0.04069368426557377,0.1155,0.8845,-0.07480631573442623,0.101,0.13,0.087,0.02520084160344182,0.0165,0.9835,0.008700841603441818,0.016,0.017,0.011
20260530T120612-0400,2026-05-30T16:06:12.177649+00:00,2026-05-30T12:06:12.177649-04:00,highest-temperature-in-toronto-on-may-30-2026,2026-05-30T15:59:47.312424Z,v0.4.9 HGBC feature-based ML model,20,0.4124638531172337,16.0,18.0,18.0,16.8,20.0,19.2,22.0,3.608124709695247e-12,0.0005,0.9995,-0.0004999999963918753,,0.001,0.001,3.2857296335185428e-12,0.0005,0.9995,-0.0004999999967142704,,0.001,0.001,6.745269539935402e-12,0.0005,0.9995,-0.0004999999932547305,,0.001,0.001,0.026975446789205756,0.0015,0.9985,0.025475446789205755,0.001,0.002,0.001,0.04715771277984494,0.0015,0.9985,0.04565771277984494,0.001,0.002,0.002,0.11697238667758185,0.0225,0.9775,0.09447238667758184,0.02,0.025,0.02,0.18843219515705154,0.185,0.815,0.0034321951570515374,0.18,0.19,0.2,0.4124638531172337,0.375,0.625,0.037463853117233714,0.36,0.39,0.34,0.14210320720095637,0.28,0.72,-0.13789679279904365,0.26,0.3,0.35,0.04069409951493463,0.114,0.886,-0.07330590048506538,0.098,0.13,0.087,0.025201098749551978,0.0375,0.9625,-0.012298901250448021,0.017,0.058,0.017
20260530T121631-0400,2026-05-30T16:16:31.506362+00:00,2026-05-30T12:16:31.506362-04:00,highest-temperature-in-toronto-on-may-30-2026,2026-05-30T16:11:47.868137Z,v0.4.9 HGBC feature-based ML model,20,0.4124638531172337,16.0,17.0,18.0,16.8,20.0,19.2,22.0,3.608124709695247e-12,0.0005,0.9995,-0.0004999999963918753,,0.001,0.001,3.2857296335185428e-12,0.0005,0.9995,-0.0004999999967142704,,0.001,0.001,6.745269539935402e-12,0.0005,0.9995,-0.0004999999932547305,,0.001,0.001,0.026975446789205756,0.0015,0.9985,0.025475446789205755,0.001,0.002,0.001,0.04715771277984494,0.0015,0.9985,0.04565771277984494,0.001,0.002,0.002,0.11697238667758185,0.0225,0.9775,0.09447238667758184,0.02,0.025,0.02,0.18843219515705154,0.185,0.815,0.0034321951570515374,0.17,0.2,0.19,0.4124638531172337,0.375,0.625,0.037463853117233714,0.36,0.39,0.39,0.14210320720095637,0.28,0.72,-0.13789679279904365,0.26,0.3,0.3,0.04069409951493463,0.126,0.874,-0.08530590048506537,0.102,0.15,0.087,0.025201098749551978,0.032,0.968,-0.006798901250448023,0.019,0.045,0.017
