snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260531T140842-0400,2026-05-31T18:08:42.402019+00:00,2026-05-31T14:08:42.315986-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31,v0.4.9 HGBC feature-based ML model,toronto_feature_store_v0.1,13,22.0,22.0,9.0,5.0,33.0,996.24,-2.3199999999999363,19.0,23.7,1.6999999999999993,W-NW,Partly cloudy
20260531T142741-0400,2026-05-31T18:27:41.191017+00:00,2026-05-31T14:27:40.902679-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31,v0.4.9 HGBC feature-based ML model,toronto_feature_store_v0.1,13,22.0,22.0,9.0,5.0,33.0,996.24,-2.3199999999999363,19.0,23.7,1.6999999999999993,W-NW,Partly cloudy
20260531T143742-0400,2026-05-31T18:37:42.570523+00:00,2026-05-31T14:37:42.191889-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31,v0.4.9 HGBC feature-based ML model,toronto_feature_store_v0.1,13,22.0,22.0,9.0,5.0,33.0,996.24,-2.3199999999999363,19.0,23.7,1.6999999999999993,W-NW,Partly cloudy
20260531T144743-0400,2026-05-31T18:47:43.737260+00:00,2026-05-31T14:47:43.410220-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31,v0.4.9 HGBC feature-based ML model,toronto_feature_store_v0.1,13,22.0,22.0,9.0,5.0,33.0,996.24,-2.3199999999999363,19.0,24.0,2.0,W-NW,Partly cloudy
20260531T145744-0400,2026-05-31T18:57:44.759555+00:00,2026-05-31T14:57:44.618226-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31,v0.4.9 HGBC feature-based ML model,toronto_feature_store_v0.1,13,22.0,22.0,9.0,5.0,33.0,996.24,-2.3199999999999363,19.0,24.0,2.0,W-NW,Partly cloudy
20260531T150745-0400,2026-05-31T19:07:45.751242+00:00,2026-05-31T15:07:45.604159-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31,v0.4.9 HGBC feature-based ML model,toronto_feature_store_v0.1,13,22.0,22.0,9.0,5.0,33.0,996.24,-2.3199999999999363,19.0,24.0,2.0,W-NW,Partly cloudy
20260531T151746-0400,2026-05-31T19:17:46.976454+00:00,2026-05-31T15:17:46.749965-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31,v0.4.9 HGBC feature-based ML model,toronto_feature_store_v0.1,13,22.0,22.0,9.0,5.0,33.0,996.24,-2.3199999999999363,19.0,24.0,2.0,W-NW,Partly cloudy
20260531T152747-0400,2026-05-31T19:27:47.989203+00:00,2026-05-31T15:27:47.821755-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31,v0.4.9 HGBC feature-based ML model,toronto_feature_store_v0.1,13,22.0,22.0,9.0,5.0,33.0,996.24,-2.3199999999999363,19.0,24.0,2.0,W-NW,Partly cloudy
20260531T153749-0400,2026-05-31T19:37:49.333424+00:00,2026-05-31T15:37:49.213151-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31,v0.4.9 HGBC feature-based ML model,toronto_feature_store_v0.1,15,24.0,24.0,11.0,6.0,31.0,994.24,-2.659999999999968,28.0,24.0,0.0,W-NW,Partly cloudy
20260531T154750-0400,2026-05-31T19:47:50.603856+00:00,2026-05-31T15:47:50.455837-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31,v0.4.9 HGBC feature-based ML model,toronto_feature_store_v0.1,15,24.0,24.0,11.0,6.0,31.0,994.24,-2.659999999999968,28.0,24.0,0.0,W-NW,Partly cloudy
