schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,1995-05-20,F,24,00:00,23:00,80.0,80,57.0,68.04,56.0,80.0,18:00,57.0,68.04,56.0,18.0,,80,False,0,True,Fair,CLR
wu_daily_native_v1,1995-05-21,F,24,00:00,23:00,84.0,84,60.0,72.25,53.0,84.0,16:00|17:00,60.0,72.25,53.0,12.0,,84,False,0,True,Partly Cloudy,SCT
wu_daily_native_v1,1995-05-22,F,24,00:00,23:00,86.0,86,62.0,74.71,59.0,86.0,16:00,62.0,74.71,59.0,14.0,,86,False,0,True,Partly Cloudy,SCT
wu_daily_native_v1,1995-05-23,F,24,00:00,23:00,85.0,85,67.0,77.0,60.0,85.0,15:00|17:00|18:00,67.0,77.0,60.0,17.0,,85,False,0,True,Partly Cloudy,SCT
wu_daily_native_v1,1995-05-24,F,24,00:00,23:00,86.0,86,64.0,76.5,62.0,86.0,16:00|17:00|18:00,64.0,76.5,62.0,13.0,,86,False,0,True,Fair,CLR
wu_daily_native_v1,1995-05-25,F,24,00:00,23:00,91.0,91,68.0,79.71,64.0,91.0,16:00|17:00,68.0,79.71,64.0,16.0,,91,False,0,True,Partly Cloudy,SCT
wu_daily_native_v1,1995-05-26,F,24,00:00,23:00,91.0,91,70.0,81.25,67.0,91.0,14:00|15:00|18:00,70.0,81.25,67.0,12.0,,91,False,0,True,Fair,FEW
wu_daily_native_v1,1995-05-27,F,25,00:00,23:00,92.0,92,72.0,79.33,71.0,92.0,16:00,72.0,79.33,71.0,17.0,,92,True,1,True,Cloudy,OVC
wu_daily_native_v1,1995-05-28,F,28,00:00,23:00,87.0,87,69.0,76.5,71.0,87.0,14:00|17:00,69.0,76.5,71.0,13.0,,87,True,4,True,Mostly Cloudy,BKN
wu_daily_native_v1,1995-05-29,F,27,00:00,23:00,90.0,90,70.0,78.62,70.0,90.0,16:00,70.0,78.62,70.0,13.0,,90,True,3,True,Mostly Cloudy,BKN
wu_daily_native_v1,1995-05-30,F,24,00:00,23:00,85.0,85,73.0,77.71,71.0,85.0,15:00,73.0,77.71,71.0,13.0,,85,False,0,True,Mostly Cloudy,BKN
wu_daily_native_v1,1995-05-31,F,34,00:00,23:00,78.0,78,68.0,71.83,69.0,78.0,15:00,68.0,71.83,69.0,16.0,,78,True,10,True,Cloudy,OVC
wu_daily_native_v1,1995-06-01,F,31,00:00,23:00,86.0,86,68.0,76.12,71.0,86.0,14:00|17:00,68.0,76.12,71.0,21.0,,86,True,7,True,Cloudy,OVC
wu_daily_native_v1,1995-06-02,F,29,00:00,23:00,83.0,83,70.0,76.25,71.0,83.0,15:00,70.0,76.25,71.0,17.0,26.0,83,True,5,True,Cloudy,OVC
wu_daily_native_v1,1995-06-03,F,30,00:00,23:00,89.0,89,70.0,78.12,71.0,89.0,16:00,70.0,78.12,71.0,8.0,,89,True,6,True,Mostly Cloudy,BKN
wu_daily_native_v1,1995-06-04,F,24,00:00,23:00,88.0,88,71.0,79.67,71.0,88.0,14:00|15:00,71.0,79.67,71.0,14.0,,88,False,0,True,Cloudy,OVC
wu_daily_native_v1,1995-06-05,F,34,00:00,23:00,76.0,76,70.0,72.12,72.0,76.0,00:00,70.0,72.12,72.0,23.0,21.0,76,True,10,True,Cloudy,OVC
