schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,2019-05-01,F,29,00:53,23:53,84.0,84,76.0,78.76,72.0,84.0,17:53,76.0,78.76,72.0,18.0,29.0,84,True,29,False,Cloudy,OVC
wu_daily_native_v1,2019-05-02,F,28,00:53,23:53,82.0,82,62.0,71.54,73.0,82.0,13:53,62.0,71.54,73.0,24.0,33.0,82,True,28,False,Cloudy,OVC
wu_daily_native_v1,2019-05-03,F,47,00:53,23:53,83.0,83,63.0,70.28,73.0,83.0,15:53,63.0,70.28,73.0,35.0,45.0,83,True,47,False,Light Rain,OVC
wu_daily_native_v1,2019-05-04,F,26,00:01,23:53,81.0,81,60.0,70.85,65.0,81.0,14:53|15:53|17:53,60.0,70.85,65.0,17.0,,81,True,26,False,Fair,FEW
wu_daily_native_v1,2019-05-05,F,27,00:53,23:53,86.0,86,59.0,72.19,66.0,86.0,14:53|15:53,59.0,72.19,66.0,13.0,17.0,86,True,27,False,Fair,FEW
wu_daily_native_v1,2019-05-06,F,31,00:53,23:53,77.0,77,65.0,70.9,71.0,77.0,14:53|15:53,65.0,70.9,71.0,15.0,,77,True,31,False,Cloudy,OVC
wu_daily_native_v1,2019-05-07,F,38,00:53,23:53,86.0,86,67.0,74.71,74.0,86.0,15:53|16:53,67.0,74.71,74.0,28.0,37.0,86,True,38,False,Cloudy,BKN
wu_daily_native_v1,2019-05-08,F,37,00:53,23:53,79.0,79,68.0,73.59,72.0,79.0,17:53,68.0,73.59,72.0,15.0,30.0,79,True,37,False,Cloudy,OVC
wu_daily_native_v1,2019-05-09,F,38,00:53,23:53,86.0,86,66.0,77.58,74.0,86.0,11:53|12:53|13:53|14:53,66.0,77.58,74.0,23.0,30.0,86,True,38,False,Fog,OVC
wu_daily_native_v1,2019-05-10,F,26,00:53,23:53,68.0,68,57.0,62.04,57.0,68.0,15:53,57.0,62.04,57.0,25.0,29.0,68,True,26,False,Cloudy,OVC
wu_daily_native_v1,2019-05-11,F,41,00:53,23:53,67.0,67,59.0,62.22,60.0,67.0,14:53|16:12,59.0,62.22,60.0,14.0,,67,True,41,False,Cloudy,OVC
wu_daily_native_v1,2019-05-12,F,25,00:23,23:53,79.0,79,60.0,69.52,61.0,79.0,14:53|15:53|16:53,60.0,69.52,61.0,20.0,26.0,79,True,25,False,Fair,FEW
wu_daily_native_v1,2019-05-13,F,26,00:53,23:53,84.0,84,55.0,69.62,62.0,84.0,16:53,55.0,69.62,62.0,13.0,17.0,84,True,26,False,Fair,FEW
wu_daily_native_v1,2019-05-14,F,26,00:53,23:53,82.0,82,61.0,72.65,66.0,82.0,14:53,61.0,72.65,66.0,10.0,,82,True,26,False,Fair,FEW
wu_daily_native_v1,2019-05-15,F,24,00:53,23:53,87.0,87,64.0,75.67,67.0,87.0,15:53,64.0,75.67,67.0,9.0,,87,True,24,False,Fair,FEW
wu_daily_native_v1,2019-05-16,F,33,00:53,23:53,88.0,88,63.0,74.79,70.0,88.0,16:53|17:53,63.0,74.79,70.0,13.0,,88,True,33,False,Fair,BKN
wu_daily_native_v1,2019-05-17,F,27,00:53,23:53,91.0,91,74.0,81.0,73.0,91.0,14:53|15:53|16:53,74.0,81.0,73.0,21.0,29.0,91,True,27,False,Cloudy,BKN
wu_daily_native_v1,2019-05-18,F,37,00:53,23:53,88.0,88,77.0,80.76,78.0,88.0,12:53,77.0,80.76,78.0,24.0,33.0,88,True,37,False,Cloudy,OVC
wu_daily_native_v1,2019-05-19,F,30,00:53,23:53,92.0,92,75.0,82.37,76.0,92.0,15:53|16:53|17:53,75.0,82.37,76.0,10.0,,92,True,30,False,Cloudy,BKN
