schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,2019-05-01,F,35,00:58,23:58,45.0,45,35.0,38.71,41.0,45.0,12:24,35.0,38.71,41.0,15.0,20.0,45,True,35,False,Cloudy,OVC
wu_daily_native_v1,2019-05-02,F,24,00:58,23:58,58.0,58,33.0,45.79,36.0,58.0,14:58|15:58|16:58,33.0,45.79,36.0,15.0,,58,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-03,F,24,00:58,23:58,67.0,67,35.0,52.25,34.0,67.0,16:58,35.0,52.25,34.0,16.0,17.0,67,True,24,False,Fair,FEW
wu_daily_native_v1,2019-05-04,F,24,00:58,23:58,71.0,71,41.0,56.88,37.0,71.0,14:58,41.0,56.88,37.0,17.0,20.0,71,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-05,F,24,00:58,23:58,74.0,74,46.0,60.04,33.0,74.0,14:58,46.0,60.04,33.0,15.0,22.0,74,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2019-05-06,F,38,00:58,23:58,69.0,69,43.0,54.47,50.0,69.0,14:58|16:58,43.0,54.47,50.0,18.0,25.0,69,True,38,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-07,F,42,00:32,23:58,57.0,57,45.0,48.74,50.0,57.0,11:58,45.0,48.74,50.0,23.0,29.0,57,True,42,False,Cloudy,OVC
wu_daily_native_v1,2019-05-08,F,33,00:58,23:58,47.0,47,32.0,40.79,47.0,47.0,00:58,32.0,40.79,47.0,21.0,26.0,47,True,33,False,Light Rain,OVC
wu_daily_native_v1,2019-05-09,F,31,00:58,23:58,40.0,40,30.0,34.71,36.0,40.0,15:58,30.0,34.71,36.0,13.0,,40,True,31,False,Light Snow,OVC
wu_daily_native_v1,2019-05-10,F,24,00:58,23:58,54.0,54,33.0,43.42,41.0,54.0,16:58,33.0,43.42,41.0,15.0,20.0,54,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-11,F,24,00:58,23:58,63.0,63,35.0,47.67,39.0,63.0,13:58,35.0,47.67,39.0,23.0,31.0,63,True,24,False,Fair,FEW
wu_daily_native_v1,2019-05-12,F,24,00:58,23:58,71.0,71,37.0,54.96,38.0,71.0,16:58|17:58,37.0,54.96,38.0,14.0,21.0,71,True,24,False,Fair,FEW
wu_daily_native_v1,2019-05-13,F,24,00:58,23:58,78.0,78,45.0,62.12,39.0,78.0,14:58,45.0,62.12,39.0,13.0,,78,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2019-05-14,F,24,00:58,23:58,78.0,78,49.0,63.46,41.0,78.0,12:58|14:58,49.0,63.46,41.0,15.0,20.0,78,True,24,False,Fair,FEW
wu_daily_native_v1,2019-05-15,F,24,00:58,23:58,82.0,82,47.0,66.75,41.0,82.0,14:58,47.0,66.75,41.0,14.0,,82,True,24,False,Mostly Cloudy,FEW
wu_daily_native_v1,2019-05-16,F,24,00:58,23:58,79.0,79,53.0,64.58,45.0,79.0,12:58,53.0,64.58,45.0,15.0,26.0,79,True,24,False,Mostly Cloudy,BKN
