schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,2019-05-01,F,36,00:53,23:53,84.0,84,64.0,74.78,71.0,84.0,13:53|14:53,64.0,74.78,71.0,21.0,33.0,84,True,36,False,Mostly Cloudy,OVC
wu_daily_native_v1,2019-05-02,F,30,00:01,23:53,81.0,81,63.0,68.6,62.0,81.0,14:53,63.0,68.6,62.0,18.0,31.0,81,True,30,False,Cloudy,OVC
wu_daily_native_v1,2019-05-03,F,28,00:53,23:53,78.0,78,64.0,70.64,63.0,78.0,12:53,64.0,70.64,63.0,15.0,23.0,78,True,28,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-04,F,32,00:53,23:53,78.0,78,64.0,69.75,62.0,78.0,13:53|14:53|15:53|16:53,64.0,69.75,62.0,12.0,20.0,78,True,32,False,Cloudy,OVC
wu_daily_native_v1,2019-05-05,F,24,00:53,23:53,83.0,83,61.0,72.88,64.0,83.0,15:53|16:53|17:53,61.0,72.88,64.0,14.0,17.0,83,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2019-05-06,F,24,00:53,23:53,83.0,83,72.0,77.33,64.0,83.0,13:53|14:53|15:53|16:53,72.0,77.33,64.0,15.0,24.0,83,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-07,F,33,00:53,23:53,86.0,86,71.0,75.94,68.0,86.0,15:53|16:53,71.0,75.94,68.0,18.0,33.0,86,True,33,False,Cloudy,BKN
wu_daily_native_v1,2019-05-08,F,46,00:19,23:53,73.0,73,63.0,67.26,66.0,73.0,00:19|00:53|01:53,63.0,67.26,66.0,21.0,33.0,73,True,45,False,Cloudy,OVC
wu_daily_native_v1,2019-05-09,F,43,00:53,23:53,77.0,77,57.0,66.23,65.0,77.0,13:36,57.0,66.23,65.0,20.0,28.0,77,True,41,False,Cloudy,OVC
wu_daily_native_v1,2019-05-10,F,29,00:53,23:53,61.0,61,53.0,56.34,54.0,61.0,15:53,53.0,56.34,54.0,14.0,22.0,61,True,29,False,Cloudy,OVC
