schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,2019-05-01,F,30,00:53,23:53,83.0,83,75.0,78.27,71.0,83.0,10:53|11:53|12:53|13:53,75.0,78.27,71.0,22.0,30.0,83,True,30,False,Cloudy,BKN
wu_daily_native_v1,2019-05-02,F,33,00:53,23:53,85.0,85,74.0,78.21,71.0,85.0,13:53,74.0,78.21,71.0,23.0,28.0,85,True,33,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-03,F,32,00:53,23:53,79.0,79,73.0,75.5,71.0,79.0,16:53|17:53,73.0,75.5,71.0,17.0,24.0,79,True,30,False,Cloudy,OVC
wu_daily_native_v1,2019-05-04,F,37,00:53,23:53,85.0,85,67.0,73.92,72.0,85.0,16:53|17:53,67.0,73.92,72.0,17.0,25.0,85,True,37,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-05,F,24,00:53,23:53,84.0,84,70.0,76.38,66.0,84.0,15:53|16:53,70.0,76.38,66.0,14.0,17.0,84,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-06,F,24,00:53,23:53,83.0,83,66.0,75.29,67.0,83.0,13:53,66.0,75.29,67.0,18.0,24.0,83,True,24,False,Mostly Cloudy,OVC
wu_daily_native_v1,2019-05-07,F,51,00:53,23:53,81.0,81,67.0,74.86,74.0,81.0,10:24|10:42|11:53,67.0,74.86,74.0,24.0,30.0,81,True,51,False,Mostly Cloudy,OVC
wu_daily_native_v1,2019-05-08,F,31,00:24,23:53,83.0,83,71.0,77.84,74.0,83.0,14:53,71.0,77.84,74.0,18.0,26.0,83,True,31,False,Cloudy,OVC
wu_daily_native_v1,2019-05-09,F,45,00:53,23:53,89.0,89,68.0,77.71,75.0,89.0,15:53,68.0,77.71,75.0,28.0,47.0,89,True,44,False,Cloudy,OVC
wu_daily_native_v1,2019-05-10,F,31,00:53,23:53,77.0,77,68.0,71.97,67.0,77.0,17:53|18:53,68.0,71.97,67.0,25.0,31.0,77,True,31,False,Cloudy,OVC
wu_daily_native_v1,2019-05-11,F,44,00:53,23:53,74.0,74,70.0,71.95,71.0,74.0,11:40|17:53|18:17|18:32|18:53,70.0,71.95,71.0,12.0,,74,True,43,False,Mostly Cloudy,OVC
wu_daily_native_v1,2019-05-12,F,27,00:53,23:53,78.0,78,65.0,70.48,66.0,78.0,15:53|16:53|17:53,65.0,70.48,66.0,14.0,22.0,78,True,27,False,Mostly Cloudy,OVC
wu_daily_native_v1,2019-05-13,F,24,00:53,23:53,82.0,82,62.0,73.21,63.0,82.0,14:53|15:53|16:53|17:53,62.0,73.21,63.0,16.0,,82,True,24,False,Fair,FEW
wu_daily_native_v1,2019-05-14,F,24,00:53,23:53,85.0,85,68.0,76.17,65.0,85.0,14:53,68.0,76.17,65.0,15.0,28.0,85,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2019-05-15,F,24,00:53,23:53,84.0,84,69.0,76.96,66.0,84.0,13:53|14:53|15:53|16:53,69.0,76.96,66.0,15.0,23.0,84,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2019-05-16,F,25,00:53,23:53,85.0,85,69.0,76.8,68.0,85.0,13:53|14:53|15:53,69.0,76.8,68.0,16.0,21.0,85,True,25,False,Fair,FEW
wu_daily_native_v1,2019-05-17,F,29,00:53,23:53,86.0,86,70.0,78.0,72.0,86.0,12:53|13:53|15:53,70.0,78.0,72.0,21.0,24.0,86,True,29,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-18,F,28,00:45,23:53,85.0,85,78.0,80.18,75.0,85.0,12:53,78.0,80.18,75.0,20.0,32.0,85,True,28,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-19,F,26,00:53,23:53,90.0,90,79.0,83.08,75.0,90.0,14:53,79.0,83.08,75.0,16.0,,90,True,26,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-20,F,28,00:53,23:53,88.0,88,78.0,82.11,75.0,88.0,12:53|13:53|14:53,78.0,82.11,75.0,24.0,31.0,88,True,28,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-21,F,29,00:08,23:53,88.0,88,79.0,82.69,76.0,88.0,14:53|15:53|16:53,79.0,82.69,76.0,23.0,33.0,88,True,29,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-22,F,29,00:53,23:53,88.0,88,79.0,83.41,75.0,88.0,12:53|13:05|14:53,79.0,83.41,75.0,20.0,29.0,88,True,29,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-23,F,37,00:53,23:53,86.0,86,79.0,81.73,74.0,86.0,15:53,79.0,81.73,74.0,21.0,28.0,86,True,37,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-24,F,26,00:26,23:53,90.0,90,76.0,81.88,73.0,90.0,13:53,76.0,81.88,73.0,22.0,29.0,90,True,26,False,Partly Cloudy,SCT
wu_daily_native_v1,2019-05-25,F,26,00:53,23:53,89.0,89,76.0,82.38,73.0,89.0,13:53|15:53,76.0,82.38,73.0,20.0,29.0,89,True,26,False,Partly Cloudy,SCT
wu_daily_native_v1,2019-05-26,F,24,00:53,23:53,90.0,90,74.0,81.58,71.0,90.0,14:53,74.0,81.58,71.0,16.0,22.0,90,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-27,F,24,00:53,23:53,90.0,90,74.0,81.62,71.0,90.0,13:53,74.0,81.62,71.0,20.0,25.0,90,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-28,F,25,00:53,23:53,91.0,91,77.0,82.88,75.0,91.0,14:53,77.0,82.88,75.0,22.0,31.0,91,True,25,False,Partly Cloudy,SCT
wu_daily_native_v1,2019-05-29,F,6,18:53,23:53,84.0,84,79.0,80.5,71.0,84.0,18:53,79.0,80.5,71.0,14.0,,84,True,6,False,Fair,FEW
wu_daily_native_v1,2019-05-30,F,35,00:53,23:53,90.0,90,77.0,80.91,77.0,90.0,12:53,77.0,80.91,77.0,18.0,28.0,90,True,33,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-31,F,28,00:53,23:53,91.0,91,75.0,80.68,76.0,91.0,13:53,75.0,80.68,76.0,16.0,,91,True,28,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-06-01,F,24,00:53,23:53,91.0,91,74.0,82.42,75.0,91.0,14:53|15:53,74.0,82.42,75.0,13.0,,91,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-06-02,F,24,00:53,23:53,92.0,92,76.0,83.83,75.0,92.0,14:53|16:53,76.0,83.83,75.0,12.0,,92,True,24,False,Partly Cloudy,SCT
