schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,2015-01-01,F,24,00:53,23:53,56.0,56,37.0,47.33,40.0,56.0,13:53|14:53,37.0,47.33,40.0,9.0,,56,True,24,False,Fair,CLR
wu_daily_native_v1,2015-01-02,F,24,00:53,23:53,56.0,56,39.0,48.62,43.0,56.0,13:53|14:53,39.0,48.62,43.0,9.0,,56,True,24,False,Fair,CLR
wu_daily_native_v1,2015-01-03,F,24,00:53,23:53,58.0,58,43.0,50.96,47.0,58.0,11:53|12:53|13:53,43.0,50.96,47.0,12.0,,58,True,24,False,Fair,CLR
wu_daily_native_v1,2015-01-04,F,24,00:53,23:53,61.0,61,45.0,53.83,53.0,61.0,12:53,45.0,53.83,53.0,10.0,,61,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2015-01-05,F,24,00:53,23:53,79.0,79,52.0,65.12,43.0,79.0,12:53,52.0,65.12,43.0,10.0,,79,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2015-01-06,F,25,00:53,23:53,83.0,83,58.0,67.72,45.0,83.0,13:53,58.0,67.72,45.0,12.0,,83,True,25,False,Fair,CLR
wu_daily_native_v1,2015-01-07,F,24,00:53,23:53,76.0,76,54.0,62.88,49.0,76.0,10:53,54.0,62.88,49.0,13.0,,76,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2015-01-08,F,26,00:53,23:53,69.0,69,52.0,59.77,57.0,69.0,11:53|12:53,52.0,59.77,57.0,13.0,,69,True,26,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-09,F,28,00:53,23:53,70.0,70,56.0,60.86,58.0,70.0,13:53,56.0,60.86,58.0,13.0,,70,True,28,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-10,F,32,00:53,23:53,61.0,61,53.0,55.97,55.0,61.0,12:53,53.0,55.97,55.0,7.0,,61,True,32,False,Light Rain,OVC
wu_daily_native_v1,2015-01-11,F,42,00:53,23:53,61.0,61,55.0,57.31,58.0,61.0,13:27|14:16,55.0,57.31,58.0,10.0,,61,True,42,False,Light Rain,OVC
