schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,2019-05-01,F,35,00:51,23:51,54.0,54,48.0,50.91,49.0,54.0,12:51|13:51|14:51,48.0,50.91,49.0,12.0,,54,True,35,False,Cloudy,OVC
wu_daily_native_v1,2019-05-02,F,35,00:48,23:51,70.0,70,46.0,54.86,55.0,70.0,13:51,46.0,54.86,55.0,17.0,22.0,70,True,34,False,Mostly Cloudy,OVC
wu_daily_native_v1,2019-05-03,F,56,00:51,23:51,52.0,52,48.0,49.96,50.0,52.0,15:59|16:09,48.0,49.96,50.0,13.0,,52,True,56,False,Cloudy,OVC
wu_daily_native_v1,2019-05-04,F,39,00:11,23:51,66.0,66,50.0,54.67,58.0,66.0,15:51,50.0,54.67,58.0,10.0,22.0,66,True,39,False,Cloudy,OVC
wu_daily_native_v1,2019-05-05,F,51,00:15,23:51,55.0,55,49.0,51.51,55.0,55.0,00:15|00:44,49.0,51.51,55.0,22.0,30.0,55,True,51,False,Light Rain,OVC
wu_daily_native_v1,2019-05-06,F,28,00:21,23:51,66.0,66,49.0,55.32,49.0,66.0,14:51,49.0,55.32,49.0,24.0,30.0,66,True,28,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-07,F,26,00:51,23:51,64.0,64,52.0,57.5,55.0,64.0,15:51,52.0,57.5,55.0,16.0,22.0,64,True,26,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-08,F,24,00:51,23:51,67.0,67,55.0,59.29,56.0,67.0,14:51,55.0,59.29,56.0,14.0,,67,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-09,F,25,00:51,23:51,59.0,59,52.0,55.4,50.0,59.0,12:51|13:51|14:51,52.0,55.4,50.0,17.0,24.0,59,True,25,False,Cloudy,OVC
wu_daily_native_v1,2019-05-10,F,30,01:51,23:51,73.0,73,56.0,63.77,64.0,73.0,16:51|17:51|20:51,56.0,63.77,64.0,14.0,22.0,73,True,30,False,Cloudy,OVC
wu_daily_native_v1,2019-05-11,F,26,00:51,23:51,70.0,70,57.0,63.08,62.0,70.0,00:51,57.0,63.08,62.0,15.0,21.0,70,True,26,False,Mostly Cloudy,OVC
wu_daily_native_v1,2019-05-12,F,39,00:51,23:51,59.0,59,45.0,49.0,51.0,59.0,00:51,45.0,49.0,51.0,25.0,33.0,59,True,39,False,Light Rain,OVC
wu_daily_native_v1,2019-05-13,F,38,00:47,23:51,49.0,49,42.0,46.58,45.0,49.0,11:51|12:51|13:27|14:35|15:51|16:51,42.0,46.58,45.0,23.0,29.0,49,True,38,False,Cloudy,OVC
wu_daily_native_v1,2019-05-14,F,39,00:17,23:51,50.0,50,44.0,47.08,46.0,50.0,14:51|15:51|16:51|17:51|18:08,44.0,47.08,46.0,13.0,,50,True,39,False,Cloudy,OVC
wu_daily_native_v1,2019-05-15,F,28,00:44,23:51,67.0,67,47.0,55.46,48.0,67.0,15:51|16:51,47.0,55.46,48.0,16.0,25.0,67,True,28,False,Partly Cloudy,OVC
wu_daily_native_v1,2019-05-16,F,25,00:51,23:51,73.0,73,56.0,64.08,50.0,73.0,17:51,56.0,64.08,50.0,14.0,20.0,73,True,25,False,Partly Cloudy,SCT
wu_daily_native_v1,2019-05-17,F,24,00:51,23:51,78.0,78,63.0,70.42,61.0,78.0,18:51,63.0,70.42,61.0,15.0,22.0,78,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-18,F,24,00:51,23:51,74.0,74,59.0,64.54,49.0,74.0,14:51,59.0,64.54,49.0,16.0,,74,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2019-05-19,F,25,00:51,23:51,75.0,75,60.0,67.36,64.0,75.0,16:51,60.0,67.36,64.0,20.0,30.0,75,True,25,False,Mostly Cloudy,BKN
