schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,2015-01-01,F,24,00:53,23:53,81.0,81,70.0,75.21,70.0,81.0,12:53|13:53,70.0,75.21,70.0,13.0,,81,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-02,F,28,00:53,23:53,82.0,82,72.0,76.86,72.0,82.0,13:53,72.0,76.86,72.0,16.0,21.0,82,True,28,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-03,F,24,00:53,23:53,82.0,82,76.0,78.25,71.0,82.0,10:53|11:53|12:53,76.0,78.25,71.0,15.0,24.0,82,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-04,F,26,00:53,23:53,83.0,83,75.0,78.23,72.0,83.0,13:53,75.0,78.23,72.0,16.0,24.0,83,True,26,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-05,F,28,00:53,23:53,84.0,84,73.0,77.18,72.0,84.0,13:53,73.0,77.18,72.0,10.0,,84,True,28,False,Partly Cloudy,SCT
wu_daily_native_v1,2015-01-06,F,26,00:53,23:53,82.0,82,72.0,76.73,70.0,82.0,10:53|12:53|14:53,72.0,76.73,70.0,13.0,16.0,82,True,26,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-07,F,27,00:49,23:53,79.0,79,65.0,73.11,70.0,79.0,13:53|14:53|15:53,65.0,73.11,70.0,10.0,,79,True,27,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-08,F,24,00:53,23:53,72.0,72,56.0,64.96,60.0,72.0,13:53|14:53,56.0,64.96,60.0,16.0,24.0,72,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-09,F,24,00:53,23:53,77.0,77,65.0,70.79,62.0,77.0,14:53|15:53,65.0,70.79,62.0,9.0,,77,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-10,F,36,00:11,23:53,77.0,77,59.0,68.72,64.0,77.0,14:53|15:53,59.0,68.72,64.0,14.0,21.0,77,True,36,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-11,F,26,00:53,23:53,80.0,80,70.0,75.46,70.0,80.0,10:53|13:53,70.0,75.46,70.0,20.0,24.0,80,True,26,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-12,F,42,00:29,23:53,79.0,79,75.0,76.64,72.0,79.0,09:44|10:50|13:50|13:53|14:50|14:53,75.0,76.64,72.0,22.0,24.0,79,True,42,False,Cloudy,OVC
wu_daily_native_v1,2015-01-13,F,38,00:42,23:53,79.0,79,71.0,73.66,71.0,79.0,13:53|15:50|15:53,71.0,73.66,71.0,14.0,,79,True,38,False,Mostly Cloudy,OVC
wu_daily_native_v1,2015-01-14,F,41,00:53,23:53,77.0,77,68.0,71.12,68.0,77.0,15:01,68.0,71.12,68.0,10.0,,77,True,41,False,Mostly Cloudy,OVC
wu_daily_native_v1,2015-01-15,F,39,00:07,23:53,78.0,78,63.0,69.82,66.0,78.0,15:53,63.0,69.82,66.0,13.0,20.0,78,True,39,False,Cloudy,OVC
wu_daily_native_v1,2015-01-16,F,28,00:39,23:53,73.0,73,62.0,66.79,64.0,73.0,11:53,62.0,66.79,64.0,14.0,22.0,73,True,28,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-17,F,24,00:53,23:53,77.0,77,56.0,67.33,58.0,77.0,15:53,56.0,67.33,58.0,15.0,21.0,77,True,24,False,Fair,FEW
wu_daily_native_v1,2015-01-18,F,24,00:53,23:53,77.0,77,63.0,70.29,62.0,77.0,12:53|13:53|15:53|16:53,63.0,70.29,62.0,10.0,,77,True,24,False,Fair,FEW
wu_daily_native_v1,2015-01-19,F,24,00:53,23:53,74.0,74,58.0,66.71,55.0,74.0,12:53|13:53|14:53|15:53,58.0,66.71,55.0,14.0,,74,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-20,F,24,00:53,23:53,73.0,73,66.0,70.25,62.0,73.0,09:53|10:53|11:53|12:53|13:53|14:53,66.0,70.25,62.0,10.0,,73,True,24,False,Cloudy,OVC
wu_daily_native_v1,2015-01-21,F,24,00:53,23:53,81.0,81,69.0,74.46,66.0,81.0,13:53,69.0,74.46,66.0,13.0,18.0,81,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2015-01-22,F,24,00:53,23:53,80.0,80,68.0,74.08,65.0,80.0,14:53,68.0,74.08,65.0,14.0,17.0,80,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2015-01-23,F,26,00:53,23:53,78.0,78,71.0,74.19,69.0,78.0,11:53|12:53|13:53,71.0,74.19,69.0,17.0,25.0,78,True,26,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-24,F,28,00:53,23:53,77.0,77,59.0,70.46,70.0,77.0,10:53,59.0,70.46,70.0,21.0,28.0,77,True,28,False,Cloudy,OVC
wu_daily_native_v1,2015-01-25,F,24,00:53,23:53,66.0,66,53.0,59.46,51.0,66.0,13:53|14:53|15:53|16:53,53.0,59.46,51.0,10.0,17.0,66,True,24,False,Fair,FEW
wu_daily_native_v1,2015-01-26,F,27,00:53,23:53,76.0,76,53.0,64.11,60.0,76.0,14:53,53.0,64.11,60.0,20.0,36.0,76,True,27,False,Fair,FEW
wu_daily_native_v1,2015-01-27,F,24,00:53,23:53,70.0,70,56.0,61.29,52.0,70.0,15:53|16:53,56.0,61.29,52.0,14.0,20.0,70,True,24,False,Fair,CLR
wu_daily_native_v1,2015-01-28,F,25,00:53,23:53,68.0,68,55.0,60.64,55.0,68.0,14:53|15:53,55.0,60.64,55.0,14.0,22.0,68,True,25,False,Fair,CLR
wu_daily_native_v1,2015-01-29,F,24,00:53,23:53,72.0,72,54.0,63.62,53.0,72.0,12:53,54.0,63.62,53.0,16.0,22.0,72,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2015-01-30,F,24,00:53,23:53,74.0,74,59.0,66.92,55.0,74.0,13:53|14:53|15:53|16:53,59.0,66.92,55.0,10.0,,74,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-31,F,24,00:53,23:53,74.0,74,61.0,67.54,57.0,74.0,10:53|11:53,61.0,67.54,57.0,16.0,25.0,74,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-02-01,F,24,00:53,23:53,75.0,75,65.0,70.21,61.0,75.0,11:53|12:53,65.0,70.21,61.0,17.0,23.0,75,True,24,False,Partly Cloudy,SCT
wu_daily_native_v1,2015-02-02,F,28,00:53,23:53,84.0,84,68.0,73.86,69.0,84.0,13:53,68.0,73.86,69.0,18.0,25.0,84,True,28,False,Fair,BKN
wu_daily_native_v1,2015-02-03,F,24,00:53,23:53,76.0,76,57.0,66.96,60.0,76.0,12:53|14:53,57.0,66.96,60.0,14.0,20.0,76,True,24,False,Fair,FEW
wu_daily_native_v1,2015-02-04,F,24,00:53,23:53,77.0,77,65.0,71.79,67.0,77.0,13:53,65.0,71.79,67.0,14.0,,77,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-02-05,F,43,00:53,23:53,74.0,74,63.0,70.88,71.0,74.0,05:53|06:53|07:53|08:20,63.0,70.88,71.0,25.0,37.0,74,True,43,False,Cloudy,OVC
wu_daily_native_v1,2015-02-06,F,25,00:53,23:53,74.0,74,57.0,65.8,59.0,74.0,14:53,57.0,65.8,59.0,16.0,22.0,74,True,25,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-02-07,F,24,00:53,23:53,72.0,72,64.0,68.0,55.0,72.0,10:53,64.0,68.0,55.0,18.0,25.0,72,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-02-08,F,24,00:53,23:53,77.0,77,61.0,69.75,61.0,77.0,13:53,61.0,69.75,61.0,14.0,22.0,77,True,24,False,Partly Cloudy,BKN
wu_daily_native_v1,2015-02-09,F,26,00:53,23:53,78.0,78,64.0,69.69,67.0,78.0,13:53,64.0,69.69,67.0,16.0,24.0,78,True,26,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-02-10,F,38,00:31,23:53,75.0,75,59.0,66.24,65.0,75.0,13:53|14:53,59.0,66.24,65.0,21.0,30.0,75,True,37,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-02-11,F,24,00:53,23:53,73.0,73,54.0,63.38,53.0,73.0,14:53|15:53,54.0,63.38,53.0,10.0,,73,True,24,False,Fair,CLR
wu_daily_native_v1,2015-02-12,F,24,00:53,23:53,75.0,75,58.0,66.33,55.0,75.0,15:53|16:53,58.0,66.33,55.0,9.0,,75,True,24,False,Partly Cloudy,FEW
wu_daily_native_v1,2015-02-13,F,24,00:53,23:53,74.0,74,54.0,63.54,54.0,74.0,15:53|16:53,54.0,63.54,54.0,12.0,20.0,74,True,24,False,Fair,CLR
wu_daily_native_v1,2015-02-14,F,24,00:53,23:53,66.0,66,48.0,56.88,45.0,66.0,15:53,48.0,56.88,45.0,12.0,20.0,66,True,24,False,Fair,CLR
wu_daily_native_v1,2015-02-15,F,24,00:53,23:53,76.0,76,50.0,62.21,50.0,76.0,14:53,50.0,62.21,50.0,12.0,16.0,76,True,24,False,Fair,FEW
