schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,2015-01-01,F,24,00:51,23:51,31.0,31,14.0,22.54,15.0,31.0,14:51,14.0,22.54,15.0,21.0,30.0,31,True,24,False,Fair,BKN
wu_daily_native_v1,2015-01-02,F,24,00:51,23:51,34.0,34,18.0,26.42,21.0,34.0,13:51,18.0,26.42,21.0,9.0,,34,True,24,False,Cloudy,OVC
wu_daily_native_v1,2015-01-03,F,55,00:51,23:51,34.0,34,29.0,32.2,34.0,34.0,13:47|14:12|14:23|14:51|15:51|16:51|19:31|21:48|22:49,29.0,32.2,34.0,9.0,,34,True,53,False,Light Rain,OVC
wu_daily_native_v1,2015-01-04,F,57,00:51,23:51,33.0,33,2.0,23.61,32.0,33.0,00:51|00:58|01:51|02:10|02:25|02:51,2.0,23.61,32.0,25.0,31.0,33,True,56,False,Light Snow,OVC
wu_daily_native_v1,2015-01-05,F,36,00:51,23:51,7.0,7,-3.0,2.81,2.0,7.0,22:47|22:49,-3.0,2.81,2.0,17.0,24.0,7,True,35,False,Light Snow,OVC
wu_daily_native_v1,2015-01-06,F,31,00:02,23:51,10.0,10,-4.0,5.61,2.0,10.0,13:51,-4.0,5.61,2.0,23.0,29.0,10,True,31,False,Light Snow,OVC
wu_daily_native_v1,2015-01-07,F,24,00:51,23:51,5.0,5,-5.0,-0.08,-4.0,5.0,00:51,-5.0,-0.08,-4.0,25.0,33.0,5,True,24,False,Fair,FEW
wu_daily_native_v1,2015-01-08,F,64,00:51,23:51,18.0,18,-8.0,7.83,13.0,18.0,21:33|21:40|21:43|21:51,-8.0,7.83,13.0,28.0,39.0,18,True,63,False,Light Snow / Windy,OVC
wu_daily_native_v1,2015-01-09,F,32,00:02,23:51,11.0,11,1.0,5.31,5.0,11.0,00:02,1.0,5.31,5.0,24.0,37.0,11,True,31,False,Partly Cloudy,BKN
wu_daily_native_v1,2015-01-10,F,24,00:51,23:51,24.0,24,-2.0,10.58,12.0,24.0,22:51|23:51,-2.0,10.58,12.0,22.0,25.0,24,True,24,False,Cloudy,OVC
wu_daily_native_v1,2015-01-11,F,43,00:51,23:51,32.0,32,23.0,27.77,27.0,32.0,13:51|14:51,23.0,27.77,27.0,17.0,,32,True,43,False,Light Snow,OVC
wu_daily_native_v1,2015-01-12,F,35,00:24,23:51,28.0,28,15.0,20.37,27.0,28.0,00:24|00:37|00:47|00:51|01:42|01:51|02:51,15.0,20.37,27.0,17.0,23.0,28,True,35,False,Cloudy,OVC
wu_daily_native_v1,2015-01-13,F,30,00:51,23:51,19.0,19,6.0,15.77,10.0,19.0,00:51|01:16|01:51|02:51|12:51|13:51,6.0,15.77,10.0,14.0,21.0,19,True,30,False,Light Snow,OVC
wu_daily_native_v1,2015-01-14,F,25,00:51,23:51,19.0,19,3.0,12.36,11.0,19.0,14:51|15:51,3.0,12.36,11.0,10.0,,19,True,25,False,Cloudy,OVC
wu_daily_native_v1,2015-01-15,F,26,00:06,23:51,34.0,34,17.0,24.62,22.0,34.0,14:51|15:51,17.0,24.62,22.0,16.0,22.0,34,True,26,False,Fair,OVC
wu_daily_native_v1,2015-01-16,F,27,00:51,23:51,33.0,33,23.0,28.74,25.0,33.0,11:51|12:15|12:51|13:18|13:51|14:14,23.0,28.74,25.0,15.0,,33,True,27,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-17,F,26,00:51,23:51,42.0,42,26.0,37.35,32.0,42.0,12:51|13:51,26.0,37.35,32.0,24.0,37.0,42,True,26,False,Cloudy,OVC
wu_daily_native_v1,2015-01-18,F,31,00:06,23:51,40.0,40,28.0,35.0,31.0,40.0,13:51,28.0,35.0,31.0,16.0,24.0,40,True,31,False,Partly Cloudy,OVC
wu_daily_native_v1,2015-01-19,F,24,00:51,23:51,40.0,40,25.0,32.46,30.0,40.0,12:51|13:51,25.0,32.46,30.0,10.0,,40,True,24,False,Cloudy,OVC
wu_daily_native_v1,2015-01-20,F,30,00:51,23:51,36.0,36,30.0,32.77,33.0,36.0,10:38|10:51|11:51|12:24|12:51|13:51,30.0,32.77,33.0,16.0,,36,True,30,False,Cloudy,OVC
wu_daily_native_v1,2015-01-21,F,28,00:51,23:51,32.0,32,29.0,30.71,29.0,32.0,09:51|10:51|11:51|12:30|12:51|13:51|14:51|15:51,29.0,30.71,29.0,13.0,,32,True,28,False,Cloudy,OVC
wu_daily_native_v1,2015-01-22,F,30,00:10,23:51,31.0,31,28.0,29.73,24.0,31.0,09:51|10:51|11:51|12:51|13:51|14:51|15:51|16:51|17:51|18:51,28.0,29.73,24.0,13.0,,31,True,30,False,Cloudy,OVC
wu_daily_native_v1,2015-01-23,F,26,00:51,23:51,31.0,31,29.0,29.58,24.0,31.0,12:51|13:51|14:51|22:51,29.0,29.58,24.0,15.0,22.0,31,True,26,False,Cloudy,OVC
wu_daily_native_v1,2015-01-24,F,33,00:51,23:51,41.0,41,29.0,33.58,31.0,41.0,11:51,29.0,33.58,31.0,15.0,,41,True,33,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-25,F,39,00:07,23:51,34.0,34,24.0,29.21,32.0,34.0,04:51,24.0,29.21,32.0,22.0,32.0,34,True,39,False,Light Snow,OVC
wu_daily_native_v1,2015-01-26,F,40,00:51,23:51,26.0,26,16.0,24.07,24.0,26.0,12:51|13:51|14:16|14:40|14:44|15:51|16:23|21:51|21:57|22:51|23:51,16.0,24.07,24.0,12.0,,26,True,40,False,Light Snow,OVC
wu_daily_native_v1,2015-01-27,F,33,00:51,23:51,31.0,31,21.0,27.18,25.0,31.0,12:34|12:51|13:51,21.0,27.18,25.0,10.0,,31,True,33,False,Cloudy,OVC
wu_daily_native_v1,2015-01-28,F,24,00:51,23:51,34.0,34,20.0,28.29,26.0,34.0,22:51,20.0,28.29,26.0,20.0,24.0,34,True,24,False,Cloudy,BKN
wu_daily_native_v1,2015-01-29,F,36,00:51,23:51,35.0,35,29.0,33.19,29.0,35.0,01:51|02:51|06:14|06:51|07:51,29.0,33.19,29.0,23.0,32.0,35,True,36,False,Cloudy,OVC
wu_daily_native_v1,2015-01-30,F,24,00:51,23:51,28.0,28,20.0,23.92,14.0,28.0,00:51|12:51|13:51|14:51|15:51,20.0,23.92,14.0,16.0,20.0,28,True,24,False,Fair,FEW
wu_daily_native_v1,2015-01-31,F,31,00:51,23:51,36.0,36,21.0,30.58,29.0,36.0,15:51,21.0,30.58,29.0,13.0,,36,True,30,False,Cloudy,OVC
wu_daily_native_v1,2015-02-01,F,44,00:41,23:51,31.0,31,19.0,24.68,30.0,31.0,01:34|01:51|02:51|03:51,19.0,24.68,30.0,25.0,39.0,31,True,44,False,Snow,OVC
wu_daily_native_v1,2015-02-02,F,29,00:51,23:51,17.0,17,6.0,10.86,11.0,17.0,12:51|13:51,6.0,10.86,11.0,22.0,31.0,17,True,29,False,Light Snow,OVC
wu_daily_native_v1,2015-02-03,F,43,00:51,23:51,26.0,26,6.0,19.95,22.0,26.0,22:11,6.0,19.95,22.0,13.0,,26,True,41,False,Cloudy,OVC
