schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,2015-01-01,F,24,00:53,23:53,41.0,41,27.0,33.71,26.0,41.0,13:53|14:53|15:53,27.0,33.71,26.0,9.0,,41,True,24,False,Fair,SCT
wu_daily_native_v1,2015-01-02,F,34,00:53,23:53,41.0,41,32.0,37.62,39.0,41.0,15:53|16:53|17:25|21:12|21:53|21:55,32.0,37.62,39.0,15.0,,41,True,34,False,Cloudy,OVC
wu_daily_native_v1,2015-01-03,F,30,00:53,23:53,40.0,40,36.0,38.2,38.0,40.0,00:53|13:53|14:53|16:53|17:53|18:53|19:53|22:53,36.0,38.2,38.0,7.0,,40,True,30,False,Cloudy,OVC
wu_daily_native_v1,2015-01-04,F,33,00:16,23:53,51.0,51,37.0,42.76,48.0,51.0,22:53|23:53,37.0,42.76,48.0,22.0,30.0,51,True,33,False,Light Rain,OVC
wu_daily_native_v1,2015-01-05,F,35,00:53,23:53,54.0,54,49.0,52.94,52.0,54.0,08:13|11:09|13:36|13:55|13:59|14:53|15:14|15:53|16:53|17:34|18:12|18:53|22:01,49.0,52.94,52.0,24.0,30.0,54,True,35,False,Cloudy,OVC
wu_daily_native_v1,2015-01-06,F,29,00:53,23:53,54.0,54,43.0,47.76,47.0,54.0,13:29|13:53,43.0,47.76,47.0,7.0,,54,True,29,False,Cloudy,OVC
wu_daily_native_v1,2015-01-07,F,48,00:53,23:53,46.0,46,42.0,44.4,44.0,46.0,14:53|15:53,42.0,44.4,44.0,9.0,,46,True,48,False,Fog,OVC
wu_daily_native_v1,2015-01-08,F,40,00:53,23:53,46.0,46,35.0,39.45,40.0,46.0,14:53,35.0,39.45,40.0,12.0,,46,True,40,False,Fog,OVC
wu_daily_native_v1,2015-01-09,F,29,00:13,23:53,50.0,50,38.0,41.97,41.0,50.0,14:53,38.0,41.97,41.0,6.0,,50,True,29,False,Fog,OVC
wu_daily_native_v1,2015-01-10,F,40,00:53,23:53,46.0,46,43.0,45.08,45.0,46.0,11:53|12:53|13:53|14:53|15:53|16:11|16:21|16:53|17:21|17:53|18:33|18:53|19:53|20:53|21:53|22:53|23:04|23:32,43.0,45.08,45.0,5.0,,46,True,40,False,Fog,OVC
wu_daily_native_v1,2015-01-11,F,39,00:53,23:53,48.0,48,45.0,46.56,46.0,48.0,11:53|12:53|13:42|13:53|14:41|14:53|15:13|15:24|15:53|16:24|16:53|17:53|18:41,45.0,46.56,46.0,8.0,,48,True,39,False,Fog,OVC
wu_daily_native_v1,2015-01-12,F,32,00:53,23:53,50.0,50,39.0,44.62,43.0,50.0,11:53|12:53,39.0,44.62,43.0,8.0,,50,True,32,False,Cloudy,OVC
wu_daily_native_v1,2015-01-13,F,39,00:11,23:53,48.0,48,37.0,41.1,41.0,48.0,12:53|13:53|14:53,37.0,41.1,41.0,12.0,,48,True,39,False,Fog,OVC
wu_daily_native_v1,2015-01-14,F,39,00:53,23:53,43.0,43,34.0,37.95,37.0,43.0,13:28,34.0,37.95,37.0,10.0,24.0,43,True,39,False,Fog,BKN
wu_daily_native_v1,2015-01-15,F,26,00:53,23:53,46.0,46,36.0,41.31,41.0,46.0,15:53,36.0,41.31,41.0,15.0,24.0,46,True,26,False,Light Rain,OVC
wu_daily_native_v1,2015-01-16,F,30,00:53,23:53,52.0,52,43.0,47.67,45.0,52.0,12:32|12:48|12:53|13:53,43.0,47.67,45.0,18.0,29.0,52,True,30,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-17,F,26,00:53,23:53,56.0,56,39.0,45.42,52.0,56.0,23:53,39.0,45.42,52.0,21.0,29.0,56,True,26,False,Light Rain,OVC
wu_daily_native_v1,2015-01-18,F,39,00:53,23:53,55.0,55,46.0,49.38,52.0,55.0,00:53|01:12,46.0,49.38,52.0,28.0,47.0,55,True,38,False,Light Rain,OVC
