schema_version,local_date,temperature_unit,row_count,first_time,last_time,max_temp,max_temp_bucket,min_temp,avg_temp,max_dewpoint,max_temp_c,max_temp_times,min_temp_c,avg_temp_c,max_dewpoint_c,max_wind_kmh,max_gust_kmh,max_temp_bucket_c,has_non_hourly_rows,non_hourly_count,max_on_hour_mark,condition_mode,cloud_mode
wu_daily_native_v1,2015-01-01,F,24,00:56,23:56,54.0,54,40.0,49.33,38.0,54.0,12:56|13:56|14:56|15:56,40.0,49.33,38.0,17.0,,54,True,24,False,Fair,CLR
wu_daily_native_v1,2015-01-02,F,25,00:56,23:56,52.0,52,38.0,45.36,38.0,52.0,14:56,38.0,45.36,38.0,5.0,,52,True,25,False,Fair,FEW
wu_daily_native_v1,2015-01-03,F,24,00:56,23:56,53.0,53,39.0,45.96,45.0,53.0,13:56|14:56|15:56,39.0,45.96,45.0,7.0,,53,True,24,False,Fair,FEW
wu_daily_native_v1,2015-01-04,F,24,00:56,23:56,54.0,54,42.0,48.04,46.0,54.0,13:56,42.0,48.04,46.0,9.0,,54,True,24,False,Fair,BKN
wu_daily_native_v1,2015-01-05,F,24,00:56,23:56,59.0,59,44.0,50.67,48.0,59.0,14:56,44.0,50.67,48.0,6.0,,59,True,24,False,Fair,BKN
wu_daily_native_v1,2015-01-06,F,24,00:56,23:56,59.0,59,45.0,52.38,48.0,59.0,12:56|15:56,45.0,52.38,48.0,6.0,,59,True,24,False,Fair,FEW
wu_daily_native_v1,2015-01-07,F,24,00:56,23:56,59.0,59,45.0,53.04,53.0,59.0,14:56|17:56,45.0,53.04,53.0,6.0,,59,True,24,False,Fair,CLR
wu_daily_native_v1,2015-01-08,F,24,00:56,23:56,58.0,58,49.0,53.67,52.0,58.0,15:56|16:56|17:56,49.0,53.67,52.0,5.0,,58,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-09,F,25,00:56,23:56,62.0,62,51.0,54.88,55.0,62.0,15:56,51.0,54.88,55.0,12.0,,62,True,25,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-10,F,29,00:56,23:56,60.0,60,50.0,53.83,55.0,60.0,15:56,50.0,53.83,55.0,12.0,,60,True,29,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-11,F,32,00:56,23:56,56.0,56,48.0,52.03,53.0,56.0,15:56,48.0,52.03,53.0,17.0,,56,True,32,False,Partly Cloudy,BKN
wu_daily_native_v1,2015-01-12,F,30,00:56,23:56,61.0,61,48.0,52.17,55.0,61.0,15:56,48.0,52.17,55.0,17.0,,61,True,30,False,Partly Cloudy,OVC
wu_daily_native_v1,2015-01-13,F,29,00:56,23:56,63.0,63,47.0,52.83,51.0,63.0,13:56|14:56|15:56,47.0,52.83,51.0,5.0,,63,True,29,False,Fair,CLR
wu_daily_native_v1,2015-01-14,F,24,00:56,23:56,58.0,58,44.0,52.25,53.0,58.0,14:56,44.0,52.25,53.0,8.0,,58,True,24,False,Mostly Cloudy,BKN
wu_daily_native_v1,2015-01-15,F,24,00:56,23:56,58.0,58,46.0,52.54,53.0,58.0,15:56|16:56|17:56,46.0,52.54,53.0,6.0,,58,True,24,False,Cloudy,OVC
wu_daily_native_v1,2015-01-16,F,29,00:56,23:56,57.0,57,48.0,53.79,55.0,57.0,15:56|16:25|18:56,48.0,53.79,55.0,8.0,,57,True,29,False,Cloudy,OVC
