hypothesis,axis,cell,band_rows,snapshots,date_clusters,market_clusters,market_days,population_share,model_brier,market_brier,edge,ci_low,ci_high,standard_error,raw_p,raw_power_abs_effect,family_power_abs_effect,raw_80pct_mde,family_80pct_mde,lodo_positive_share,lomo_positive_share,valid_book_share,reward_window_share,holm_adjusted_p,support_ok,stability_ok,statistical_ok,skill_candidate,min_size_evidence,quotable_candidate,economic_all_scenarios_cleared_share,economic_zero_reward_scenarios_cleared_share
hour:07,hour,07,45859,4169,49,12,514,0.3392464805923997,0.07810745942128208,0.06043639348873722,-0.017671065932544864,-0.023810160293769655,-0.012089214343637689,0.0029747294056359083,0.9999999985783142,0.9999912866002705,0.9954190127307753,0.007396589883976335,0.01242266427336118,0.0,0.0,0.7551407575394143,0.7320918467476395,1.0,True,False,False,False,ABSENT,False,,
hour:08,hour,08,5478,498,49,12,488,0.04052404589470258,0.07605592477926798,0.05879045737495437,-0.017265467404313613,-0.024573951102841565,-0.01033085151764142,0.003628067750718777,0.9999990265541671,0.9990771732669828,0.9228369827079004,0.009021099254441495,0.015151047871042688,0.0,0.0,0.7267250821467689,0.6807228915662651,1.0,True,False,False,False,ABSENT,False,,
hour:09,hour,09,5390,490,49,12,463,0.03987305720563105,0.07620881995321917,0.058857871335807055,-0.01735094861741212,-0.024122290639138684,-0.010783898956228735,0.003414374077718857,0.9999998129997887,0.9997057747531174,0.9597066675551019,0.008489755308674074,0.014258649136559493,0.0,0.0,0.713543599257885,0.6408163265306123,1.0,True,False,False,False,ABSENT,False,,
hour:10,hour,10,6259,569,48,12,509,0.046301570510212386,0.07320068199204473,0.056197993129892945,-0.017002688862151775,-0.024021826213879043,-0.010052154979664432,0.003603469028126674,0.999998811596826,0.9989424252389693,0.9168174491340142,0.008959935149115217,0.015048321998989827,0.0,0.0,0.6844543856846141,0.5837993289662885,1.0,True,False,False,False,ABSENT,False,,
hour:11,hour,11,5753,523,49,12,510,0.0425583855480511,0.07274386999864434,0.05530678272205805,-0.01743708727658627,-0.02383401924282238,-0.011163742175031917,0.0032196680301904137,0.9999999694928482,0.9999186861158573,0.9812994602057596,0.008005623616302535,0.013445543966100502,0.0,0.0,0.638101859899183,0.49834868764123064,1.0,True,False,False,False,ABSENT,False,,
hour:12,hour,12,5742,522,49,12,513,0.04247701196191716,0.06922053096092166,0.05230277425113201,-0.01691775670978965,-0.02303082031951897,-0.010752366268621064,0.0030796736463415053,0.9999999802821374,0.9999405799512173,0.9845716635879236,0.007657531100247622,0.012860918276309643,0.0,0.0,0.5828979449669105,0.4169278996865204,1.0,True,False,False,False,ABSENT,False,,
hour:13,hour,13,5808,528,49,12,513,0.04296525347872081,0.06661879050487175,0.046178384598829204,-0.02044040590604255,-0.027882966835317935,-0.012880384420906348,0.003838936658297326,0.9999999493835545,0.9998832197282087,0.9767074354642689,0.009545419492001798,0.016031650200644752,0.0,0.0,0.5196280991735537,0.3551997245179063,1.0,True,False,False,False,ABSENT,False,,
hour:14,hour,14,5742,522,49,12,514,0.04247701196191716,0.056465186432656515,0.03817186145942181,-0.01829332497323471,-0.025713436909774876,-0.011170653482621315,0.003715016984361014,0.9999995763749063,0.9994796805480349,0.9440501773963944,0.009237296338034778,0.015514153549265764,0.0,0.0,0.46394984326018807,0.30912574016022293,1.0,True,False,False,False,ABSENT,False,,
hour:15,hour,15,5753,523,49,12,514,0.0425583855480511,0.04500462583312673,0.03051261202850687,-0.014492013804619855,-0.02241135309148581,-0.007024116553511652,0.003914406039782813,0.9998931417270075,0.9801747650581718,0.643481884681261,0.009733072211804784,0.016346815266528116,0.0,0.0,0.4020511037719451,0.2812445680514514,1.0,True,False,False,False,ABSENT,False,,
hour:16,hour,16,5764,524,49,12,512,0.042639759134185044,0.03377979177520234,0.01802427333448994,-0.015755518440712404,-0.023262983214966775,-0.00856551501367223,0.0037062245489959543,0.9999893636789483,0.9954229245425908,0.8203376146666068,0.009215434168536771,0.015477435764959592,0.0,0.0,0.3393476752255378,0.2508674531575295,1.0,True,False,False,False,ABSENT,False,,
hour:17,hour,17,5533,503,48,12,496,0.040930913825372284,0.02576324655911152,0.007157927164287005,-0.01860531939482452,-0.02696261414667793,-0.010897195824006653,0.004096591582037313,0.999997209328103,0.9981150783908399,0.8863251842217379,0.010186071982571604,0.0171076339892664,0.0,0.0,0.28519790348816193,0.23730345201518163,1.0,True,False,False,False,ABSENT,False,,
hour:18,hour,18,5456,496,48,12,482,0.0403612987224347,0.02515936596725858,0.001066369318181818,-0.024092996649076763,-0.03402653438141877,-0.015093033150332811,0.0048351788468863855,0.9999996867360177,0.999578083826638,0.9503658451617756,0.012022550648922289,0.020192022643379538,0.0,0.0,0.21920821114369501,0.2060117302052786,1.0,True,False,False,False,ABSENT,False,,
hour:19,hour,19,5819,529,48,12,498,0.04304662706485475,0.02129018773375632,9.101031105000861e-05,-0.021199177422706314,-0.031300750492248404,-0.012853650704123497,0.004732159987543657,0.9999962645235994,0.9977084024783035,0.8739711870271468,0.011766396845006695,0.019761809158746382,0.0,0.0,0.15225983846021654,0.15002577762502148,1.0,True,False,False,False,ABSENT,False,,
hour:20,hour,20,20823,1893,49,12,517,0.15404019855155016,0.025486818658984594,7.005954953656951e-07,-0.02548611806348922,-0.03667070645723034,-0.015399655992787899,0.005454017832169933,0.999998515168662,0.998769326912216,0.9096272095537636,0.01356127822854225,0.02277633466143404,0.0,0.0,0.10176247418719685,0.10176247418719685,1.0,True,False,False,False,ABSENT,False,,
market:atlanta,market,atlanta,11132,1012,43,1,43,0.08235006916754821,0.058261229443353324,0.04337697426338484,-0.014884255179968487,-0.022523967169867664,-0.007609890645072411,0.0038301230592151132,0.9999490669855086,0.987495057706772,0.7094091924960546,0.009523504699453135,0.015994844035273577,0.0,,0.5437477542220626,0.49200503054257994,1.0,True,False,False,False,ABSENT,False,,
