market,definition,month,minute,local_time,n_dates,p_decided,low,high,p_decided_exact,running_degree_counts,band_dead_probabilities,band_dead_intervals
atlanta,all,2026-06,45,00:45,2,0.0,0.0,0.0,0.0,"{""75"": 1, ""77"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,60,01:00,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""65"": 1, ""66"": 1, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 5, ""77"": 3, ""78"": 2, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,75,01:15,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 5, ""77"": 3, ""78"": 2, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,90,01:30,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 5, ""77"": 3, ""78"": 2, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,105,01:45,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 5, ""77"": 3, ""78"": 2, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,120,02:00,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,135,02:15,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,150,02:30,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,165,02:45,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,180,03:00,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,195,03:15,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,210,03:30,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,225,03:45,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 3, ""73"": 3, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,240,04:00,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 2, ""73"": 4, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,255,04:15,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 2, ""73"": 4, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,270,04:30,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 2, ""73"": 4, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,285,04:45,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 2, ""73"": 4, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,300,05:00,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 2, ""73"": 4, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
atlanta,all,2026-06,315,05:15,30,0.03333333333333333,0.0,0.1,0.03333333333333333,"{""63"": 1, ""66"": 2, ""69"": 1, ""70"": 1, ""71"": 2, ""72"": 2, ""73"": 4, ""74"": 1, ""75"": 4, ""77"": 3, ""78"": 3, ""80"": 3, ""81"": 2, ""84"": 1}","{""87"": 0.0, ""91"": 0.0, ""93"": 0.0}","{""87"": [0.0, 0.0], ""91"": [0.0, 0.0], ""93"": [0.0, 0.0]}"
