market,definition,month,hour,n_dates,p_decided,low,high
atlanta,all,2026-06,0,2,0.0,0.0,0.0
atlanta,all,2026-06,1,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,2,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,3,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,4,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,5,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,6,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,7,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,8,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,9,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,10,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,11,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,12,30,0.03333333333333333,0.0,0.1
atlanta,all,2026-06,13,30,0.1,0.0,0.23333333333333334
atlanta,all,2026-06,14,30,0.16666666666666666,0.03333333333333333,0.3
atlanta,all,2026-06,15,30,0.36666666666666664,0.2,0.5333333333333333
atlanta,all,2026-06,16,30,0.6333333333333333,0.4666666666666667,0.8
atlanta,all,2026-06,17,30,0.9,0.7666666666666667,1.0
atlanta,all,2026-06,18,30,1.0,1.0,1.0
atlanta,all,2026-06,19,30,1.0,1.0,1.0
atlanta,all,2026-06,20,30,1.0,1.0,1.0
atlanta,all,2026-06,21,30,1.0,1.0,1.0
atlanta,all,2026-06,22,30,1.0,1.0,1.0
atlanta,all,2026-06,23,30,1.0,1.0,1.0
atlanta,all,2026-07,0,1,0.0,0.0,0.0
atlanta,all,2026-07,1,31,0.0,0.0,0.0
atlanta,all,2026-07,2,31,0.0,0.0,0.0
atlanta,all,2026-07,3,31,0.0,0.0,0.0
atlanta,all,2026-07,4,31,0.0,0.0,0.0
atlanta,all,2026-07,5,31,0.0,0.0,0.0
atlanta,all,2026-07,6,31,0.0,0.0,0.0
atlanta,all,2026-07,7,31,0.0,0.0,0.0
atlanta,all,2026-07,8,31,0.0,0.0,0.0
atlanta,all,2026-07,9,31,0.0,0.0,0.0
atlanta,all,2026-07,10,31,0.0,0.0,0.0
atlanta,all,2026-07,11,31,0.0,0.0,0.0
atlanta,all,2026-07,12,31,0.03225806451612903,0.0,0.0967741935483871
atlanta,all,2026-07,13,31,0.06451612903225806,0.0,0.16129032258064516
atlanta,all,2026-07,14,31,0.2903225806451613,0.12903225806451613,0.45161290322580644
atlanta,all,2026-07,15,31,0.5241935483870968,0.3546370967741936,0.7096774193548387
atlanta,all,2026-07,16,31,0.7419354838709677,0.5806451612903226,0.8709677419354839
atlanta,all,2026-07,17,31,0.8709677419354839,0.7419354838709677,0.967741935483871
atlanta,all,2026-07,18,31,1.0,1.0,1.0
atlanta,all,2026-07,19,31,1.0,1.0,1.0
atlanta,all,2026-07,20,31,1.0,1.0,1.0
atlanta,all,2026-07,21,31,1.0,1.0,1.0
atlanta,all,2026-07,22,31,1.0,1.0,1.0
atlanta,all,2026-07,23,31,1.0,1.0,1.0
atlanta,all,2026-08,1,31,0.0,0.0,0.0
atlanta,all,2026-08,2,31,0.0,0.0,0.0
atlanta,all,2026-08,3,31,0.0,0.0,0.0
atlanta,all,2026-08,4,31,0.0,0.0,0.0
atlanta,all,2026-08,5,31,0.0,0.0,0.0
atlanta,all,2026-08,6,31,0.0,0.0,0.0
atlanta,all,2026-08,7,31,0.0,0.0,0.0
atlanta,all,2026-08,8,31,0.0,0.0,0.0
atlanta,all,2026-08,9,31,0.0,0.0,0.0
atlanta,all,2026-08,10,31,0.0,0.0,0.0
atlanta,all,2026-08,11,31,0.03225806451612903,0.0,0.0967741935483871
atlanta,all,2026-08,12,31,0.03225806451612903,0.0,0.0967741935483871
atlanta,all,2026-08,13,31,0.06451612903225806,0.0,0.16129032258064516
atlanta,all,2026-08,14,31,0.1532258064516129,0.04838709677419355,0.27419354838709675
atlanta,all,2026-08,15,31,0.4596774193548387,0.27419354838709675,0.6209677419354839
